count,lemma
134,""
77,way
71,use
49,man
46,effort
34,mind
31,profile
30,appearance
27,voyage
26,part
25,discovery
21,mistake
20,//
20,rate
19,work
19,war
19,king
18,progress
18,people
18,difference
17,life
17,movement
16,number
16,line
15,study
15,basis
15,--
15,thing
15,statement
15,law
15,end
14,expedition
14,experiment
13,land
13,preparation
13,head
12,matter
12,tour
12,noise
11,sacrifice
11,home
11,power
11,journey
11,haste
11,public
11,trip
10,gold
10,object
10,iron
10,name
10,god
10,sound
10,society
10,provision
10,money
10,impression
10,term
10,mention
10,passage
10,governor
10,earth
10,stand
10,ridge
9,place
9,city
9,practice
9,state
9,government
9,promise
9,fact
9,attack
9,speech
9,capture
9,investigation
9,light
9,river
9,present
9,incursion
9,person
9,case
9,point
9,prisoner
9,form
8,record
8,image
8,sort
8,instrument
8,circuit
8,wood
8,direction
8,revolution
8,valley
8,boat
8,hand
8,road
8,scale
8,observation
8,acquaintance
8,peace
8,general
8,music
8,enemy
8,sketch
8,attempt
8,claim
8,charge
8,friend
8,contribution
7,country
7,black
7,demand
7,town
7,court
7,defense
7,skin
7,world
7,plan
7,house
7,story
7,koran
7,sign
7,judgment
7,substance
7,fortune
7,connection
7,angle
7,choice
7,report
7,freight
7,business
7,distinction
7,run
7,idea
7,word
6,plain
6,conquest
6,church
6,profit
6,side
6,figure
6,cross
6,fire
6,master
6,condition
6,red
6,success
6,step
6,application
6,island
6,paper
6,map
6,position
6,foot
6,vessel
6,convert
6,bid
6,book
6,living
6,show
6,subject
6,bird
6,army
6,other
6,selection
6,havoc
6,science
6,animal
6,port
6,child
6,prize
6,whole
6,kind
6,drawing
6,start
6,settlement
5,middle
5,cause
5,plate
5,response
5,beginning
5,path
5,boy
5,appeal
5,addition
5,result
5,desert
5,railroad
5,building
5,concession
5,channel
5,mountain
5,member
5,sun
5,manner
5,woman
5,water
5,history
5,tapestry
5,treaty
5,english
5,allowance
5,rule
5,ship
5,force
5,division
5,arrangement
5,back
5,capital
5,authority
5,wife
5,surrender
5,human
5,advantage
5,section
5,trial
5,move
5,silver
5,visit
5,body
5,change
5,room
5,turn
5,series
5,system
5,reference
5,lamp
5,congress
5,representative
5,stream
5,letter
5,gift
5,race
5,assault
5,will
5,eye
5,period
4,motion
4,muscle
4,breach
4,answer
4,surface
4,art
4,son
4,hunt
4,deal
4,question
4,presence
4,model
4,raid
4,meaning
4,value
4,doctrine
4,scene
4,offering
4,service
4,empire
4,lead
4,influence
4,comparison
4,harbor
4,commander
4,silk
4,expense
4,reputation
4,objection
4,final
4,headway
4,supply
4,heaven
4,machine
4,dictator
4,spaniard
4,offer
4,escape
4,cut
4,prayer
4,complaint
4,allusion
4,province
4,nature
4,picture
4,analysis
4,fort
4,committee
4,mark
4,rank
4,submission
4,live
4,think
4,group
4,truth
4,phonograph
4,process
4,proof
4,piece
4,concert
4,myth
4,walk
4,element
4,leader
4,degree
4,principle
4,purpose
4,square
4,belief
3,photograph
3,demonstration
3,increase
3,adaptation
3,construction
3,german
3,flight
3,species
3,individual
3,bow
3,bridge
3,french
3,leap
3,modification
3,guard
3,distance
3,wall
3,horse
3,bed
3,mouse
3,intensity
3,transportation
3,chapter
3,situation
3,mass
3,sea
3,education
3,request
3,leaf
3,advance
3,coat
3,right
3,prophet
3,excursion
3,violoncellos
3,invader
3,nerve
3,economy
3,inference
3,strength
3,diagram
3,slave
3,good
3,remark
3,circle
3,assurance
3,violin
3,play
3,mankind
3,troop
3,return
3,price
3,half
3,musician
3,view
3,measure
3,lord
3,trade
3,proposition
3,green
3,exchange
3,tone
3,profession
3,variation
3,stone
3,viol
3,function
3,arm
3,investment
3,nest
3,entry
3,search
3,offspring
3,feint
3,religion
3,jew
3,signal
3,creation
3,curve
3,intellectual
3,apparatus
3,lighter
3,combination
3,exception
3,blade
3,victim
3,type
3,march
3,field
3,amati
3,citizen
3,parliament
3,egg
3,relation
3,jump
3,traffic
3,enamel
3,game
3,look
3,assertion
3,age
3,instruction
3,memory
3,pope
3,excuse
3,doubt
3,level
3,stronghold
3,talk
3,feature
3,bargain
3,inquiry
3,pilgrimage
3,reparation
3,hero
3,page
3,knight
3,note
3,metal
3,reply
3,suit
3,office
3,warp
3,collection
3,stop
3,retreat
3,holiday
3,ground
3,sum
3,opportunity
3,blood
3,current
3,plank
3,reason
3,misery
3,event
3,method
3,school
3,throne
3,bell
3,cord
3,bishop
3,specialty
3,characteristic
3,chief
3,copper
3,hit
3,lowland
3,head-quarters
3,campaign
2,base
2,induction
2,japanese
2,pen
2,adoption
2,example
2,ring
2,tomb
2,illustration
2,bear
2,destruction
2,effect
2,copy
2,bread
2,production
2,glass
2,virgin
2,expression
2,bowel
2,ocean
2,cost
2,exertion
2,marine
2,engineer
2,infantry
2,yunnan
2,circumstance
2,programme
2,cylinder
2,englishman
2,steel
2,doll
2,artist
2,composition
2,cruise
2,rest
2,recognition
2,pressure
2,address
2,crystal
2,fortress
2,gesture
2,deity
2,introduction
2,affair
2,civilization
2,care
2,mould
2,railway
2,landing
2,approach
2,board
2,stay
2,chain
2,hide
2,den
2,heat
2,possession
2,material
2,dot
2,meeko
2,pledge
2,steamer
2,beauty
2,call
2,republic
2,commotion
2,order
2,total
2,seed
2,cheese
2,tool
2,bone
2,reader
2,swoop
2,interest
2,primitive
2,transmitter
2,racket
2,navy
2,fetich
2,repair
2,fleet
2,extremity
2,blas
2,achievement
2,navigation
2,american
2,lense
2,trumpet
2,claw
2,tunnel
2,favorite
2,crop
2,fissure
2,manuscript
2,fixture
2,witness
2,captive
2,officer
2,marking
2,galley
2,nail
2,improvement
2,philosopher
2,canton
2,teacher
2,democracy
2,roman
2,phenomenon
2,captain
2,structure
2,adjustment
2,arabic
2,display
2,air
2,pay
2,solution
2,cup
2,contract
2,expectation
2,center
2,feel
2,rise
2,compensation
2,existence
2,substitute
2,interval
2,tooth
2,affirmation
2,theme
2,brother
2,insect
2,fiddle
2,hair
2,patent
2,wind
2,relaxation
2,greek
2,reaction
2,flat
2,soldier
2,fellow
2,contact
2,precedent
2,commodore
2,independence
2,regulation
2,brass
2,load
2,groin
2,suggestion
2,sensation
2,grant
2,motor
2,indian
