count,lemma
89,""
66,mistake
65,way
51,effort
50,money
49,difference
47,sound
43,man
42,sense
39,mind
38,love
32,feel
30,decision
29,thing
28,home
26,friend
24,move
24,fool
24,world
24,trip
20,gesture
20,people
20,speech
20,noise
20,call
20,attempt
20,trouble
19,fun
18,face
17,plan
16,report
16,impression
15,point
15,contact
15,girl
15,use
15,joke
14,turn
14,living
14,eye
14,life
13,back
13,remark
12,kind
12,room
12,conversation
12,name
11,note
11,motion
11,comment
10,profit
10,think
10,inquiry
10,choice
10,wish
10,show
10,go
9,wife
9,father
9,mother
9,stand
9,place
8,voice
8,right
8,matter
8,run
8,fuss
8,pile
8,dress
8,deal
8,pass
8,woman
8,wood
8,arrangement
8,bed
8,progress
8,look
7,word
7,change
7,excuse
7,fortune
7,sick
7,start
7,job
7,business
7,movement
7,story
7,work
7,voyage
7,party
7,ass
7,bow
7,coffee
6,journey
6,attack
6,laugh
6,round
6,answer
6,confession
6,peace
6,case
6,adjustment
6,appointment
6,cross
6,door
6,visit
6,earth
6,acquaintance
6,test
6,other
5,light
5,advance
5,sign
5,tear
5,request
5,body
5,doctor
5,jump
5,kid
5,bargain
5,class
5,sacrifice
5,part
5,scene
5,smile
5,soldier
5,haste
5,fire
5,wine
5,picture
5,transmitter
5,lot
5,hair
5,history
5,space
5,departure
5,sandwich
5,candy
5,promise
5,match
5,set
5,mountain
5,boy
5,appearance
5,material
5,allowance
5,drink
5,villain
4,school
4,buck
4,check
4,priest
4,blood
4,order
4,letter
4,country
4,ship
4,routine
4,telephone
4,line
4,question
4,habit
4,law
4,meaning
4,device
4,glass
4,family
4,hand
4,mess
4,copy
4,pretense
4,table
4,future
4,food
4,canoe
4,guess
4,husband
4,office
4,resolution
4,sheet
4,house
4,rest
4,statement
4,son
4,discovery
4,martini
4,pool
4,escape
4,team
4,taxi
4,clerk
4,firm
4,break
4,spot
4,piece
4,list
4,reply
4,child
4,proposal
4,obeisance
4,city
4,heart
4,steel
4,beginning
4,community
4,leather
3,art
3,soul
3,apology
3,grab
3,game
3,patsy
3,talk
3,example
3,music
3,soup
3,p.-a
3,jew
3,arrest
3,furniture
3,charge
3,pleasure
3,phone
3,print
3,public
3,proposition
3,general
3,cup
3,hall
3,secret
3,mention
3,ring
3,communicator
3,shot
3,recovery
3,president
3,sweat
3,seat
3,middle
3,moment
3,grade
3,lie
3,horse
3,raid
3,milk
3,plastic
3,stomach
3,tooth
3,bone
3,examination
3,stroke
3,book
3,head
3,gambling
3,bet
3,lunch
3,negro
3,track
3,sir
3,government
3,fly
3,language
3,improvement
3,nation
3,offer
3,bottom
3,connection
3,feather
3,toast
3,contribution
3,trifle
3,stranger
3,cry
3,dream
3,farm
3,situation
3,gift
3,sort
3,factory
3,command
3,enemy
3,presence
3,breakfast
3,teacher
3,leap
3,result
3,shop
3,announcement
3,entrance
3,official
3,army
3,signal
3,correction
3,authority
3,tree
3,final
3,shell
2,step
2,tanganyika
2,chapter
2,dictator
2,recognition
2,trace
2,hobby
2,pinch
2,text
2,knot
2,series
2,ache
2,flight
2,machinery
2,dark
2,package
2,mean
2,curl
2,shape
2,dive
2,condition
2,explanation
2,climb
2,tape
2,land
2,past
2,hemoglobin
2,fact
2,curtain
2,shoot
2,settlement
2,avenue
2,grave
2,mine
2,swoop
2,daughter
2,stone
2,sinner
2,play
2,arm
2,row
2,warning
2,station
2,reference
2,recommendation
2,sand
2,brother
2,post
2,hat
2,fall
2,messala
2,audience
2,street
2,mother-in-law
2,defense
2,whole
2,dane
2,empire
2,lace
2,hop
2,lack
2,culture
2,design
2,society
2,pattern
2,scientist
2,target
2,blank
2,loss
2,conference
2,theory
2,strip
2,claim
2,rose
2,tick
2,dot
2,slaughter
2,gala
2,pronouncement
2,whip
2,nephew
2,favorite
2,error
2,title
2,code
2,couple
2,stream
2,mark
2,halo
2,price
2,eternity
2,paper
2,hole
2,communication
2,guard
2,member
2,fancy
2,company
2,breast
2,cat
2,pickup
2,salad
2,pencil
2,path
2,tent
2,introduction
2,harn
2,debut
2,star
2,suggestion
2,butt
2,foot
2,equipment
2,silence
2,adult
2,communist
2,rejoinder
2,stay
2,surprise
2,plain
2,criminal
2,strength
2,lap
2,objection
2,concern
2,darkness
2,amends
2,stop
2,cocktail
2,snort
2,shadow
2,skin
2,communism
2,comfort
2,moan
2,justice
2,safe
2,arc
2,good
2,lane
2,car
2,cut
2,image
2,parachute
2,be
2,air
2,record
2,movie
2,gun
2,identity
2,railroad
2,computation
2,mischief
2,marriage
2,press
2,bubble
2,english
2,sun
2,bid
2,share
2,practice
2,wall
2,service
2,collection
2,prisoner
2,idea
2,degree
2,date
2,career
2,search
2,fast
2,will
2,circuit
2,calculation
2,curiosity
2,act
2,commie
2,baby
2,artist
2,loan
2,silk
2,truth
2,return
2,leaf
2,preparation
2,wave
2,clothes
2,sight
2,master
2,action
2,western
2,water
2,diamond
2,witness
2,angle
2,grimace
2,camp
2,application
2,lady
2,bus
2,tea
2,god
2,bit
2,university
2,vase
2,disdain
2,distinction
2,king
2,alien
2,ear
2,civilization
2,swerve
2,doll
2,feelie
2,department
2,weight
2,venture
2,exchange
2,illustration
2,weapon
2,lottie
2,sugar
2,being
2,no
2,dad
2,slave
2,capital
2,half
2,investment
2,circle
1,footprint
1,deprecating
1,longstreet
1,talent
1,shield
1,carpet
1,survey
1,bluff
1,cigarette
1,howl
1,roof
1,assembly
1,save
1,like
1,nape
1,pillar
1,loafer
1,knight
1,hyperspace
1,strike
1,worship
1,disgust
1,serve
1,detail
1,prediction
1,farewell
1,brute
1,sneer
1,ecstasy
1,dinner
1,bloomers
1,desert
1,rally
1,marten
1,suspect
1,flush
1,blunder
1,mortgage
1,spit
1,port
1,lash
1,nursery
1,worth
1,come
1,uniform
1,demonstration
1,beginner
1,village
1,anniversary
1,declaration
1,whelp
1,parish
1,telegram
1,salary
1,duke
1,bourbon
1,lint
1,person
1,crocodile
1,flimsy
1,eel
1,wind
1,ribbon
1,homily
1,mortal
1,relaxation
1,lighter
1,square
1,concrete
1,farce
1,ambrosia
1,administration
1,war
1,receptor
1,research
1,jest
1,equivalent
1,position
1,purpose
1,shirt
1,sea
1,jet
1,exile
1,ejection
1,guardian
1,pea
1,bust
1,conqueror
1,reality
1,getaway
1,leader
1,handful
1,anti-semitism
1,batch
1,significance
1,lamp
1,fishing
1,ammunition
1,associate
1,drinking
1,surge
1,don
1,cook
1,quiet
1,beer
1,scapegoat
1,spotter
1,feast
1,paradise
1,hasbrouck
1,power
1,weed
1,wineshop
1,investigation
1,uncle
1,gumbo
1,monkey
1,flash
1,faint
1,putty
1,fellow
1,incumbent
1,parlor
1,veal
1,term
1,pecan
1,breakoff
1,janes
1,greenpoint
1,festival
1,site
1,tenure
1,governor
1,disclosure
1,bay
1,mummy
1,chariot
1,amount
1,kindle
1,breeze
1,pole
1,pick-up
1,gentleman
