count,lemma
95,sense
61,decision
55,money
54,mistake
51,--
48,way
40,serving
38,difference
34,thing
30,life
28,choice
28,change
26,effort
26,call
25,use
24,point
24,trip
22,case
21,table
19,it
19,part
19,plan
18,home
18,world
18,people
17,friend
17,right
17,deal
17,work
16,statement
16,contact
15,child
15,look
15,""
14,turn
14,government
14,mark
14,move
14,car
13,movie
13,noise
13,man
13,sound
13,contribution
13,progress
12,art
12,top
12,serve
12,public
12,copy
12,film
12,cut
12,investment
11,woman
11,debut
11,speech
11,fun
11,love
11,product
11,piece
11,profit
11,appearance
11,run
10,round
10,wine
10,business
10,headline
10,image
10,company
9,picture
9,lot
9,market
9,color
9,note
9,scrape
9,food
9,error
9,matter
9,eye
9,water
9,movement
9,living
9,number
9,feel
8,claim
8,house
8,music
8,material
8,promise
8,judgment
8,history
8,live
8,management
8,job
8,family
8,show
8,star
8,career
8,peace
8,distinction
8,phone
8,issue
8,connection
8,cup
8,payment
8,human
8,discovery
8,place
7,customer
7,exercise
7,animal
7,model
7,rule
7,object
7,window
7,system
7,list
7,pass
7,commitment
7,visit
7,school
7,sketch
7,cover
7,wood
7,adjustment
7,drawing
7,policy
7,final
7,computer
7,file
7,mind
7,program
7,parent
7,side
7,end
7,name
7,war
7,need
7,room
7,reservation
7,chip
7,meal
6,ground
6,remark
6,form
6,tv
6,sauce
6,heart
6,lunch
6,priority
6,reader
6,paper
6,fishing
6,box
6,standard
6,version
6,person
6,fool
6,playoff
6,student
6,book
6,comeback
6,drug
6,correction
6,hair
6,problem
6,semiconductor
6,type
6,guy
6,plastic
6,back
6,process
6,team
6,individual
6,earth
6,pact
6,kind
6,painting
6,technology
6,transition
6,test
6,body
5,stock
5,taste
5,gun
5,joke
5,muffin
5,molecule
5,president
5,shot
5,mention
5,arrangement
5,light
5,gas
5,salad
5,angle
5,trade
5,foot
5,past
5,other
5,glass
5,cost
5,question
5,situation
5,sign
5,sick
5,chill
5,country
5,city
5,motion
5,television
5,protein
5,head
5,improvement
5,hand
5,journey
5,ad
5,state
5,democracy
5,experience
5,kid
5,page
5,hunt
5,success
5,portrait
5,comment
5,sport
5,trouble
5,idea
5,official
5,jewelry
5,rub
5,word
5,doctor
5,river
5,advance
5,prediction
4,budget
4,game
4,figure
4,graphite
4,sculpture
4,line
4,stop
4,measurement
4,air
4,favorite
4,therapist
4,announcement
4,train
4,argument
4,gift
