lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],25.0,79.0,83.0,82.0,77.0,77.0,80.0,74.0,72.0,66.0,58.0,65.0,67.0,33.0,33.0,26.0,26.0,13.0,22.0,1058.0
[WAY],26.0,34.0,33.0,39.0,44.0,63.0,56.0,78.0,38.0,37.0,45.0,46.0,26.0,31.0,47.0,38.0,50.0,48.0,53.0,832.0
[MONEY],4.0,6.0,12.0,18.0,24.0,39.0,32.0,33.0,27.0,36.0,56.0,102.0,61.0,67.0,80.0,68.0,40.0,55.0,51.0,811.0
[USE],62.0,55.0,58.0,43.0,56.0,49.0,56.0,42.0,40.0,53.0,30.0,25.0,33.0,18.0,27.0,16.0,24.0,25.0,20.0,732.0
[EFFORT],33.0,25.0,27.0,30.0,27.0,37.0,33.0,42.0,34.0,49.0,28.0,52.0,42.0,43.0,39.0,33.0,28.0,26.0,22.0,650.0
[MISTAKE],4.0,7.0,10.0,13.0,18.0,10.0,26.0,17.0,28.0,48.0,34.0,42.0,35.0,49.0,39.0,42.0,36.0,54.0,46.0,558.0
[DIFFERENCE],7.0,10.0,15.0,14.0,23.0,42.0,37.0,18.0,30.0,36.0,25.0,29.0,35.0,39.0,34.0,22.0,44.0,38.0,58.0,556.0
[MIND],13.0,32.0,30.0,34.0,38.0,43.0,32.0,38.0,24.0,36.0,26.0,37.0,43.0,27.0,21.0,22.0,25.0,7.0,2.0,530.0
[PEOPLE],11.0,17.0,25.0,20.0,19.0,31.0,26.0,26.0,26.0,27.0,25.0,37.0,27.0,47.0,23.0,39.0,40.0,18.0,30.0,514.0
[SPEECH],28.0,13.0,11.0,28.0,20.0,15.0,31.0,19.0,25.0,33.0,43.0,57.0,45.0,41.0,32.0,22.0,19.0,11.0,5.0,498.0
[PUBLIC],21.0,24.0,27.0,28.0,17.0,28.0,35.0,27.0,32.0,33.0,38.0,35.0,25.0,29.0,26.0,17.0,29.0,12.0,8.0,491.0
[LIFE],9.0,15.0,10.0,15.0,24.0,21.0,26.0,33.0,33.0,42.0,36.0,29.0,19.0,21.0,29.0,25.0,26.0,30.0,25.0,468.0
[THING],8.0,17.0,26.0,13.0,26.0,23.0,16.0,36.0,21.0,28.0,19.0,27.0,23.0,16.0,33.0,26.0,25.0,34.0,29.0,446.0
[LAW],32.0,44.0,57.0,35.0,40.0,36.0,36.0,41.0,29.0,26.0,10.0,12.0,10.0,12.0,5.0,5.0,9.0,1.0,4.0,444.0
[PROGRESS],28.0,28.0,38.0,26.0,21.0,33.0,22.0,24.0,24.0,36.0,21.0,21.0,18.0,29.0,17.0,14.0,21.0,13.0,9.0,443.0
[DECISION],5.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,6.0,11.0,15.0,17.0,24.0,49.0,57.0,45.0,55.0,61.0,65.0,431.0
[WAR],15.0,9.0,14.0,22.0,50.0,15.0,25.0,12.0,22.0,63.0,30.0,21.0,48.0,15.0,15.0,17.0,6.0,7.0,10.0,416.0
[SENSE],2.0,5.0,7.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,2.0,32.0,19.0,28.0,30.0,41.0,54.0,95.0,78.0,412.0
[POINT],18.0,12.0,17.0,15.0,14.0,15.0,18.0,18.0,13.0,28.0,16.0,18.0,20.0,23.0,41.0,43.0,31.0,24.0,26.0,410.0
[WORLD],13.0,11.0,17.0,17.0,20.0,18.0,17.0,18.0,27.0,27.0,25.0,32.0,27.0,20.0,25.0,17.0,19.0,18.0,31.0,399.0
[IMPRESSION],28.0,42.0,33.0,38.0,20.0,29.0,27.0,25.0,17.0,29.0,10.0,27.0,8.0,13.0,7.0,7.0,3.0,4.0,7.0,374.0
[WORK],12.0,19.0,10.0,13.0,37.0,21.0,22.0,30.0,25.0,16.0,15.0,28.0,20.0,12.0,15.0,26.0,14.0,17.0,22.0,374.0
[PART],29.0,44.0,25.0,14.0,19.0,23.0,19.0,28.0,19.0,32.0,9.0,12.0,14.0,8.0,10.0,15.0,11.0,19.0,16.0,366.0
[APPEARANCE],29.0,33.0,22.0,34.0,29.0,26.0,16.0,17.0,15.0,12.0,12.0,17.0,12.0,16.0,12.0,9.0,8.0,11.0,12.0,342.0
[ATTEMPT],21.0,17.0,27.0,20.0,19.0,26.0,24.0,23.0,16.0,20.0,21.0,14.0,20.0,15.0,18.0,11.0,8.0,4.0,14.0,338.0
