count,lemma
285,place
72,care
57,part
50,""
45,possession
26,hand
26,view
24,--
24,account
22,refuge
22,prisoner
21,notice
19,man
19,water
19,leave
19,name
18,oath
17,way
17,advantage
16,charge
16,form
16,field
16,position
15,pleasure
15,measure
15,interest
15,arm
14,pain
14,consideration
13,opportunity
13,life
13,patent
13,house
13,course
12,hide
12,seat
12,turn
12,command
12,effect
11,word
11,power
11,air
11,head
11,other
11,fire
10,lead
10,note
10,yoke
10,side
10,case
10,law
9,flight
9,hold
9,instance
9,cross
8,food
8,root
8,town
8,enemy
8,death
8,look
8,city
8,wife
8,roman
8,quarter
8,subject
8,animal
7,fact
7,country
7,work
7,origin
7,family
7,ship
7,abode
7,wood
6,passage
6,rank
6,people
6,resolution
6,matter
6,mean
6,credit
6,sail
6,trouble
6,allegiance
6,wing
6,step
6,bone
6,church
6,alarm
6,king
6,road
6,hostage
5,person
5,liberty
5,ark
5,thing
5,departure
5,government
5,portion
5,light
5,nation
5,/z/
5,soil
5,money
5,horse
5,room
5,residence
5,meal
5,delight
5,vessel
5,leaf
5,tile
5,line
5,station
5,edge
5,son
5,route
5,post
5,captive
5,flank
5,meat
5,castle
5,tree
5,land
5,whole
5,affair
5,aim
4,present
4,glass
4,quantity
4,courage
4,exception
4,live
4,public
4,think
4,draught
4,defense
4,fly
4,cargo
4,rule
4,piece
4,precaution
4,father
4,company
4,idea
4,class
4,offense
4,foot
4,order
4,drain
4,authority
4,service
4,supremacy
4,storm
4,state
4,bank
4,lease
4,leg
4,jurisprudence
4,cognizance
4,counsel
4,advice
3,glance
3,servant
3,rest
3,debt
3,fowl
3,rise
3,material
3,household
3,camp
3,constitution
3,value
3,circumstance
3,leap
3,child
3,assembly
3,soup
3,party
3,farewell
3,boat
3,battle
3,fish
3,custody
3,substance
3,gold
3,start
3,heart
3,stand
3,responsibility
3,gift
3,evil
3,beginning
3,reign
3,enthusiasm
3,war
3,use
3,share
3,principal
3,body
3,fort
3,guide
3,habit
3,religion
3,coin
3,keer
3,sort
3,spot
3,principle
3,fat
3,period
3,eye
3,trial
3,seed
3,pity
3,oxygen
3,ground
3,moth
3,troop
3,captain
3,friend
3,general
3,kind
3,change
3,province
3,number
3,type
3,pursuit
3,drink
3,lady
3,right
3,wine
3,beef
3,good
3,breath
3,conduct
3,burden
3,army
3,individual
3,bullock
3,age
2,impression
2,gentleman
2,model
2,midst
2,pay
2,tribe
2,painting
2,plan
2,provision
2,devil
2,isidoro
2,hostess
2,dust
2,standard
2,cold
2,practice
2,faith
2,level
2,distrust
2,bucket
2,senate
2,article
2,aid
2,caterpillar
2,breakfast
2,color
