count,lemma
114,care
90,place
89,hand
86,""
54,look
54,arm
40,step
36,breath
35,chance
30,walk
29,drink
26,advantage
26,man
25,note
25,turn
24,sip
24,money
22,clothes
21,seat
20,bus
20,girl
20,room
19,hold
19,thing
17,trip
17,paper
16,picture
16,head
16,pill
16,eye
15,pleasure
14,risk
14,cigarette
14,life
14,shower
13,hospital
13,home
13,father
13,wife
13,piece
12,responsibility
12,way
12,part
12,bath
12,shoe
12,bag
11,moment
11,cigar
11,side
11,book
11,glass
11,job
11,town
11,pride
11,hat
11,couple
11,charge
11,gun
11,jacket
10,bed
10,order
10,shoulder
10,elevator
10,course
10,rifle
10,leave
10,child
10,train
10,dog
10,woman
10,coat
10,command
9,ship
9,city
9,car
9,bottle
9,pain
9,heart
8,dinner
8,boy
8,shirt
8,pocket
8,notice
8,pistol
8,treasure
8,interest
8,air
8,light
8,position
8,call
8,name
8,memory
8,control
7,wallet
7,house
7,plane
7,measure
7,swig
7,ride
7,other
7,shot
7,wheel
7,box
7,knife
7,mine
7,lesson
7,mother
7,lot
7,people
7,account
7,body
7,rest
7,back
7,card
7,action
7,case
7,cab
7,finger
7,prisoner
7,oath
6,cup
6,wood
6,advice
6,matter
6,world
6,movie
6,company
6,offense
6,face
6,flight
6,kind
6,phone
6,foot
6,work
6,wine
6,boot
6,scene
6,king
6,toll
6,news
6,number
6,mind
6,gold
6,end
6,shape
6,kid
6,boat
6,bite
6,fellow
6,right
6,crown
6,word
6,gulp
5,skirt
5,horse
5,bar
5,break
5,pulse
5,swallow
5,lunch
5,stone
5,kosmo
5,envelope
5,bill
5,buck
5,trouble
5,coffee
5,puff
5,watch
5,credit
5,refuge
5,surprise
5,precaution
5,--
5,belt
5,sword
5,test
5,photograph
5,hint
5,run
5,road
5,nap
5,ampule
5,drug
5,possession
5,route
5,business
5,chair
5,hook
4,swipe
4,door
4,cloth
4,flower
4,patient
4,police
4,wing
4,storm
4,tour
4,radiograph
4,plunge
4,husband
4,root
4,pack
4,letter
4,land
4,post
4,table
4,cash
4,river
4,ranch
4,telephone
4,club
4,vacation
4,fancy
4,front
4,airport
4,mask
4,grail
4,smile
4,stride
4,baby
4,fishing
4,chief
4,stand
4,key
4,court
4,death
4,history
4,pot
4,button
4,show
4,loaf
4,water
4,question
4,plastic
4,record
4,liberty
4,edge
4,stick
4,sock
4,holiday
4,medicine
4,bow
4,airplane
3,government
3,school
3,earth
3,mersault
3,coin
3,sweater
3,desk
3,fort
3,character
3,trash
3,matto
3,bank
3,lead
3,deal
3,thief
3,role
3,pile
3,cover
3,courage
3,sight
3,compliment
3,shit
3,favorite
3,sign
3,cake
3,stair
3,crowd
3,attitude
3,cabin
3,song
3,choice
3,towel
3,morphine
3,delight
3,rag
3,daddy
3,friend
3,effort
3,idea
3,rap
3,saddle
3,horn
3,pity
3,destiny
3,corner
3,load
3,counter
3,party
3,comfort
3,cattle
3,cycle
3,cut
3,furniture
3,amount
3,throne
3,lip
3,suitcase
3,bread
3,thet
3,blood
3,blanket
3,middle
3,notebook
3,uncle
3,blame
3,direction
3,cross
3,highway
3,slug
3,pant
3,zaslow
3,peek
3,folder
3,office
3,taxi
3,leather
3,revolver
3,war
3,shotgun
3,robe
3,love
3,dimension
3,cat
3,cue
3,corpse
3,forearm
3,pick
3,pause
3,country
3,tooth
3,fire
3,map
3,dress
3,think
3,tiller
3,pen
3,ice
3,drive
3,border
3,meal
3,cry
3,consolation
3,handkerchief
3,silence
3,nurse
3,line
3,stage
3,force
3,lobby
3,suit
3,liking
3,family
3,form
3,captain
3,support
3,sleeping
3,tape
3,mail
3,top
2,wainright
2,acid
2,apprentice
2,troop
2,quarter
2,net
2,passenger
2,vow
2,fit
2,cowboy
2,effect
2,cargo
2,volume
2,jew
2,expression
2,salt
2,dagger
2,prime
2,p.-a
2,wrist
2,play
2,pound
2,no
2,figurehead
2,cruise
2,ball
2,shrug
2,overdose
2,pressure
2,address
2,share
2,french
2,magazine
2,cloak
2,crock
2,residence
2,frigate
2,item
2,reason
2,carriage
2,plate
2,coker
2,hotel
2,stretcher
2,stranger
2,tab
2,elbow
2,material
2,vessel
2,soup
2,cheek
2,liza
2,sash
2,mouth
2,compact
2,angle
2,rein
2,pail
2,underwear
2,space
2,kitchen
2,trolley
2,bird
2,army
2,servant
2,fleet
2,cream
2,game
2,view
2,initiative
2,property
2,cousin
2,daughter
2,stool
2,customer
2,tank
2,story
2,meaning
2,stroll
2,rabbi
2,pipe
2,file
2,whiskey
2,brain
2,ralegh
2,wrench
2,mouthpiece
2,floor
2,scarf
2,instruction
2,leak
2,bull
2,player
2,task
2,bottom
2,temple
2,leg
2,dream
2,sort
2,window
2,sheet
2,torch
2,dice
2,brandy
2,studio
2,aim
2,hotchkiss
2,rain
2,temperature
2,reading
2,kit
2,collection
2,service
2,guy
2,wreck
2,guess
2,measurement
2,vitamin
2,biscuit
2,gamble
2,roll
2,cottage
2,sandwich
2,match
2,briefcase
2,girlfriend
2,contract
2,fill
2,answer
2,grocery
2,crack
2,ear
2,haven
2,tea
2,poverty
2,attention
2,valuables
2,princess
2,camp
2,chop
2,calf
2,dish
2,intermission
2,editor
2,half
2,heather
2,detail
2,liquid
2,brother
2,sister
2,hair
2,village
2,capsule
2,waco
2,sabre
2,concentration
2,guard
2,wind
2,situation
2,dislike
2,gift
2,strength
2,meat
2,shelf
2,sun
2,sea
2,degree
2,broom
2,doctor
2,chastity
2,gum
2,beer
2,set
2,flat
2,soldier
2,knee
2,ax
2,telescope
2,gentleman
2,speed
2,fool
2,swing
2,coach
2,homestead
2,division
2,star
2,indian
2,group
2,pull
2,phonetics
2,ambulance
2,yell
2,hunch
2,beating
2,sail
2,network
2,scotch
2,vanilla
2,cart
2,past
2,dark
2,joint
2,pump
2,counsel
2,poem
2,sugar
2,department
2,packet
2,shovel
2,weather
2,bit
2,lotta
2,wesson
2,preparation
2,pouch
2,act
2,clasp
2,request
2,kidnapping
2,tourist
2,colby
2,brown
