count,lemma
91,place
83,care
48,look
47,advantage
42,step
25,turn
23,account
23,break
23,part
22,risk
22,action
21,job
19,hold
19,course
19,control
18,responsibility
18,kid
17,approach
17,picture
17,drug
16,note
16,pill
16,toll
16,walk
16,life
16,--
15,family
15,chance
14,test
14,people
14,work
14,lot
14,view
14,""
13,hand
13,child
12,home
12,role
12,lesson
12,form
11,breath
11,class
11,root
11,son
11,shape
11,road
10,hit
10,lead
10,world
10,stand
10,charge
10,trip
9,position
9,pressure
9,seat
9,school
9,company
9,money
9,water
9,opportunity
9,energy
8,air
8,ball
8,cue
8,edge
8,relationship
8,interest
8,supplement
8,medication
8,heart
8,photograph
8,right
7,stock
7,man
7,cut
7,daughter
7,way
7,medicine
7,doctor
7,dose
7,business
7,effect
7,question
7,photo
7,name
7,live
7,pride
7,ride
7,hike
7,top
7,baby
7,shower
7,office
6,wing
6,route
6,plunge
6,advice
6,residence
6,thing
6,effort
6,estrogen
6,tour
6,notice
6,side
6,credit
6,precedence
6,point
6,movie
6,service
6,team
6,market
6,race
6,call
6,space
5,boy
5,value
5,clothes
5,house
5,challenge
5,pain
5,line
5,court
5,title
5,eye
5,loss
5,moment
5,boat
5,task
5,history
5,stroll
5,flight
5,vacation
5,fight
5,practice
5,bus
5,honor
5,post
5,run
5,mother
5,woman
5,prisoner
5,number
5,pregnancy
5,college
5,bite
5,ski
4,church
4,hunt
4,country
4,territory
4,rest
4,future
4,city
4,issue
4,news
4,aim
4,coffee
4,importance
4,film
4,lunch
4,internet
4,piece
4,amount
4,situation
4,image
4,blood
4,problem
4,swing
4,nap
4,watch
4,mind
4,client
4,pay
4,beating
4,show
4,train
4,radio
4,surprise
4,friend
4,act
4,sip
4,parent
4,classic
4,deal
4,stage
4,other
4,path
4,consideration
4,level
4,shoe
4,order
4,foot
4,father
4,force
4,taxi
4,game
4,fly
4,hotel
4,area
4,county
4,event
4,case
4,chair
4,measure
4,village
4,weight
4,lake
3,apartment
3,portion
3,guest
3,department
3,swim
3,evidence
3,stair
3,window
3,premarin
3,drink
3,pounding
3,nevirapine
3,hill
3,cover
3,shot
3,page
3,distinction
3,bed
3,brother
3,dinner
3,terrorist
3,researcher
3,angle
3,recruit
3,chip
3,bow
3,firm
3,card
3,mass
3,parish
3,license
3,spring
3,person
3,ceo
3,shortcut
3,back
3,character
3,pelham
3,food
3,industry
3,law
3,room
3,liberty
3,kitchen
3,rate
3,daily
3,journey
3,kind
3,war
3,garbage
3,technology
3,research
3,sea
3,shelter
3,period
3,measurement
3,delivery
3,vitamin
3,dance
3,pair
3,aspirin
3,light
3,lithium
3,price
3,prize
3,age
3,blame
3,conflict
3,visitor
3,fear
3,matter
3,command
3,help
3,delight
3,couple
3,notebook
3,offer
3,site
