lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[CARE],190.0,139.0,128.0,201.0,198.0,163.0,88.0,103.0,185.0,117.0,127.0,187.0,151.0,163.0,158.0,114.0,141.0,151.0,162.0,2866.0
[PLACE],353.0,121.0,161.0,132.0,133.0,155.0,177.0,149.0,110.0,124.0,122.0,123.0,105.0,111.0,105.0,90.0,94.0,60.0,90.0,2515.0
[HAND],198.0,133.0,105.0,146.0,95.0,135.0,155.0,129.0,116.0,121.0,133.0,139.0,113.0,123.0,105.0,89.0,123.0,147.0,97.0,2402.0
[ARM],64.0,41.0,30.0,61.0,55.0,56.0,44.0,51.0,37.0,38.0,70.0,84.0,85.0,75.0,64.0,54.0,62.0,64.0,33.0,1068.0
[STEP],27.0,20.0,32.0,23.0,25.0,27.0,33.0,47.0,31.0,38.0,50.0,34.0,49.0,57.0,65.0,40.0,51.0,61.0,108.0,818.0
[SEAT],38.0,45.0,59.0,67.0,62.0,70.0,20.0,44.0,40.0,31.0,24.0,25.0,7.0,27.0,17.0,21.0,19.0,33.0,38.0,687.0
[LOOK],8.0,9.0,20.0,15.0,25.0,18.0,17.0,27.0,33.0,35.0,47.0,45.0,63.0,37.0,63.0,54.0,52.0,65.0,53.0,686.0
[BREATH],15.0,14.0,7.0,9.0,13.0,17.0,7.0,7.0,16.0,8.0,15.0,26.0,45.0,32.0,54.0,36.0,58.0,89.0,131.0,599.0
[ADVANTAGE],54.0,39.0,41.0,23.0,27.0,34.0,26.0,27.0,25.0,38.0,27.0,24.0,31.0,27.0,29.0,26.0,20.0,33.0,27.0,578.0
[LEAVE],101.0,76.0,73.0,86.0,31.0,28.0,24.0,21.0,11.0,12.0,9.0,7.0,12.0,23.0,5.0,10.0,17.0,4.0,14.0,564.0
[PART],40.0,41.0,26.0,31.0,42.0,46.0,23.0,63.0,36.0,30.0,31.0,28.0,20.0,34.0,14.0,12.0,17.0,13.0,12.0,559.0
[HOLD],26.0,40.0,28.0,33.0,33.0,29.0,11.0,18.0,32.0,23.0,43.0,39.0,46.0,34.0,18.0,19.0,14.0,17.0,18.0,521.0
[HAT],17.0,18.0,21.0,22.0,28.0,38.0,45.0,19.0,31.0,55.0,38.0,46.0,22.0,10.0,37.0,11.0,12.0,10.0,7.0,487.0
[MAN],20.0,19.0,27.0,16.0,15.0,20.0,11.0,30.0,38.0,21.0,28.0,32.0,48.0,41.0,20.0,26.0,28.0,20.0,17.0,477.0
[CHANCE],8.0,6.0,8.0,4.0,12.0,4.0,16.0,19.0,22.0,39.0,52.0,38.0,60.0,29.0,42.0,35.0,31.0,24.0,22.0,471.0
[MONEY],15.0,7.0,17.0,30.0,27.0,21.0,15.0,18.0,34.0,19.0,26.0,38.0,32.0,27.0,45.0,24.0,14.0,24.0,18.0,451.0
[THING],23.0,8.0,9.0,18.0,19.0,33.0,16.0,40.0,23.0,42.0,29.0,34.0,20.0,23.0,27.0,19.0,19.0,18.0,15.0,435.0
[POSSESSION],61.0,43.0,39.0,44.0,34.0,23.0,25.0,62.0,22.0,17.0,13.0,10.0,8.0,5.0,8.0,5.0,2.0,8.0,2.0,431.0
[TURN],14.0,26.0,18.0,16.0,23.0,18.0,12.0,24.0,22.0,18.0,34.0,15.0,20.0,17.0,21.0,25.0,28.0,36.0,23.0,410.0
[CHILD],39.0,7.0,23.0,30.0,27.0,31.0,15.0,22.0,32.0,18.0,19.0,15.0,14.0,22.0,13.0,10.0,23.0,12.0,10.0,382.0
[WAY],23.0,28.0,50.0,24.0,26.0,12.0,27.0,29.0,18.0,11.0,20.0,9.0,9.0,13.0,14.0,12.0,17.0,16.0,12.0,370.0
[LIFE],49.0,15.0,33.0,19.0,24.0,20.0,21.0,20.0,16.0,19.0,11.0,13.0,9.0,16.0,7.0,14.0,18.0,13.0,19.0,356.0
[WALK],14.0,11.0,11.0,12.0,19.0,15.0,15.0,20.0,15.0,8.0,20.0,16.0,15.0,31.0,27.0,30.0,23.0,28.0,17.0,347.0
[CHARGE],28.0,20.0,21.0,30.0,35.0,13.0,15.0,16.0,21.0,24.0,15.0,21.0,12.0,14.0,13.0,11.0,8.0,3.0,11.0,331.0
[PAPER],13.0,24.0,17.0,14.0,19.0,19.0,12.0,20.0,14.0,25.0,23.0,17.0,29.0,14.0,15.0,17.0,8.0,15.0,8.0,323.0
[INTEREST],11.0,25.0,13.0,28.0,19.0,15.0,26.0,20.0,32.0,24.0,19.0,18.0,11.0,16.0,10.0,8.0,9.0,5.0,5.0,314.0
[WORD],19.0,17.0,20.0,5.0,13.0,16.0,19.0,25.0,20.0,14.0,26.0,16.0,18.0,18.0,18.0,6.0,12.0,20.0,12.0,314.0
[NOTE],11.0,28.0,15.0,14.0,15.0,6.0,31.0,19.0,20.0,22.0,5.0,16.0,13.0,6.0,20.0,25.0,14.0,16.0,17.0,313.0
[NOTICE],36.0,14.0,11.0,20.0,33.0,23.0,14.0,26.0,14.0,15.0,14.0,30.0,11.0,12.0,10.0,8.0,5.0,8.0,9.0,313.0
[HOME],5.0,6.0,6.0,19.0,30.0,22.0,14.0,15.0,22.0,19.0,18.0,17.0,11.0,17.0,12.0,13.0,18.0,21.0,22.0,307.0
[DRINK],4.0,4.0,11.0,5.0,5.0,13.0,22.0,4.0,9.0,15.0,14.0,25.0,27.0,22.0,40.0,29.0,17.0,20.0,19.0,305.0
[POCKET],19.0,8.0,18.0,10.0,21.0,19.0,34.0,24.0,8.0,26.0,19.0,18.0,20.0,9.0,18.0,8.0,9.0,2.0,4.0,294.0
[EYE],14.0,10.0,9.0,6.0,12.0,7.0,7.0,18.0,6.0,15.0,13.0,15.0,13.0,21.0,17.0,16.0,21.0,16.0,31.0,267.0
[HOUSE],22.0,4.0,9.0,13.0,19.0,16.0,14.0,25.0,19.0,17.0,12.0,12.0,19.0,11.0,8.0,7.0,15.0,7.0,16.0,265.0
[COAT],0.0,3.0,4.0,3.0,9.0,9.0,16.0,13.0,11.0,23.0,34.0,32.0,21.0,17.0,14.0,10.0,12.0,17.0,6.0,254.0
[ROOM],6.0,2.0,8.0,5.0,21.0,11.0,11.0,17.0,13.0,14.0,12.0,23.0,22.0,17.0,15.0,20.0,10.0,18.0,7.0,252.0
[PAIN],38.0,14.0,24.0,28.0,11.0,23.0,9.0,18.0,10.0,15.0,10.0,12.0,5.0,2.0,8.0,9.0,5.0,4.0,4.0,249.0
[LETTER],25.0,22.0,8.0,11.0,23.0,23.0,13.0,23.0,10.0,26.0,10.0,6.0,11.0,9.0,13.0,4.0,2.0,4.0,1.0,244.0
[GLASS],13.0,16.0,9.0,8.0,11.0,7.0,9.0,11.0,4.0,16.0,14.0,12.0,17.0,29.0,22.0,11.0,16.0,13.0,5.0,243.0
[HEAD],16.0,17.0,11.0,20.0,8.0,15.0,9.0,12.0,11.0,10.0,19.0,14.0,5.0,12.0,15.0,16.0,13.0,10.0,9.0,242.0
[SIDE],9.0,16.0,14.0,22.0,9.0,14.0,10.0,19.0,13.0,14.0,11.0,6.0,31.0,13.0,9.0,11.0,5.0,6.0,9.0,241.0
[BOOK],19.0,7.0,12.0,12.0,28.0,14.0,10.0,13.0,15.0,10.0,14.0,8.0,15.0,11.0,21.0,11.0,4.0,9.0,4.0,237.0
[MOTHER],22.0,5.0,7.0,20.0,12.0,11.0,7.0,8.0,19.0,12.0,19.0,14.0,3.0,14.0,14.0,7.0,13.0,15.0,15.0,237.0
[PICTURE],4.0,3.0,0.0,1.0,3.0,4.0,12.0,7.0,8.0,13.0,8.0,13.0,19.0,10.0,15.0,16.0,15.0,51.0,35.0,237.0
