lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PLACE],228.0,268.0,211.0,227.0,241.0,290.0,259.0,248.0,217.0,214.0,188.0,195.0,157.0,140.0,160.0,143.0,144.0,144.0,91.0,3765.0
[CARE],39.0,69.0,72.0,46.0,76.0,44.0,60.0,51.0,54.0,81.0,49.0,129.0,77.0,79.0,64.0,47.0,61.0,55.0,83.0,1236.0
[PART],63.0,79.0,47.0,56.0,56.0,55.0,85.0,100.0,69.0,78.0,59.0,59.0,51.0,52.0,52.0,35.0,35.0,24.0,23.0,1078.0
[STEP],16.0,22.0,22.0,23.0,28.0,24.0,37.0,40.0,35.0,44.0,41.0,57.0,59.0,49.0,33.0,53.0,41.0,40.0,42.0,706.0
[ADVANTAGE],32.0,34.0,27.0,23.0,32.0,27.0,32.0,41.0,38.0,47.0,41.0,51.0,29.0,32.0,29.0,22.0,38.0,60.0,47.0,682.0
[ACCOUNT],22.0,13.0,13.0,17.0,26.0,27.0,34.0,44.0,44.0,35.0,30.0,24.0,20.0,24.0,19.0,15.0,23.0,23.0,23.0,476.0
[HAND],18.0,21.0,23.0,26.0,27.0,43.0,28.0,31.0,32.0,34.0,42.0,25.0,26.0,21.0,17.0,15.0,21.0,12.0,13.0,475.0
[POSSESSION],54.0,39.0,38.0,48.0,35.0,61.0,46.0,46.0,29.0,19.0,13.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,0.0,450.0
[VIEW],25.0,38.0,36.0,26.0,25.0,28.0,37.0,23.0,28.0,18.0,15.0,24.0,15.0,22.0,17.0,15.0,14.0,12.0,14.0,432.0
[INTEREST],24.0,34.0,26.0,15.0,27.0,31.0,45.0,34.0,32.0,27.0,21.0,23.0,17.0,10.0,16.0,15.0,8.0,14.0,8.0,427.0
[FORM],4.0,9.0,10.0,13.0,18.0,38.0,31.0,33.0,24.0,35.0,19.0,31.0,19.0,17.0,21.0,18.0,13.0,17.0,12.0,382.0
[MAN],6.0,8.0,23.0,16.0,28.0,12.0,27.0,20.0,24.0,25.0,35.0,31.0,28.0,16.0,16.0,12.0,8.0,6.0,7.0,348.0
[LOOK],1.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,8.0,7.0,24.0,32.0,46.0,41.0,29.0,33.0,51.0,48.0,344.0
[POSITION],5.0,4.0,21.0,16.0,25.0,20.0,33.0,17.0,19.0,21.0,24.0,17.0,14.0,23.0,22.0,14.0,18.0,9.0,9.0,331.0
[COURSE],16.0,10.0,14.0,12.0,6.0,11.0,10.0,28.0,20.0,17.0,19.0,24.0,12.0,27.0,23.0,29.0,17.0,15.0,19.0,329.0
[CHARGE],13.0,14.0,13.0,12.0,26.0,21.0,23.0,31.0,13.0,25.0,12.0,21.0,16.0,13.0,15.0,11.0,9.0,7.0,10.0,305.0
[LIFE],12.0,23.0,25.0,13.0,16.0,15.0,23.0,19.0,18.0,24.0,15.0,18.0,10.0,2.0,14.0,12.0,15.0,14.0,16.0,304.0
[SEAT],12.0,36.0,10.0,26.0,15.0,24.0,30.0,20.0,11.0,9.0,12.0,14.0,8.0,10.0,11.0,13.0,19.0,4.0,9.0,293.0
[ACTION],2.0,2.0,2.0,4.0,3.0,7.0,12.0,9.0,11.0,19.0,17.0,37.0,13.0,27.0,25.0,27.0,37.0,17.0,22.0,293.0
[CHANCE],2.0,2.0,4.0,1.0,7.0,4.0,8.0,10.0,16.0,19.0,17.0,45.0,31.0,21.0,19.0,27.0,14.0,16.0,15.0,278.0
[MEASURE],22.0,33.0,20.0,13.0,12.0,19.0,21.0,10.0,14.0,14.0,12.0,16.0,13.0,6.0,9.0,15.0,13.0,10.0,4.0,276.0
[PAIN],17.0,24.0,20.0,21.0,24.0,21.0,19.0,17.0,10.0,19.0,6.0,13.0,10.0,10.0,11.0,11.0,8.0,8.0,5.0,274.0
[STAND],7.0,17.0,19.0,10.0,7.0,6.0,15.0,6.0,13.0,15.0,27.0,14.0,13.0,29.0,23.0,18.0,16.0,8.0,10.0,273.0
[LEAVE],38.0,40.0,23.0,32.0,17.0,17.0,6.0,17.0,5.0,12.0,5.0,7.0,5.0,8.0,8.0,9.0,15.0,3.0,3.0,270.0
[HOLD],9.0,15.0,12.0,14.0,21.0,16.0,18.0,18.0,17.0,23.0,22.0,16.0,9.0,12.0,7.0,8.0,8.0,5.0,19.0,269.0
[OFFICE],1.0,5.0,5.0,6.0,8.0,9.0,13.0,12.0,17.0,12.0,17.0,21.0,17.0,24.0,19.0,24.0,39.0,3.0,7.0,259.0
[JOB],0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,36.0,37.0,42.0,22.0,24.0,25.0,20.0,21.0,240.0
[SIDE],7.0,12.0,12.0,17.0,27.0,11.0,16.0,17.0,11.0,11.0,11.0,19.0,5.0,9.0,10.0,9.0,6.0,5.0,6.0,221.0
[NOTE],8.0,7.0,8.0,9.0,11.0,11.0,13.0,23.0,12.0,11.0,7.0,8.0,7.0,14.0,9.0,14.0,13.0,18.0,16.0,219.0
[RISK],2.0,1.0,2.0,0.0,6.0,9.0,12.0,7.0,8.0,18.0,8.0,13.0,6.0,24.0,16.0,11.0,22.0,27.0,22.0,214.0
[TURN],5.0,3.0,8.0,7.0,7.0,12.0,7.0,3.0,7.0,5.0,8.0,8.0,19.0,24.0,18.0,19.0,17.0,11.0,25.0,213.0
[THING],4.0,11.0,14.0,14.0,11.0,11.0,7.0,11.0,16.0,17.0,11.0,17.0,8.0,9.0,10.0,17.0,9.0,5.0,6.0,208.0
[LEAD],13.0,16.0,12.0,15.0,16.0,14.0,13.0,4.0,8.0,5.0,11.0,6.0,10.0,12.0,9.0,11.0,9.0,11.0,10.0,205.0
[WORK],7.0,9.0,5.0,3.0,14.0,9.0,16.0,6.0,20.0,16.0,11.0,15.0,10.0,9.0,7.0,9.0,6.0,19.0,14.0,205.0
[PICTURE],1.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,7.0,7.0,4.0,11.0,21.0,23.0,22.0,34.0,18.0,23.0,17.0,199.0
[NOTICE],21.0,21.0,23.0,13.0,11.0,13.0,8.0,12.0,10.0,7.0,11.0,5.0,7.0,7.0,4.0,6.0,7.0,7.0,6.0,199.0
[CASE],5.0,8.0,9.0,8.0,8.0,11.0,9.0,6.0,19.0,11.0,14.0,14.0,10.0,10.0,8.0,9.0,18.0,14.0,4.0,195.0
[MATTER],2.0,5.0,8.0,3.0,11.0,15.0,20.0,25.0,16.0,14.0,15.0,9.0,7.0,13.0,7.0,6.0,6.0,7.0,3.0,192.0
[TROUBLE],11.0,11.0,12.0,7.0,19.0,12.0,17.0,16.0,17.0,12.0,14.0,13.0,5.0,3.0,6.0,6.0,3.0,5.0,1.0,190.0
[MONEY],5.0,1.0,5.0,3.0,8.0,11.0,8.0,5.0,12.0,11.0,8.0,27.0,14.0,15.0,9.0,8.0,10.0,20.0,9.0,189.0
[REFUGE],13.0,18.0,7.0,8.0,10.0,13.0,12.0,12.0,10.0,17.0,12.0,8.0,12.0,6.0,13.0,4.0,8.0,1.0,1.0,185.0
[HOUSE],6.0,8.0,6.0,10.0,11.0,20.0,9.0,11.0,14.0,16.0,6.0,8.0,13.0,13.0,5.0,9.0,11.0,4.0,5.0,185.0
[OATH],17.0,15.0,9.0,13.0,12.0,10.0,29.0,10.0,9.0,3.0,8.0,8.0,8.0,15.0,10.0,2.0,2.0,1.0,2.0,183.0
[PLEASURE],19.0,25.0,13.0,13.0,8.0,10.0,12.0,11.0,8.0,12.0,10.0,5.0,12.0,5.0,4.0,5.0,6.0,1.0,2.0,181.0
[SHAPE],1.0,3.0,3.0,7.0,14.0,12.0,12.0,5.0,10.0,13.0,9.0,5.0,14.0,6.0,12.0,7.0,19.0,15.0,11.0,178.0
[PEOPLE],2.0,6.0,4.0,10.0,3.0,9.0,5.0,8.0,10.0,9.0,4.0,7.0,14.0,9.0,16.0,14.0,14.0,12.0,14.0,170.0
[PRIDE],8.0,5.0,5.0,3.0,3.0,8.0,6.0,9.0,12.0,12.0,7.0,11.0,12.0,16.0,11.0,14.0,8.0,12.0,7.0,169.0
