lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PLACE],202.0,315.0,412.0,248.0,285.0,255.0,246.0,250.0,322.0,227.0,357.0,247.0,282.0,290.0,320.0,291.0,178.0,191.0,180.0,5098.0
[CARE],43.0,99.0,68.0,94.0,72.0,114.0,73.0,81.0,55.0,57.0,41.0,51.0,57.0,81.0,45.0,83.0,38.0,36.0,75.0,1263.0
[PART],38.0,46.0,50.0,29.0,57.0,36.0,60.0,92.0,63.0,72.0,64.0,59.0,72.0,50.0,36.0,43.0,36.0,28.0,31.0,962.0
[ACCOUNT],15.0,16.0,17.0,27.0,24.0,12.0,20.0,10.0,27.0,33.0,42.0,23.0,32.0,47.0,68.0,60.0,58.0,87.0,44.0,662.0
[ADVANTAGE],14.0,30.0,30.0,31.0,17.0,34.0,19.0,35.0,42.0,48.0,26.0,26.0,34.0,46.0,39.0,37.0,39.0,38.0,38.0,623.0
[FORM],10.0,4.0,12.0,17.0,16.0,16.0,20.0,33.0,40.0,36.0,46.0,50.0,56.0,43.0,56.0,40.0,42.0,47.0,19.0,603.0
[STEP],4.0,29.0,11.0,8.0,6.0,23.0,18.0,28.0,30.0,23.0,21.0,24.0,19.0,34.0,27.0,19.0,43.0,51.0,35.0,453.0
[POSSESSION],21.0,26.0,43.0,24.0,45.0,55.0,25.0,41.0,43.0,33.0,15.0,17.0,7.0,18.0,5.0,2.0,4.0,0.0,3.0,427.0
[HAND],16.0,32.0,13.0,25.0,26.0,31.0,40.0,28.0,19.0,35.0,18.0,15.0,11.0,5.0,8.0,11.0,6.0,6.0,11.0,356.0
[VIEW],24.0,18.0,21.0,32.0,26.0,17.0,17.0,8.0,10.0,15.0,11.0,19.0,12.0,19.0,9.0,16.0,26.0,13.0,10.0,323.0
[INTEREST],13.0,21.0,25.0,19.0,15.0,14.0,12.0,28.0,16.0,21.0,18.0,10.0,17.0,12.0,16.0,8.0,14.0,17.0,13.0,309.0
[COURSE],22.0,18.0,16.0,8.0,13.0,13.0,12.0,16.0,18.0,10.0,18.0,15.0,21.0,18.0,25.0,12.0,18.0,13.0,21.0,307.0
[MAN],15.0,18.0,16.0,12.0,19.0,22.0,13.0,18.0,24.0,28.0,17.0,19.0,9.0,15.0,13.0,11.0,6.0,7.0,12.0,294.0
[CONSIDERATION],11.0,31.0,24.0,24.0,14.0,11.0,5.0,3.0,10.0,22.0,16.0,23.0,17.0,23.0,16.0,4.0,7.0,9.0,18.0,288.0
[POSITION],16.0,13.0,12.0,19.0,16.0,15.0,8.0,21.0,16.0,8.0,23.0,17.0,17.0,10.0,16.0,15.0,13.0,7.0,19.0,281.0
[ACTION],1.0,0.0,4.0,1.0,2.0,2.0,6.0,8.0,14.0,7.0,13.0,17.0,15.0,17.0,23.0,39.0,24.0,33.0,39.0,265.0
[CHARGE],12.0,15.0,13.0,13.0,16.0,17.0,8.0,33.0,10.0,19.0,11.0,13.0,16.0,14.0,11.0,6.0,17.0,5.0,7.0,256.0
[HOLD],13.0,15.0,19.0,25.0,9.0,19.0,25.0,14.0,9.0,12.0,12.0,9.0,12.0,6.0,6.0,6.0,9.0,6.0,14.0,240.0
[REFUGE],22.0,7.0,7.0,9.0,22.0,24.0,24.0,20.0,30.0,12.0,6.0,6.0,9.0,10.0,2.0,3.0,3.0,6.0,6.0,228.0
[SEAT],10.0,62.0,22.0,5.0,12.0,16.0,6.0,33.0,7.0,10.0,6.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,14.0,226.0
[MEASURE],19.0,18.0,26.0,8.0,15.0,4.0,8.0,14.0,14.0,20.0,9.0,7.0,11.0,7.0,6.0,5.0,8.0,10.0,16.0,225.0
[NAME],7.0,17.0,21.0,11.0,19.0,15.0,11.0,13.0,17.0,24.0,4.0,7.0,15.0,7.0,6.0,10.0,8.0,5.0,5.0,222.0
[PAIN],13.0,17.0,6.0,12.0,14.0,18.0,17.0,12.0,14.0,16.0,9.0,4.0,20.0,6.0,6.0,16.0,6.0,9.0,5.0,220.0
[OATH],7.0,24.0,36.0,11.0,18.0,10.0,7.0,12.0,8.0,9.0,6.0,10.0,12.0,8.0,4.0,5.0,3.0,20.0,8.0,218.0
[LIFE],10.0,9.0,8.0,9.0,13.0,11.0,12.0,20.0,13.0,12.0,13.0,12.0,12.0,9.0,3.0,5.0,8.0,5.0,14.0,198.0
[LEAVE],17.0,29.0,33.0,10.0,19.0,13.0,20.0,17.0,7.0,5.0,6.0,5.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,197.0
[NOTICE],22.0,14.0,20.0,9.0,21.0,11.0,13.0,9.0,7.0,11.0,11.0,6.0,15.0,7.0,4.0,4.0,2.0,1.0,4.0,191.0
[PRISONER],25.0,1.0,18.0,2.0,22.0,17.0,3.0,13.0,27.0,25.0,7.0,4.0,4.0,6.0,0.0,1.0,6.0,5.0,5.0,191.0
[ARM],17.0,11.0,19.0,8.0,15.0,19.0,9.0,21.0,11.0,16.0,6.0,5.0,1.0,3.0,4.0,9.0,1.0,10.0,5.0,190.0
[SIDE],9.0,14.0,22.0,11.0,10.0,15.0,8.0,11.0,8.0,15.0,3.0,9.0,7.0,8.0,9.0,7.0,12.0,3.0,6.0,187.0
[CHILD],6.0,10.0,6.0,5.0,3.0,15.0,10.0,29.0,3.0,14.0,9.0,3.0,15.0,7.0,6.0,22.0,7.0,8.0,9.0,187.0
[TURN],2.0,3.0,6.0,3.0,12.0,12.0,10.0,12.0,7.0,8.0,6.0,10.0,15.0,3.0,11.0,12.0,9.0,12.0,16.0,169.0
[CASE],8.0,6.0,8.0,11.0,10.0,10.0,7.0,8.0,11.0,14.0,18.0,5.0,10.0,4.0,9.0,9.0,7.0,10.0,4.0,169.0
[WAY],18.0,4.0,3.0,3.0,17.0,9.0,9.0,12.0,18.0,8.0,6.0,5.0,8.0,8.0,9.0,10.0,7.0,7.0,7.0,168.0
[WORK],2.0,5.0,0.0,10.0,7.0,9.0,11.0,12.0,13.0,10.0,16.0,12.0,11.0,8.0,13.0,10.0,8.0,4.0,6.0,167.0
[STAND],4.0,11.0,10.0,5.0,3.0,6.0,14.0,9.0,9.0,17.0,7.0,10.0,7.0,7.0,12.0,13.0,11.0,2.0,5.0,162.0
[WATER],4.0,7.0,8.0,10.0,19.0,18.0,12.0,6.0,14.0,13.0,14.0,8.0,9.0,2.0,5.0,5.0,4.0,1.0,3.0,162.0
[COMMAND],18.0,1.0,13.0,2.0,12.0,6.0,3.0,4.0,24.0,8.0,15.0,12.0,4.0,1.0,2.0,16.0,2.0,5.0,13.0,161.0
[LEAD],4.0,9.0,8.0,5.0,10.0,13.0,11.0,8.0,4.0,5.0,7.0,18.0,5.0,12.0,6.0,2.0,17.0,6.0,8.0,158.0
[LOOK],1.0,3.0,0.0,3.0,8.0,9.0,3.0,2.0,4.0,7.0,1.0,9.0,4.0,20.0,17.0,12.0,9.0,17.0,29.0,158.0
[ROOT],4.0,16.0,11.0,13.0,8.0,11.0,12.0,3.0,8.0,6.0,6.0,10.0,8.0,9.0,6.0,3.0,8.0,7.0,9.0,158.0
[RESPONSIBILITY],0.0,2.0,2.0,3.0,3.0,6.0,5.0,2.0,3.0,7.0,4.0,8.0,2.0,17.0,17.0,15.0,31.0,18.0,8.0,153.0
[TROUBLE],5.0,19.0,5.0,12.0,6.0,7.0,14.0,17.0,8.0,7.0,6.0,4.0,7.0,9.0,6.0,5.0,6.0,3.0,4.0,150.0
[WORD],10.0,9.0,7.0,7.0,11.0,4.0,12.0,10.0,8.0,3.0,11.0,8.0,5.0,10.0,7.0,7.0,8.0,0.0,9.0,146.0
[OPPORTUNITY],10.0,6.0,5.0,8.0,13.0,8.0,6.0,9.0,11.0,9.0,10.0,4.0,6.0,8.0,10.0,5.0,5.0,9.0,4.0,146.0
[FIRE],3.0,24.0,6.0,3.0,11.0,8.0,10.0,4.0,4.0,53.0,3.0,3.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,145.0
[NOTE],2.0,11.0,4.0,8.0,10.0,5.0,9.0,7.0,5.0,8.0,2.0,6.0,4.0,6.0,12.0,8.0,10.0,13.0,14.0,144.0
[HOUSE],5.0,8.0,18.0,4.0,13.0,5.0,10.0,16.0,5.0,10.0,5.0,10.0,5.0,9.0,6.0,4.0,5.0,1.0,3.0,142.0
[SHAPE],1.0,1.0,2.0,4.0,0.0,10.0,10.0,7.0,12.0,10.0,10.0,9.0,6.0,14.0,15.0,5.0,7.0,8.0,9.0,140.0
[MATTER],3.0,4.0,5.0,5.0,6.0,7.0,13.0,11.0,9.0,19.0,14.0,11.0,7.0,3.0,7.0,4.0,4.0,4.0,4.0,140.0
[FACT],6.0,7.0,5.0,10.0,7.0,3.0,6.0,6.0,4.0,7.0,12.0,3.0,6.0,19.0,11.0,4.0,10.0,5.0,7.0,138.0
[--],2.0,5.0,8.0,9.0,24.0,19.0,18.0,11.0,7.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,134.0
[OTHER],9.0,10.0,6.0,4.0,11.0,8.0,7.0,4.0,8.0,6.0,4.0,6.0,7.0,21.0,5.0,2.0,8.0,4.0,3.0,133.0
[PLEASURE],3.0,6.0,17.0,8.0,15.0,13.0,9.0,11.0,5.0,9.0,3.0,6.0,3.0,4.0,2.0,7.0,2.0,4.0,4.0,131.0
[THING],6.0,8.0,11.0,7.0,5.0,5.0,6.0,11.0,5.0,11.0,13.0,2.0,6.0,6.0,4.0,7.0,3.0,4.0,11.0,131.0
[FIELD],13.0,1.0,9.0,3.0,16.0,4.0,10.0,7.0,19.0,5.0,6.0,4.0,11.0,5.0,1.0,4.0,2.0,5.0,6.0,131.0
[CHANCE],1.0,1.0,4.0,8.0,1.0,6.0,6.0,8.0,13.0,9.0,10.0,11.0,20.0,5.0,7.0,9.0,2.0,2.0,6.0,129.0
[POWER],10.0,11.0,11.0,6.0,11.0,4.0,2.0,4.0,5.0,10.0,5.0,8.0,3.0,3.0,6.0,8.0,8.0,2.0,9.0,126.0
[EFFECT],4.0,6.0,10.0,7.0,12.0,11.0,5.0,2.0,5.0,4.0,3.0,9.0,7.0,2.0,9.0,9.0,8.0,3.0,8.0,124.0
[WHOLE],2.0,5.0,5.0,12.0,5.0,11.0,7.0,4.0,10.0,7.0,11.0,11.0,6.0,8.0,1.0,7.0,2.0,5.0,4.0,123.0
