lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],49.0,50.0,77.0,62.0,53.0,101.0,59.0,65.0,76.0,66.0,36.0,46.0,44.0,36.0,52.0,39.0,20.0,25.0,20.0,976.0
[NAME],32.0,43.0,46.0,55.0,55.0,37.0,44.0,40.0,45.0,31.0,34.0,30.0,32.0,21.0,25.0,23.0,9.0,17.0,20.0,639.0
[WITNESS],31.0,31.0,27.0,24.0,23.0,20.0,18.0,51.0,20.0,29.0,16.0,14.0,9.0,8.0,5.0,8.0,10.0,7.0,6.0,357.0
[RESEMBLANCE],27.0,18.0,20.0,18.0,25.0,16.0,10.0,17.0,15.0,15.0,14.0,16.0,12.0,18.0,7.0,14.0,15.0,14.0,22.0,313.0
[FRUIT],4.0,14.0,30.0,19.0,23.0,25.0,13.0,22.0,19.0,21.0,13.0,11.0,10.0,18.0,4.0,6.0,9.0,8.0,2.0,271.0
[CHILD],4.0,0.0,4.0,8.0,2.0,20.0,3.0,22.0,3.0,12.0,11.0,27.0,32.0,18.0,12.0,20.0,11.0,13.0,11.0,233.0
[ARM],20.0,35.0,25.0,33.0,27.0,11.0,9.0,10.0,7.0,6.0,3.0,6.0,10.0,1.0,3.0,7.0,7.0,8.0,3.0,231.0
[BURDEN],9.0,4.0,20.0,23.0,22.0,21.0,11.0,22.0,13.0,8.0,12.0,12.0,6.0,1.0,6.0,9.0,3.0,10.0,10.0,222.0
[TESTIMONY],31.0,29.0,26.0,21.0,22.0,22.0,14.0,22.0,8.0,5.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,217.0
[MAN],13.0,19.0,11.0,22.0,13.0,13.0,12.0,10.0,12.0,25.0,7.0,14.0,8.0,5.0,9.0,7.0,6.0,2.0,7.0,215.0
[RELATION],4.0,22.0,24.0,7.0,13.0,16.0,11.0,9.0,26.0,16.0,12.0,7.0,8.0,5.0,6.0,3.0,11.0,4.0,3.0,207.0
[PART],29.0,12.0,9.0,41.0,22.0,10.0,6.0,14.0,8.0,9.0,7.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,186.0
[MARKS],17.0,16.0,16.0,20.0,15.0,12.0,6.0,17.0,6.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,147.0
[WEIGHT],7.0,7.0,9.0,14.0,7.0,8.0,2.0,6.0,4.0,18.0,3.0,6.0,5.0,4.0,3.0,4.0,3.0,4.0,7.0,121.0
[QUESTION],10.0,16.0,6.0,4.0,10.0,12.0,11.0,6.0,8.0,4.0,4.0,6.0,3.0,3.0,1.0,1.0,0.0,5.0,2.0,112.0
