lemma,count
mind,24
name,18
"",13
part,12
witness,11
testimony,10
arm,10
fruit,8
interest,7
relation,7
burden,7
proportion,7
resemblance,7
marks,6
question,5
government,4
power,4
man,4
state,4
weight,3
sway,3
society,3
rate,3
life,3
//,3
soul,3
reference,3
date,3
proclamation,3
point,3
share,3
work,3
side,2
case,2
friend,2
effect,2
behalf,2
object,2
other,2
stain,2
silence,2
record,2
youth,2
importance,2
position,2
disappointment,2
human,2
comparison,2
companion,2
sense,2
fact,2
secret,2
hand,2
home,2
signature,2
expense,2
behavior,2
pain,2
current,2
character,2
property,2
sacrifice,2
present,2
truth,2
lord,2
event,2
rule,2
consequence,2
shoulder,2
people,2
seed,2
fire,2
force,2
letter,2
test,2
bust,1
success,1
council,1
historian,1
tax,1
vessel,1
well-being,1
autograph,1
body,1
sovereign,1
presence,1
fulness,1
physician,1
shore,1
protection,1
kingship,1
paper,1
self-reproach,1
voice,1
stamp,1
selection,1
engine,1
tribute,1
killing,1
prisoner,1
flow,1
statesman,1
defender,1
blow,1
canse,1
rebel,1
lung,1
inscription,1
fortune,1
twentysecond,1
truthfulness,1
uncle,1
identity,1
idea,1
practice,1
creation,1
career,1
solemnity,1
reasoning,1
phenomenon,1
rebellion,1
construction,1
term,1
discharge,1
manufacturer,1
volley,1
future,1
discussion,1
malice,1
grudge,1
captain,1
personage,1
amount,1
thing,1
encampment,1
tiding,1
limb,1
front,1
eariy,1
pole,1
intellectual,1
gentleman,1
hint,1
mean,1
discovery,1
want,1
sympathy,1
son,1
principle,1
comfort,1
health,1
gun,1
total,1
meekness,1
tale,1
absurdity,1
coast,1
virtue,1
commission,1
despatch,1
origin,1
star,1
assessment,1
ny,1
salvation,1
forgiveness,1
comrade,1
alarm,1
issue,1
cheer,1
destiny,1
merchant,1
march,1
yoke,1
uncertainty,1
terror,1
lion,1
ill,1
course,1
corduroy,1
flag,1
estate,1
public,1
fur,1
privation,1
pace,1
fag-end,1
injunction,1
folly,1
chancellor,1
number,1
fall,1
revolution,1
grave,1
negro,1
attorney,1
remark,1
address,1
respect,1
consumer,1
look,1
french,1
general,1
bravery,1
face,1
sum,1
hope,1
governor-general,1
army,1
remnant,1
legislation,1
assertion,1
species,1
age,1
whale,1
trust,1
race,1
facade,1
producer,1
apex,1
assurance,1
problem,1
triumph,1
sincerity,1
view,1
remembrance,1
patience,1
misfortune,1
jolt,1
chief,1
rose,1
description,1
moment,1
furtherance,1
introduction,1
duty,1
nature,1
traveler,1
aspect,1
portion,1
title,1
civilization,1
blood,1
evidence,1
wave,1
think,1
subjugation,1
ratio,1
wish,1
population,1
method,1
consciousness,1
brunt,1
sake,1
hindrance,1
organ,1
faith,1
reverence,1
court,1
fortitude,1
audience,1
slavery,1
strain,1
world,1
nation,1
firmness,1
stranger,1
harvest,1
panther,1
american,1
measure,1
pet,1
curse,1
spirit,1
office,1
renewal,1
meaning,1
charge,1
christian,1
bivouac,1
way,1
solitude,1
courage,1
sky,1
uprightness,1
secession,1
maker,1
moderation,1
author,1
scrutiny,1
direction,1
fund,1
first-born,1
right,1
posterity,1
happiness,1
development,1
settler,1
bear,1
quarter,1
profession,1
neutrality,1
review,1
preparation,1
countenance,1
responsibility,1
leaf,1
eulogy,1
inspection,1
will,1
exposure,1
form,1
level,1
cold,1
sphere,1
calm,1
wind,1
contemporary,1
infusion,1
love,1
production,1
bank-note,1
stand,1
victor,1
sign,1
exaction,1
journey,1
parallel,1
title-page,1
criticism,1
authority,1
prayer,1
research,1
latin,1
minorca,1
purpose,1
dispute,1
stick,1
wealth,1
prince,1
shock,1
english,1
--,1
