lemma,count
mind,109
"",36
name,33
fruit,23
man,22
resemblance,22
witness,22
testimony,19
burden,18
interest,14
weight,14
question,13
part,12
subject,11
title,10
relation,10
arm,10
wolf,10
proportion,9
life,9
thing,9
--,9
examination,8
grudge,8
point,7
love,7
think,7
deer,7
trace,7
cross,7
hand,7
child,6
shoulder,6
bear,6
folk,6
power,6
water,6
marks,6
soul,6
breeze,6
rate,5
pain,5
influence,5
cherry,5
fact,5
present,5
direction,5
light,5
government,5
stamp,5
place,5
body,5
mark,5
word,5
chief,4
company,4
rear,4
horse,4
indian,4
house,4
case,4
load,4
trial,4
shock,4
bosom,4
transportation,4
wind,4
character,4
flag,4
history,4
story,4
evidence,4
trouble,4
head,4
earth,4
problem,4
human,4
wing,4
truth,4
hall,3
hyaena,3
heart,3
wagon,3
malice,3
misfortune,3
issue,3
artist,3
theory,3
forbear,3
force,3
lake,3
presence,3
river,3
glory,3
existence,3
tide,3
officer,3
responsibility,3
tahoe,3
back,3
daughter,3
way,3
taxation,3
fire,3
banner,3
lion,3
boar,3
action,3
end,3
news,3
tax,3
tiger,3
experience,3
basket,3
manner,3
flower,3
sea,3
meat,3
law,3
solution,3
home,3
creek,3
individual,2
account,2
example,2
illustration,2
tree,2
happiness,2
sight,2
it,2
leaf,2
mountain,2
will,2
disease,2
death,2
balm,2
fight,2
expression,2
high-bred,2
ride,2
inscription,2
podge,2
controversy,2
rosalie,2
boy,2
terror,2
rest,2
genius,2
promise,2
language,2
gem,2
peace,2
species,2
rose,2
premium,2
seal,2
likeness,2
sin,2
brunt,2
cry,2
foot,2
taunt,2
grass,2
quality,2
enemy,2
mortal,2
message,2
gift,2
strength,2
evil,2
journey,2
heat,2
criticism,2
mouthful,2
emigrant,2
anxiety,2
father,2
profit,2
timber,2
beauty,2
process,2
study,2
fox,2
investigation,2
pennant,2
call,2
salver,2
term,2
region,2
sympathy,2
comfort,2
treasure,2
beast,2
tray,2
family,2
seed,2
whole,2
group,2
prophet,2
ship,2
needle,2
reader,2
consideration,2
course,2
kind,2
final,2
trap,2
crimson,2
good,2
side,2
remark,2
silver,2
flood,2
respect,2
red,2
work,2
leopard,2
harmony,2
//,2
hope,2
dark,2
wife,2
twin,2
charge,2
brand,2
test,2
crop,2
development,2
cub,2
analogy,2
woman,2
god,2
opinion,2
disgrace,2
lapse,2
comparison,2
lantern,2
array,2
imputation,2
shore,2
workingmen,2
blow,2
date,2
intellectual,2
son,2
nurse,2
public,2
consequence,2
conversation,2
cottage,2
majority,2
interference,2
face,2
husband,2
answer,2
forest,2
conclusion,2
ear,2
patience,2
welfare,2
moment,2
odium,2
book,2
other,2
grizzly,2
brother,2
inverse,2
person,2
panther,2
bas-relief,1
defiance,1
reward,1
land,1
weep,1
tongue,1
bride,1
suspicion,1
eye,1
fear,1
stream,1
mount,1
abuse,1
wood,1
till,1
refine,1
cat,1
climate,1
corpse,1
germ,1
regiment,1
obstacle,1
atonements,1
stay,1
monarch,1
matter,1
junk,1
command,1
yard,1
crash,1
excitement,1
courtesy,1
worth,1
collision,1
creature,1
appearance,1
clay,1
pig,1
one,1
breakfast,1
argosy,1
perform,1
look,1
luxury,1
feature,1
den,1
pine,1
troop,1
abode,1
slingin,1
tempest,1
uttermost,1
waiter,1
oil,1
ceiling,1
opposition,1
capital,1
possession,1
vallejo,1
leave,1
peak,1
oar,1
record,1
rogue,1
university,1
position,1
scent,1
risk,1
coffin,1
use,1
grace,1
impunity,1
vault,1
decree,1
infant,1
nitrite,1
success,1
strain,1
harvest,1
shear,1
whirlwind,1
leader,1
mate,1
memory,1
mule,1
atlas,1
sound,1
bow,1
squatter,1
object,1
defeat,1
incident,1
flog,1
shower,1
reform,1
mast,1
novel,1
tear,1
verification,1
fancy,1
dispatch,1
loss,1
price,1
pod,1
night-wind,1
military,1
score,1
cost,1
brewer,1
skin,1
porridge,1
greek,1
press,1
distance,1
tribute,1
garden,1
ruin,1
scar,1
sovereign,1
castle,1
slight,1
blame,1
truthfulness,1
wall,1
world,1
essence,1
hog,1
candidate,1
relic,1
woodchuck,1
monkey,1
gale,1
flash,1
poet,1
collector,1
waywardness,1
liberality,1
rule,1
plumage,1
hearty,1
bowel,1
building,1
chorister,1
equanimity,1
hole,1
center,1
sash,1
fellow,1
scrawl,1
dose,1
piece,1
walk,1
discussion,1
bay,1
hare,1
dove,1
foment,1
republic,1
science,1
neck,1
take,1
amount,1
dependent,1
springs,1
lead,1
fellow-citizen,1
jewel,1
unitarian,1
heaven,1
pole,1
carry,1
widow,1
order,1
hint,1
gentleness,1
shot,1
king,1
relief,1
supply,1
platform,1
discovery,1
raspberry,1
envelope,1
transaction,1
generosity,1
native,1
preoccupation,1
tribe,1
sky,1
fat,1
mony,1
haven,1
bench,1
placard,1
clothing,1
fertility,1
sergeant-at-arms,1
plenty,1
intention,1
mother,1
absurdity,1
labor,1
plain,1
punishment,1
standard,1
emergency,1
star,1
exposition,1
purchaser,1
division,1
assent,1
embrace,1
tribune,1
shriek,1
symbol,1
apple,1
enterprise,1
outline,1
eruption,1
speaker,1
attention,1
canine,1
mirror,1
pardon,1
murderer,1
buddhist,1
description,1
groan,1
glaciation,1
stone,1
destiny,1
mineral,1
member,1
duke,1
globe,1
grotesque,1
morris,1
fragment,1
yoke,1
chance,1
kitchen,1
peculiarity,1
surface,1
burthen,1
mortification,1
market,1
indication,1
brink,1
pack,1
sail,1
live,1
thought,1
accumulation,1
agen,1
jaw,1
animal,1
doom,1
number,1
neighbor,1
childhood,1
weakness,1
people,1
scandal,1
horn,1
marl,1
puritan,1
writer,1
sermon,1
workmanship,1
torrent,1
bread,1
lie,1
branch,1
sub-ject,1
touch,1
politics,1
possibility,1
illness,1
friend,1
distention,1
holly,1
past,1
cash,1
bush,1
green,1
breath,1
brainerd,1
prize,1
capacity,1
household,1
reporting,1
condition,1
ursus,1
choice,1
safe,1
bunch,1
owner,1
resistance,1
go,1
door,1
rope,1
separatist,1
separation,1
age,1
business,1
assertion,1
exterior,1
make,1
wolfskin,1
wait,1
wrinkle,1
confederate,1
system,1
honor,1
slave,1
ethnologist,1
lecture,1
triumph,1
moisture,1
union,1
version,1
college,1
achievement,1
fright,1
music,1
education,1
undertaking,1
gorge,1
carving,1
sentiment,1
shield,1
teaching,1
spectacle,1
form,1
sarpedon,1
value,1
inspection,1
compound,1
aisle,1
carpet,1
prolongation,1
spring,1
breathe,1
vase,1
cathedral,1
wash,1
proposition,1
calamity,1
girl,1
party,1
quickness,1
effect,1
injury,1
genesis,1
stag,1
table,1
isolation,1
reproach,1
nerve,1
infamy,1
garb,1
visit,1
vigor,1
destruction,1
countenance,1
simplicity,1
dismay,1
bale,1
fit,1
floor,1
circus,1
interpretation,1
estimate,1
appellation,1
irrigation,1
arkadians,1
kinship,1
bond,1
picket,1
bucket,1
buffaloes,1
merit,1
cold,1
bull,1
tooth,1
plan,1
clemence,1
alligator,1
ark,1
judge,1
dampness,1
motion,1
litter,1
store,1
task,1
mayall,1
blue,1
consecration,1
jonas,1
leg,1
temple,1
spirituality,1
step,1
lot,1
jungle,1
stem,1
combination,1
popularity,1
felon,1
ve,1
idiosyncrasy,1
robe,1
universality,1
coolness,1
sally,1
motto,1
torch,1
guard,1
pool,1
hero,1
encouragement,1
hardness,1
deal,1
youth,1
blush,1
fortune,1
foundation,1
design,1
sigurd,1
hunter,1
steam,1
disposition,1
motive,1
district,1
chieftain,1
notice,1
church,1
hollow,1
bradlaugh,1
route,1
safety,1
department,1
guy,1
vicissitude,1
beard,1
right,1
lobby,1
air,1
suffering,1
commission,1
vine,1
meeting,1
darwinism,1
giant,1
venison,1
disruption,1
consolation,1
preacher,1
under-jaw,1
wine,1
uncertainty,1
depletion,1
couple,1
flask,1
tea-pot,1
health,1
sting,1
noise,1
greeting,1
bottle,1
nursing,1
gratitude,1
inn,1
trait,1
mass,1
stratagem,1
repose,1
living,1
debt,1
chapter,1
prejudice,1
fore,1
stirrin,1
wilderness,1
ball,1
aperture,1
arrow,1
inhabitant,1
deception,1
delight,1
event,1
locomotive,1
elucidation,1
injunction,1
scrutiny,1
saviour,1
error,1
pressure,1
seaman,1
fortitude,1
movement,1
decomposition,1
narrative,1
beginning,1
image,1
address,1
share,1
savage,1
berry,1
fly,1
log,1
limit,1
candle,1
private,1
focus,1
fern,1
correctness,1
letter,1
stillness,1
rider,1
serpent,1
ground,1
woe,1
conception,1
german,1
beaver,1
paw,1
row,1
scroll,1
healing,1
suffer,1
list,1
raccoon,1
policy,1
circumstance,1
infirmity,1
sister,1
sleep,1
elephant,1
prey,1
cookery,1
duty,1
dance,1
affair,1
nature,1
growl,1
aspect,1
misery,1
art,1
future,1
iscariot,1
filth,1
blood,1
faithfulness,1
fall,1
cabinet,1
freedom,1
flesh,1
monster,1
ratio,1
wish,1
thoughtfulness,1
composure,1
host,1
railway,1
town-meetings,1
anchor,1
sake,1
barking,1
reign,1
alabaster,1
tobe,1
defect,1
grave,1
spectator,1
sword,1
frontiersman,1
faith,1
approach,1
court,1
convention,1
adversity,1
count,1
charm,1
brush,1
servitude,1
commissioner,1
theer,1
shelter,1
