lemma,count
child,18
"",8
name,4
legend,4
weight,4
mind,4
boone,3
hug,2
think,2
hand,2
death,2
bear,2
dish,2
sight,2
turn,2
burden,2
silver,2
man,2
middle,1
antic,1
girl,1
reason,1
tiding,1
pole,1
lady,1
foe,1
brunt,1
sake,1
secretary,1
fool,1
channel,1
other,1
right,1
indentation,1
son,1
plateau,1
apartment,1
coconut,1
wreck,1
cub,1
arm,1
tray,1
taxi,1
maury,1
quarter,1
attack,1
fruit,1
air,1
dog,1
woman,1
labor,1
siren,1
life,1
bundle,1
greeting,1
armour,1
core,1
lucilla,1
ship,1
joyland,1
chest,1
stretcher,1
clarions,1
disgrace,1
fear,1
eye,1
will,1
glance,1
pegler,1
creek,1
canvas,1
marks,1
grandson,1
grandchild,1
back,1
genius,1
flag,1
cold,1
wind,1
notion,1
roll,1
gibe,1
offer,1
judge,1
number,1
pressure,1
mine,1
revolver,1
escalator,1
citrus,1
land,1
platter,1
share,1
deer,1
look,1
red,1
lettering,1
cup,1
log,1
blessing,1
buttress,1
resemblance,1
gold,1
rai,1
letter,1
anxiety,1
lightning-stroke,1
package,1
news,1
grease,1
silence,1
volume,1
plumbing,1
body,1
ozark,1
imprint,1
postmark,1
instinct,1
light,1
harbor,1
fork,1
voice,1
obtuseness,1
skin,1
stamp,1
grove,1
cellar,1
linen,1
flow,1
team,1
youth,1
clown,1
dignity,1
witch,1
tureen,1
buddy,1
spaghetti,1
suspense,1
master,1
date,1
fellow,1
kinsman,1
malice,1
grudge,1
buffalo,1
captain,1
rider,1
thing,1
snake,1
stillness,1
ridge,1
pomposity,1
daughter,1
claw,1
need,1
tomato,1
impulse,1
feel,1
part,1
sawmill,1
picture,1
camp,1
evidence,1
door,1
blanket,1
drink,1
wave,1
