lemma,count
mind,30
child,13
resemblance,7
name,7
responsibility,5
"",5
burden,5
fruit,4
fact,4
flower,3
leaf,3
stalk,3
relationship,3
pattern,3
bath,2
witness,2
action,2
information,2
business,2
brunt,2
number,2
part,2
present,2
branch,2
relation,2
cone,2
id,2
sporangia,2
recreation,2
tree,1
self-esteem,1
company,1
state,1
development,1
vip,1
italian,1
pollen,1
analysis,1
society,1
capsule,1
emblem,1
clearing,1
tension,1
bone,1
mass,1
conduct,1
inverse,1
zone,1
margin,1
concentration,1
competency,1
uncertainty,1
interest,1
approval,1
fate,1
course,1
chapter,1
education,1
monarchy,1
ensign,1
wind,1
characteristic,1
change,1
committee,1
network,1
thought,1
chill,1
theory,1
enemy,1
event,1
amazement,1
model,1
pressure,1
chemical,1
ganglion,1
evil,1
style,1
narrative,1
side,1
exploration,1
image,1
maintenance,1
past,1
authority,1
eagle,1
scientist,1
validity,1
deer,1
green,1
magnitude,1
french,1
appearance,1
female,1
position,1
affiliate,1
hall,1
risk,1
stamen,1
oil,1
opposition,1
lot,1
ranger,1
bunch,1
shoot,1
search,1
stem,1
letter,1
rota,1
program,1
gait,1
human,1
leader,1
apex,1
historian,1
well-being,1
object,1
forest,1
system,1
echo,1
ground,1
data,1
top,1
poem,1
revolt,1
dowry,1
ability,1
price,1
trace,1
stamp,1
cross,1
rent,1
distance,1
hero,1
odour,1
developer,1
process,1
study,1
male,1
design,1
location,1
experience,1
reference,1
piece,1
proportionality,1
future,1
assumption,1
shame,1
malice,1
weight,1
pill,1
ivy,1
room,1
safety,1
sobriety,1
sculptor,1
son,1
independence,1
principle,1
plant,1
psilophytes,1
examination,1
profusion,1
stress,1
frond,1
concern,1
sporophyte,1
corner,1
origin,1
man,1
head,1
average,1
base,1
life,1
welfare,1
intelligence,1
account,1
truth,1
moment,1
sentiment,1
furniture,1
teaching,1
duty,1
acquisition,1
dwell,1
community,1
possibility,1
title,1
gaul,1
relevance,1
evidence,1
seal,1
wish,1
planning,1
gland,1
rhizoids,1
bignesse,1
heart,1
reign,1
designation,1
organ,1
setae,1
