lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[NAME],9.0,12.0,20.0,10.0,16.0,9.0,14.0,4.0,5.0,8.0,5.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,4.0,138.0
[MIND],14.0,8.0,15.0,6.0,13.0,9.0,2.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,12.0,4.0,2.0,3.0,1.0,118.0
[MAN],11.0,9.0,3.0,12.0,5.0,2.0,4.0,5.0,3.0,12.0,4.0,7.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,98.0
[WITNESS],15.0,10.0,9.0,10.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,5.0,4.0,2.0,3.0,90.0
[CHILD],4.0,0.0,3.0,4.0,1.0,11.0,1.0,4.0,0.0,2.0,0.0,15.0,18.0,5.0,5.0,3.0,3.0,9.0,1.0,89.0
[HAND],3.0,8.0,11.0,12.0,10.0,3.0,4.0,7.0,2.0,5.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,75.0
[ARM],5.0,11.0,16.0,13.0,5.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,3.0,74.0
[BURDEN],3.0,2.0,6.0,10.0,9.0,10.0,2.0,6.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,63.0
[FRUIT],1.0,0.0,5.0,5.0,8.0,8.0,2.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,53.0
[PART],11.0,3.0,3.0,13.0,5.0,3.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,52.0
[THINK],0.0,2.0,1.0,5.0,4.0,2.0,3.0,6.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,2.0,4.0,3.0,1.0,48.0
[FLAG],3.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,46.0
[THING],4.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,11.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,42.0
[WEIGHT],3.0,2.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,41.0
[LIFE],5.0,0.0,1.0,5.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,40.0
[RESEMBLANCE],6.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,40.0
[WORD],1.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,31.0
[TESTIMONY],10.0,1.0,4.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0
[HEART],4.0,2.0,1.0,7.0,4.0,3.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
[COMPANY],1.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,28.0
[HEAD],7.0,1.0,1.0,5.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,28.0
[MESSAGE],2.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,26.0
[MARKS],3.0,2.0,3.0,5.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0
[EYE],1.0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,24.0
