lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],17.0,22.0,27.0,20.0,24.0,43.0,27.0,36.0,36.0,33.0,15.0,8.0,12.0,7.0,6.0,5.0,7.0,7.0,6.0,358.0
[NAME],15.0,20.0,14.0,19.0,18.0,14.0,11.0,7.0,23.0,11.0,12.0,15.0,6.0,10.0,16.0,13.0,4.0,13.0,9.0,250.0
[RESEMBLANCE],17.0,11.0,5.0,4.0,7.0,4.0,4.0,2.0,6.0,8.0,4.0,2.0,5.0,12.0,3.0,6.0,10.0,6.0,11.0,127.0
[WITNESS],8.0,12.0,5.0,10.0,11.0,12.0,10.0,8.0,8.0,15.0,3.0,7.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,121.0
[RELATION],2.0,15.0,12.0,4.0,7.0,8.0,7.0,3.0,12.0,7.0,4.0,2.0,3.0,4.0,3.0,1.0,5.0,0.0,2.0,101.0
[TESTIMONY],9.0,19.0,12.0,13.0,10.0,9.0,7.0,8.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
[BURDEN],1.0,1.0,8.0,9.0,7.0,8.0,7.0,13.0,6.0,5.0,8.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,94.0
[FRUIT],1.0,2.0,4.0,10.0,8.0,6.0,6.0,4.0,9.0,5.0,3.0,2.0,3.0,9.0,2.0,1.0,5.0,3.0,0.0,83.0
[PART],11.0,7.0,5.0,14.0,12.0,5.0,5.0,6.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,76.0
[MARKS],11.0,13.0,10.0,8.0,6.0,3.0,2.0,8.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,71.0
[MAN],1.0,6.0,5.0,6.0,4.0,6.0,5.0,2.0,5.0,4.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,4.0,63.0
[CHILD],0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,3.0,9.0,4.0,10.0,4.0,4.0,4.0,7.0,3.0,3.0,63.0
[PROPORTION],7.0,5.0,14.0,9.0,7.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
