lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],18.0,20.0,35.0,36.0,16.0,49.0,30.0,24.0,35.0,29.0,19.0,33.0,28.0,25.0,34.0,30.0,11.0,15.0,13.0,500.0
[NAME],8.0,11.0,12.0,26.0,21.0,14.0,19.0,29.0,17.0,12.0,17.0,11.0,22.0,10.0,4.0,7.0,3.0,1.0,7.0,251.0
[WITNESS],8.0,9.0,13.0,4.0,7.0,5.0,4.0,38.0,9.0,11.0,8.0,6.0,9.0,3.0,2.0,2.0,2.0,4.0,2.0,146.0
[RESEMBLANCE],4.0,5.0,11.0,10.0,15.0,10.0,4.0,14.0,9.0,6.0,8.0,12.0,6.0,4.0,2.0,7.0,4.0,8.0,7.0,146.0
[FRUIT],2.0,12.0,21.0,4.0,7.0,11.0,5.0,13.0,6.0,12.0,8.0,7.0,6.0,7.0,2.0,4.0,2.0,4.0,2.0,135.0
[ARM],14.0,19.0,7.0,15.0,12.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,101.0
[RELATION],2.0,7.0,10.0,1.0,5.0,8.0,3.0,4.0,14.0,6.0,7.0,5.0,5.0,1.0,3.0,2.0,6.0,4.0,1.0,94.0
[TESTIMONY],12.0,9.0,10.0,5.0,8.0,11.0,6.0,11.0,0.0,3.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0
[CHILD],0.0,0.0,1.0,3.0,1.0,4.0,0.0,16.0,1.0,7.0,2.0,8.0,4.0,9.0,3.0,13.0,1.0,1.0,7.0,81.0
[BURDEN],5.0,1.0,6.0,4.0,6.0,3.0,2.0,3.0,5.0,2.0,1.0,6.0,1.0,0.0,2.0,5.0,1.0,5.0,7.0,65.0
[PART],7.0,2.0,1.0,14.0,5.0,2.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,58.0
[WEIGHT],3.0,3.0,4.0,5.0,3.0,5.0,1.0,5.0,2.0,8.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0,6.0,57.0
[MAN],1.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,9.0,1.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,54.0
[MARKS],3.0,1.0,3.0,7.0,6.0,5.0,4.0,8.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,50.0
[FLOWER],0.0,1.0,3.0,9.0,1.0,1.0,2.0,4.0,19.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,49.0
[PROPORTION],4.0,8.0,6.0,9.0,7.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0
