lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],26.0,30.0,40.0,28.0,19.0,32.0,24.0,37.0,36.0,52.0,41.0,27.0,33.0,24.0,26.0,18.0,18.0,10.0,16.0,537.0
[LIGHT],29.0,28.0,43.0,47.0,40.0,43.0,20.0,71.0,47.0,29.0,20.0,23.0,11.0,12.0,7.0,14.0,10.0,12.0,12.0,518.0
[HOME],7.0,17.0,23.0,32.0,17.0,26.0,29.0,23.0,25.0,46.0,23.0,37.0,23.0,36.0,35.0,22.0,24.0,28.0,31.0,504.0
[CHILD],14.0,9.0,13.0,17.0,16.0,25.0,21.0,25.0,18.0,33.0,14.0,17.0,29.0,27.0,23.0,16.0,15.0,11.0,17.0,360.0
[LIFE],10.0,6.0,28.0,17.0,15.0,11.0,17.0,21.0,16.0,27.0,14.0,25.0,19.0,13.0,26.0,21.0,16.0,21.0,25.0,348.0
[END],5.0,23.0,16.0,15.0,17.0,26.0,20.0,19.0,26.0,14.0,22.0,16.0,10.0,25.0,13.0,22.0,21.0,8.0,12.0,330.0
[PEOPLE],17.0,8.0,11.0,12.0,10.0,11.0,18.0,20.0,22.0,16.0,17.0,22.0,21.0,15.0,21.0,25.0,22.0,17.0,22.0,327.0
[FACE],3.0,2.0,3.0,18.0,17.0,42.0,37.0,28.0,43.0,24.0,21.0,7.0,14.0,11.0,9.0,6.0,8.0,11.0,6.0,310.0
[MIND],31.0,32.0,28.0,18.0,14.0,26.0,18.0,24.0,30.0,15.0,15.0,12.0,5.0,6.0,7.0,3.0,3.0,5.0,8.0,300.0
[WORLD],6.0,10.0,17.0,13.0,15.0,16.0,12.0,18.0,6.0,19.0,24.0,20.0,18.0,17.0,15.0,10.0,22.0,18.0,19.0,295.0
[WATER],7.0,9.0,5.0,8.0,15.0,26.0,16.0,14.0,16.0,11.0,18.0,19.0,24.0,17.0,9.0,19.0,7.0,14.0,27.0,281.0
[HOUSE],12.0,25.0,18.0,21.0,15.0,8.0,14.0,17.0,18.0,13.0,16.0,16.0,19.0,9.0,12.0,8.0,7.0,10.0,11.0,269.0
