lemma,count
"",14
price,12
face,10
thing,9
point,8
end,8
land,8
light,8
contact,8
justice,8
result,7
notice,7
home,7
man,7
corn,6
court,6
money,6
water,5
trouble,5
life,5
food,5
present,5
boiling-point,5
trial,5
crisis,4
people,4
drink,4
fact,4
charge,4
use,4
condition,4
wealth,4
learning,4
herd,4
king,4
child,4
world,4
son,4
heart,4
house,4
evil,4
action,4
family,4
perfection,4
mind,4
table,3
discipline,3
english,3
camp,3
trade,3
sphere,3
age,3
lady,3
surface,3
river,3
matter,3
spot,3
manner,3
glory,3
buffalo,3
misery,3
wife,3
picture,3
reach,3
sound,3
sympathy,3
monastery,3
moment,3
congregation,3
realm,3
right,3
city,3
supply,3
fruit,3
field,2
difficulty,2
basket,2
existence,2
place,2
occasion,2
ruin,2
flame,2
mean,2
power,2
think,2
male,2
name,2
prince,2
increase,2
treasury,2
crate,2
nearness,2
gold,2
witness,2
news,2
country,2
powhatan,2
range,2
scaffold,2
provision,2
verge,2
temple,2
peace,2
form,2
relation,2
disease,2
insect,2
region,2
relief,2
barge,2
word,2
chase,2
letter,2
bride,2
contempt,2
total,2
treasure,2
death,2
load,2
crime,2
character,2
head,2
forest,2
cost,2
cause,2
ground,2
curse,2
patience,2
person,2
flock,2
kettle,2
healing,2
mother,2
prominence,2
competition,2
discontent,2
production,2
destruction,2
conviction,2
church,2
remain,2
kind,2
kitten,2
sickness,2
perpetrator,2
instance,2
meat,2
root,2
number,2
enthusiasm,2
truth,2
circumstance,2
neighbor,2
offering,2
question,2
mistake,2
general,2
work,2
be,2
horse,2
report,2
flower,2
hope,2
degree,2
drama,2
debt,2
chapter,2
--,2
series,2
recognition,2
frankincense,2
salt,2
blood,2
disturbance,2
public,2
measure,2
knowledge,2
lord,2
element,2
cross,2
sorrow,2
ethics,1
invasion,1
song,1
subject,1
ox,1
corsica,1
tomahawk,1
personality,1
locality,1
broadway,1
throne,1
princess,1
lip,1
nature,1
excellence,1
civilization,1
guest,1
realism,1
trip,1
close,1
recruit,1
door,1
calf,1
middle,1
dish,1
likeness,1
unity,1
recital,1
trunk,1
reason,1
bason,1
population,1
ware,1
consciousness,1
sin,1
book,1
resolution,1
spoil,1
company,1
other,1
worship,1
dust,1
philistine,1
brush,1
dinner,1
attack,1
grief,1
delicacy,1
gravity,1
maturity,1
seducer,1
worth,1
round,1
feather,1
village,1
distress,1
swamp,1
nation,1
pair,1
mouse,1
fear,1
stream,1
supervision,1
eye,1
town,1
claymore,1
accomplishment,1
bushel,1
back,1
eel,1
niobe,1
wind,1
command,1
excitement,1
barrenness,1
presentment,1
enemy,1
law,1
rover,1
primary,1
strength,1
fashion,1
journey,1
starvation,1
possession,1
war,1
doer,1
harm,1
pharaoh,1
purpose,1
tobacco,1
decision,1
material,1
soil,1
midst,1
profit,1
fame,1
father,1
vessel,1
behalf,1
reform,1
prevalence,1
sauce,1
beauty,1
police,1
tumbrels,1
fine,1
skin,1
scheme,1
tribute,1
procession,1
scalp,1
washing,1
religion,1
study,1
warbler,1
relic,1
infidel,1
idea,1
mixture,1
official,1
tyre,1
faint,1
regeneration,1
annoyance,1
mouth,1
term,1
knee,1
piece,1
allegiance,1
shape,1
sketch,1
remorse,1
natrum,1
obliquity,1
tiding,1
stage,1
heaven,1
ape,1
order,1
barrel,1
frog,1
reverse,1
student,1
cornmeal,1
prison,1
comfort,1
thread,1
tribe,1
advantage,1
class,1
fertility,1
seed,1
labor,1
rental,1
punishment,1
division,1
lumbar,1
whole,1
color,1
failure,1
captivity,1
indian,1
distrust,1
group,1
ship,1
tension,1
following,1
needle,1
reader,1
member,1
chance,1
fragment,1
interest,1
revenge,1
fate,1
primitive,1
ante-room,1
market,1
humiliation,1
materiality,1
artillery,1
subjection,1
agreement,1
surveillance,1
wont,1
doom,1
sensibility,1
horn,1
passage,1
bird,1
style,1
prosperity,1
writing,1
silver,1
rejoice,1
habitation,1
picker,1
association,1
choice,1
bunch,1
harmony,1
resistance,1
exodus,1
separation,1
pearl,1
crusade,1
displeasure,1
stagger,1
finch,1
downe,1
wait,1
ally,1
sense,1
portrait,1
pass,1
assistance,1
honor,1
game,1
union,1
capitol,1
egg,1
sparrow,1
romanist,1
flavor,1
tranquillity,1
grammar,1
curium,1
durkee,1
architecture,1
part,1
clansman,1
hand,1
bliss,1
courage,1
scrivener,1
proposition,1
policeman,1
captn,1
direction,1
state,1
breeding,1
gas,1
godliness,1
drawing,1
profession,1
woman,1
simplicity,1
armour,1
granite,1
delusion,1
level,1
agency,1
buffaloes,1
textile,1
bull,1
model,1
judge,1
enjoyment,1
track,1
defendant,1
lesson,1
jurisdiction,1
bottom,1
connection,1
dispute,1
constellation,1
chloride,1
blessing,1
custom,1
stem,1
council,1
train,1
preacher,1
liquor,1
abrasion,1
office,1
parishioner,1
ki,1
acid,1
steam-engine,1
way,1
israelite,1
sky,1
accordance,1
troop,1
cockatrice,1
luxury,1
illustration,1
divinity,1
breast,1
happiness,1
ceremony,1
safe-conduct,1
seat,1
splendour,1
sight,1
quarter,1
difference,1
rebuttal,1
semblance,1
bucket,1
stepmother,1
renown,1
suit,1
effect,1
visitor,1
act,1
delacroix,1
unison,1
change,1
produce,1
immunity,1
theft,1
canova,1
rere,1
ease,1
cargo,1
priest,1
boil,1
circular,1
case,1
ivashko,1
bowel,1
lamb,1
sort,1
myrrh,1
porridge,1
dust-pan,1
disaster,1
shower,1
concession,1
tone,1
exchange,1
convict,1
deal,1
youth,1
cultivation,1
individual,1
territory,1
note,1
design,1
wisdom,1
prize-money,1
influence,1
rain,1
hell-fire,1
pie,1
master,1
calculation,1
consummation,1
date,1
