lemma,count
"",59
man,33
child,29
order,26
change,24
water,24
home,23
suit,23
war,22
people,21
news,19
life,19
house,19
world,18
family,18
country,17
horse,15
face,14
point,14
wife,14
state,14
price,13
hand,13
attention,13
existence,13
thing,13
trial,12
court,12
peace,12
food,11
present,11
government,11
light,11
result,11
supply,10
luck,10
end,10
church,10
boy,9
action,9
friend,9
gun,9
coffee,9
evidence,9
contact,9
pressure,9
city,9
problem,9
letter,9
nation,9
girl,9
message,8
book,8
production,8
hospital,8
material,8
industry,8
use,8
glass,8
woman,8
earth,8
folk,8
number,8
gift,7
bottle,7
joy,7
report,7
head,7
baby,7
relief,7
army,7
question,7
subject,7
disaster,7
memory,7
business,7
eye,7
ship,7
strength,7
radio,7
german,7
employment,6
fact,6
discussion,6
milk,6
interest,6
member,6
train,6
case,6
matter,6
land,6
breakfast,6
prosperity,6
marriage,6
air,6
chaos,6
money,6
satisfaction,6
fortune,6
knowledge,6
rain,6
comfort,6
room,6
victory,6
tea,6
town,5
area,5
average,5
tear,5
school,5
lip,5
body,5
halt,5
trouble,5
flower,5
trade,5
cost,5
level,5
focus,5
class,5
association,5
work,5
effect,5
mind,5
side,5
tray,5
region,5
knee,5
fist,5
return,5
honor,5
capital,5
river,5
line,5
be,5
power,5
word,5
name,5
increase,5
death,4
balance,4
total,4
cash,4
mouth,4
revival,4
shower,4
dog,4
control,4
servant,4
front,4
wine,4
reward,4
general,4
individual,4
music,4
plane,4
right,4
sickness,4
deal,4
surface,4
reduction,4
guest,4
sense,4
fore,4
justice,4
chair,4
cultivation,4
destruction,4
force,4
expert,4
part,4
health,4
play,4
figure,4
color,4
worker,4
prominence,4
damage,4
indian,4
mountain,4
degree,4
love,4
pipe,4
father,4
son,4
story,4
mother,4
security,4
public,4
rear,4
assurance,4
contract,4
station,4
bag,4
relation,4
ruin,4
couple,4
office,4
good,4
dinner,3
inflation,3
fuel,3
island,3
system,3
department,3
vigor,3
drake,3
laughter,3
illness,3
coal,3
way,3
drink,3
officer,3
camp,3
reform,3
happiness,3
door,3
clothes,3
glory,3
species,3
improvement,3
string,3
response,3
consciousness,3
other,3
wood,3
box,3
arm,3
attack,3
cargo,3
translation,3
roman,3
sister,3
conformity,3
society,3
weight,3
note,3
introduction,3
village,3
support,3
machinery,3
application,3
throne,3
rate,3
temperature,3
plant,3
notice,3
whisky,3
bucket,3
wake,3
law,3
situation,3
labor,3
civilization,3
standard,3
evil,3
close,3
mail,3
down,3
need,3
picture,3
tool,3
doctor,3
population,3
company,3
understanding,3
foot,3
loss,3
fragment,3
skin,3
press,3
stop,3
scalp,3
scene,3
merchant,3
reaction,3
issue,3
soldier,3
skill,3
heart,3
distance,3
garden,3
entrance,3
information,3
advance,3
portfolio,3
fat,3
duck,3
progress,3
fire,3
cattle,3
agreement,3
smile,3
touch,3
hat,3
activity,3
human,3
revolution,3
view,3
sandwich,3
crime,3
revenue,3
farmer,3
solution,3
suggestion,3
charge,3
tree,3
party,3
advice,3
table,3
development,3
lance,3
american,3
ash,3
cold,3
ring,3
inspiration,3
conference,3
shore,3
form,3
citizen,3
influence,3
cot,2
commission,2
fish,2
mainland,2
mission,2
element,2
hack,2
reinforcement,2
birth,2
kitchen,2
stage,2
settlement,2
strain,2
shame,2
perfection,2
greek,2
manufacturing,2
hair,2
heel,2
consumer,2
montcalm,2
type,2
snake,2
equipment,2
bundle,2
complaint,2
maturity,2
anguish,2
female,2
frost,2
reserve,2
courtesy,2
cow,2
greeting,2
merchandise,2
success,2
mingling,2
demand,2
variation,2
danger,2
congress,2
check,2
pack,2
warfare,2
incident,2
road,2
supper,2
shop,2
legislation,2
brother,2
outfit,2
province,2
mine,2
sway,2
modification,2
persecution,2
dream,2
magic,2
endurance,2
store,2
pen,2
answer,2
tax,2
novel,2
wall,2
depression,2
elevator,2
dictator,2
lantern,2
idea,2
official,2
fight,2
custom,2
weakness,2
talk,2
mess,2
term,2
difference,2
condition,2
tarpon,2
combination,2
training,2
piece,2
bank,2
blessing,2
place,2
envelope,2
patient,2
roll,2
refugee,2
finger,2
suitcase,2
strike,2
race,2
living,2
animal,2
photograph,2
job,2
mexican,2
claim,2
convention,2
recognition,2
reply,2
richness,2
reunion,2
locker,2
consequence,2
livestock,2
alcohol,2
density,2
specialist,2
fur,2
conversation,2
criminal,2
collier,2
conclusion,2
final,2
barrel,2
vote,2
series,2
ice,2
plan,2
editor,2
daylight,2
education,2
flood,2
disease,2
art,2
courage,2
think,2
mattress,2
request,2
harmony,2
act,2
agony,2
vitality,2
red,2
cigarette,2
divorce,2
outsider,2
cake,2
blue,2
protection,2
bull,2
calf,2
union,2
institution,2
dark,2
visitor,2
layer,2
measure,2
fruit,2
attempt,2
sight,2
vegetable,2
daughter,2
spirit,2
undertaking,2
pay,2
subsoil,2
center,2
inquiry,2
representative,2
gate,2
expansion,2
car,2
troop,2
continent,2
rest,2
circulation,2
contribution,2
president,2
university,2
star,2
hammer,2
fleet,2
youth,2
object,2
cup,2
recovery,2
stuff,2
symbol,2
witness,2
stranger,2
legume,2
account,2
completion,2
profit,2
champion,2
group,2
past,2
boat,2
sugar,2
chart,2
ability,2
allerton,2
french,2
canal,2
cabin,2
egg,2
rod,2
interaction,2
crowd,2
quality,2
movie,2
list,2
administration,2
climax,2
favor,2
beaver,2
cannon,2
mankind,2
christianity,2
canoe,2
wealth,2
can,2
english,2
corn,2
grin,2
bible,2
god,2
sea,2
arab,2
corporation,2
skier,2
ore,2
gold,2
farm,2
science,2
nutrition,2
gusher,2
cart,2
white,2
service,2
mill,2
lighter,2
reader,2
organization,2
disgrace,2
cry,2
leader,2
faith,2
stand,2
sentence,2
negro,2
handful,2
promise,2
breach,2
channel,2
revision,2
map,2
muff,2
refinery,2
technique,2
rifle,2
handkerchief,2
person,2
spring,2
conservative,2
non-support,2
exchange,2
import,2
sheaf,2
offer,2
efficiency,2
fear,2
font,2
breakdown,2
proportion,1
cross,1
self,1
pistol,1
scheme,1
tribute,1
dignity,1
religion,1
colony,1
charcoal,1
query,1
finder,1
deluge,1
repentance,1
tureen,1
psychiatrist,1
slum,1
tater,1
coronation,1
federation,1
kerosene,1
insecurity,1
cocktail,1
experience,1
guardsmen,1
pain,1
whip,1
myth,1
apprehension,1
follerin,1
nazi,1
saturnalia,1
fellow,1
lack,1
bass,1
hardship,1
broiler,1
ax,1
shipping,1
subscriber,1
perspective,1
herald-american,1
proof,1
remorse,1
amount,1
tiding,1
jewel,1
gentleman,1
speed,1
discovery,1
graze,1
student,1
handicap,1
bulgarian,1
detective,1
rapprochement,1
cruelty,1
muzzle,1
tribe,1
advantage,1
busses,1
whitefish,1
riser,1
receiver,1
load,1
deep,1
budget,1
airway,1
rancher,1
plain,1
ab,1
punishment,1
phonograph,1
conquest,1
inlet,1
excess,1
shriek,1
ol,1
allwhite,1
frame,1
canter,1
needle,1
phone,1
applause,1
yoke,1
offspring,1
approval,1
tory,1
chocolate,1
depth,1
conviction,1
alfalfa,1
enactment,1
disrepute,1
orchard,1
bashaw,1
sail,1
live,1
viceroy,1
coun-try,1
lawyer,1
youngster,1
battle-front,1
crimson,1
shawl,1
specimen,1
style,1
post,1
writing,1
bin,1
limestone,1
lower,1
goat,1
sinner,1
boost,1
kamala,1
mediocrity,1
writ,1
capacity,1
censor,1
strengthen,1
saw,1
choice,1
