lemma,count
war,16
"",16
man,16
order,13
people,12
child,11
family,10
world,10
change,10
news,10
water,9
peace,7
radio,7
home,7
wife,6
suit,6
german,6
government,6
earth,6
country,6
victory,6
light,5
life,5
disaster,5
report,5
present,5
state,5
business,5
army,5
pressure,5
friend,5
hospital,4
result,4
city,4
expert,4
nation,4
ship,4
price,4
money,4
boy,4
number,4
matter,4
power,4
prosperity,4
question,4
cash,4
joy,4
work,4
house,4
strength,4
capital,4
face,4
supply,4
guest,4
book,4
girl,4
food,3
thing,3
heart,3
plane,3
office,3
line,3
comfort,3
trial,3
relation,3
citizen,3
officer,3
end,3
deal,3
suggestion,3
baby,3
production,3
woman,3
rain,3
assurance,3
reduction,3
solution,3
machinery,3
reaction,3
relief,3
loss,3
chaos,3
progress,3
support,3
class,3
justice,3
use,3
shower,3
attention,3
point,3
train,3
american,3
church,3
department,3
contact,2
focus,2
equipment,2
montcalm,2
tree,2
health,2
knee,2
university,2
public,2
living,2
duck,2
labor,2
cry,2
discussion,2
art,2
play,2
worker,2
tarpon,2
activity,2
dictator,2
mountain,2
marriage,2
fist,2
destruction,2
sense,2
action,2
crime,2
climax,2
contract,2
reinforcement,2
convention,2
legislation,2
milk,2
word,2
case,2
problem,2
vigor,2
contribution,2
courage,2
recovery,2
figure,2
farm,2
union,2
president,2
sentence,2
wood,2
table,2
satisfaction,2
sister,2
return,2
continent,2
refugee,2
revenue,2
heel,2
visitor,2
station,2
evidence,2
existence,2
science,2
front,2
letter,2
mail,2
understanding,2
collier,2
drink,2
interest,2
efficiency,2
education,2
cost,2
doctor,2
warfare,2
advice,2
reserve,2
offer,2
outfit,2
press,2
sheaf,2
need,2
circulation,2
endurance,2
fortune,2
vote,2
outsider,2
weakness,2
ruin,2
issue,2
story,2
gusher,2
level,2
reform,2
industry,2
side,2
touch,2
ring,2
consciousness,2
glass,2
school,2
technique,2
skier,2
fish,2
population,2
knowledge,2
employment,2
air,2
danger,2
situation,2
commission,2
mainland,2
fact,2
fuel,2
strike,2
spring,1
bloodshed,1
person,1
bag,1
excavation,1
ment,1
emancipation,1
bayreuth,1
pencil,1
cheers,1
notion,1
reach,1
laboratory,1
rebuke,1
hemisphere,1
clarify,1
aran,1
halt,1
tow,1
law,1
breakfast,1
chemical,1
lighter,1
airfield,1
coolidge,1
gift,1
evil,1
root,1
souvenir,1
argument,1
complaint,1
bulldozer,1
administration,1
stoppage,1
criticism,1
map,1
female,1
record,1
cannon,1
english,1
sea,1
be,1
townspeople,1
degree,1
decision,1
flower,1
material,1
decree,1
mood,1
royalty,1
area,1
profit,1
warden,1
trapper,1
leader,1
father,1
sundown,1
omission,1
usage,1
object,1
announcer,1
echo,1
squirrel,1
balance,1
ulcer,1
shop,1
disagreement,1
salute,1
egyptian,1
tear,1
cruiser,1
campus,1
cot,1
skill,1
paper,1
skin,1
fulfillment,1
alcohol,1
self,1
boring,1
distance,1
scheme,1
garden,1
entrance,1
query,1
deluge,1
information,1
confirmation,1
psychiatrist,1
slum,1
federation,1
idea,1
official,1
soldier,1
stimulus,1
border,1
aid,1
guardsmen,1
pain,1
apprehension,1
cio,1
saturnalia,1
farming,1
lack,1
piece,1
congress,1
hardship,1
portfolio,1
subscriber,1
herald-american,1
proof,1
100-octane,1
german-born,1
stage,1
jewel,1
region,1
specialist,1
shot,1
gentleman,1
barrel,1
speed,1
discovery,1
daylight,1
handicap,1
application,1
pilot,1
detective,1
rapprochement,1
prison,1
deposit,1
cruelty,1
countermeasure,1
fat,1
plant,1
total,1
pillage,1
busses,1
impression,1
budget,1
rancher,1
cheese,1
punishment,1
standard,1
phonograph,1
job,1
color,1
excess,1
failure,1
shriek,1
olympics,1
symbol,1
ol,1
damage,1
workman,1
locker,1
fever,1
canter,1
reader,1
standstill,1
import,1
nightmare,1
applause,1
zealander,1
kitchen,1
hairpin,1
depth,1
lion,1
conviction,1
drawl,1
disrepute,1
criminal,1
live,1
viceroy,1
conference,1
final,1
dietl,1
youngster,1
battle-front,1
smile,1
praise,1
film,1
specimen,1
style,1
post,1
writing,1
bin,1
good,1
lower,1
meal,1
remark,1
flood,1
boost,1
settlement,1
russian,1
consumer,1
move,1
diary,1
general,1
mediocrity,1
agony,1
capacity,1
inflation,1
censor,1
saw,1
association,1
harmony,1
chart,1
guidance,1
owner,1
cop,1
undercontrol,1
abandonment,1
continental,1
age,1
cloud,1
text,1
ally,1
checklist,1
servant,1
portrait,1
rail,1
pass,1
canoe,1
fleet,1
maiden,1
handle,1
blueprint,1
therapeutics,1
moisture,1
crowd,1
triumph,1
view,1
fright,1
sugar,1
dash,1
measure,1
container,1
music,1
warning,1
disbarment,1
daughter,1
spirit,1
red-carpeted,1
sway,1
newsman,1
china,1
farmer,1
fighter,1
literature,1
field,1
labor-management,1
teaching,1
trouble,1
island,1
charge,1
stallion,1
stuff,1
party,1
whiskey,1
carpenter,1
almond,1
boat,1
ownership,1
canal,1
extent,1
simplicity,1
god,1
laughter,1
enthronement,1
bale,1
witness,1
spy,1
disgrace,1
suffrage,1
park,1
revival,1
plan,1
melting,1
reaper,1
upgrading,1
recollection,1
pepper,1
scientist,1
flier,1
lot,1
khaki,1
custom,1
occurrence,1
lantern,1
appointment,1
membership,1
program,1
council,1
magic,1
treason,1
realization,1
accommodation,1
protection,1
ell,1
sheet,1
youth,1
rainfall,1
struggle,1
page,1
cultivation,1
truce,1
bill,1
foundation,1
note,1
blister,1
boss,1
prompt,1
prostitution,1
breakdown,1
cartridge,1
district,1
raft,1
temperature,1
manufacturer,1
compromise,1
notice,1
limitation,1
release,1
pilothouse,1
endowment,1
multiplication,1
mean,1
white,1
service,1
son,1
gun,1
tale,1
force,1
weigh,1
nostril,1
cotton,1
miner,1
type,1
giant,1
anguish,1
flesh-and-blood,1
rigidity,1
couple,1
depression,1
consequence,1
treacle,1
conversation,1
cottage,1
orbit,1
hat,1
fall,1
street,1
spouse,1
industries-ranging,1
revolution,1
compliance,1
briefcase,1
fertilization,1
liquidation,1
mu,1
lightning,1
rayon,1
mobile,1
novel,1
castle,1
mexican,1
transformation,1
sterility,1
center,1
ear,1
recording,1
hammer,1
representative,1
measles,1
champion,1
director,1
poverty,1
reparation,1
occupation,1
storm,1
muscle,1
sell,1
jade,1
subject,1
publicity,1
tug,1
feel,1
community,1
illness,1
peat,1
leadership,1
corps,1
camp,1
geologist,1
sorrow,1
cigarette,1
paddle,1
dress,1
editor,1
silt,1
oppressor,1
jap,1
investment,1
resource,1
publication,1
inventor,1
hate,1
invader,1
tweed,1
rank,1
turkey,1
harvest,1
farewell,1
promotion,1
psi,1
short-wave,1
nativity,1
kachina,1
listener,1
japanese,1
pen,1
economics,1
wake,1
coal,1
rayburn,1
movie,1
troop,1
imagination,1
gate,1
flute,1
finance,1
conferee,1
happiness,1
right,1
collapse,1
tradition,1
river,1
ministration,1
relative,1
hill,1
glory,1
pern,1
upsurge,1
dissolution,1
capitulation,1
happening,1
effect,1
act,1
sledge,1
request,1
form,1
tube,1
disease,1
appreciation,1
death,1
client,1
mind,1
disunity,1
horse,1
victor,1
companion,1
kill,1
cargo,1
orchestra,1
place,1
bank,1
speech,1
technician,1
substance,1
malapropism,1
boatman,1
raise,1
tax,1
slackening,1
volume,1
score,1
minority,1
pitcher,1
tone,1
team,1
exchange,1
individual,1
translation,1
morale,1
pig,1
courtesy,1
yard,1
verge,1
being,1
unconscious,1
delivery,1
alternative,1
chauffeur,1
sale,1
hokum,1
consul,1
fore,1
newspaper,1
lutherans,1
increase,1
mankind,1
pound,1
boundary,1
mission,1
pension,1
ing,1
head,1
average,1
conservative,1
greeting,1
brigadier,1
fruition,1
commoner,1
posture,1
advance,1
seclusion,1
indictment,1
rifle,1
libel,1
riot,1
rest,1
debt,1
recognition,1
mechanic,1
calvin,1
promise,1
language,1
negro,1
goose,1
testimonial,1
wallet,1
snail,1
french,1
fly,1
preserve,1
humility,1
sum,1
pelt,1
fundamentals,1
bout,1
rear,1
race,1
cane,1
defense,1
annual,1
plagiarism,1
elder,1
beaver,1
chi,1
camel,1
suffer,1
down,1
edge,1
policy,1
lifeblood,1
proposal,1
dishonor,1
immigrant,1
introduction,1
corn,1
dance,1
misery,1
civilization,1
close,1
sheep,1
cabinet,1
freedom,1
tan,1
hold,1
appetite,1
method,1
slip,1
organization,1
company,1
tendency,1
ritter,1
dust,1
court,1
recapture,1
republican,1
lounge,1
motion-picture,1
era,1
folder,1
dinner,1
attack,1
tribunal,1
refinery,1
grunt,1
port,1
frost,1
maturity,1
layer,1
society,1
harshness,1
overvaluation,1
reward,1
nursery,1
outside,1
foot,1
hair,1
conflict,1
follow,1
core,1
strain,1
communist,1
patent,1
village,1
aviator,1
mouse,1
start,1
card,1
hack,1
fear,1
eye,1
town,1
cloth,1
