lemma,count
"",23
home,19
eye,14
life,11
man,11
bottle,9
coffee,9
food,8
tear,8
drink,8
water,7
boy,7
subject,7
face,7
thing,7
girl,7
car,6
candy,6
house,6
child,6
focus,5
people,5
present,5
fruit,5
table,5
family,5
jeep,5
hand,5
attention,5
word,4
wife,4
world,4
baby,4
lady,4
egg,4
stop,4
lunch,4
kid,4
book,4
bag,4
church,4
red,4
wine,4
gift,4
money,4
tiding,3
plane,3
joy,3
matter,3
judgment,3
robe,3
mountain,3
woman,3
cookie,3
box,3
temple,3
fox,3
news,3
door,3
mind,3
foot,3
case,3
heart,3
sandwich,3
point,3
lily,3
room,3
flower,3
catch,2
back,2
order,2
milk,2
city,2
god,2
place,2
disgrace,2
rifle,2
halt,2
fact,2
ring,2
section,2
bronze,2
curtain,2
trial,2
couple,2
message,2
lot,2
public,2
bomber,2
star,2
asher,2
record,2
conversation,2
birthday,2
bit,2
english,2
group,2
bed,2
fever,2
negro,2
member,2
fountain,2
tower,2
fortune,2
government,2
result,2
gloss,2
soup,2
lamp,2
cup,2
peace,2
kandahar,2
magazine,2
way,2
son,2
memory,2
light,2
mine,2
patron,2
dinner,2
friend,2
arm,2
cash,2
murder,2
pound,2
apartment,2
paper,2
sponge,2
general,2
blix,2
harmonica,2
business,2
wisdom,2
sense,2
air,2
tea,2
double,2
aunt,2
smell,2
american,2
county,2
town,2
salvation,2
earth,2
supper,2
ranch,2
bell,2
bluets,2
charge,2
grocery,1
soul,1
ice,1
problem,1
ground,1
snowden,1
indivisibility,1
recovery,1
gossipy,1
threat,1
suffer,1
liberation,1
list,1
mother,1
edge,1
poverty,1
straw,1
storm,1
caution,1
impulse,1
neighbor,1
wire,1
fleece,1
affair,1
lip,1
misery,1
bible,1
household,1
woodlanders,1
guest,1
picture,1
horehound,1
blood,1
chicken,1
pear,1
recruit,1
souffle,1
pot,1
brick,1
sorrow,1
calf,1
dish,1
middle,1
shareholder,1
cigarette,1
think,1
dress,1
