lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HOME],4.0,8.0,7.0,18.0,13.0,13.0,14.0,12.0,10.0,27.0,10.0,21.0,8.0,21.0,19.0,9.0,11.0,17.0,10.0,252.0
[MAN],11.0,14.0,16.0,7.0,6.0,12.0,8.0,12.0,12.0,18.0,19.0,10.0,10.0,12.0,11.0,7.0,7.0,3.0,8.0,203.0
[NEWS],8.0,3.0,13.0,7.0,11.0,7.0,8.0,8.0,5.0,12.0,10.0,7.0,7.0,3.0,3.0,7.0,5.0,7.0,3.0,134.0
[FACE],3.0,2.0,3.0,7.0,6.0,18.0,8.0,3.0,22.0,7.0,7.0,2.0,8.0,5.0,7.0,5.0,4.0,6.0,3.0,126.0
[LIFE],4.0,3.0,7.0,8.0,11.0,9.0,4.0,6.0,3.0,10.0,4.0,7.0,8.0,2.0,11.0,10.0,4.0,8.0,6.0,125.0
[HOUSE],7.0,11.0,12.0,11.0,4.0,2.0,5.0,6.0,13.0,4.0,6.0,8.0,12.0,3.0,6.0,4.0,3.0,3.0,3.0,123.0
[THING],5.0,1.0,3.0,4.0,8.0,5.0,5.0,6.0,7.0,13.0,8.0,10.0,9.0,10.0,7.0,2.0,6.0,4.0,7.0,120.0
[WATER],3.0,3.0,2.0,6.0,10.0,7.0,9.0,3.0,8.0,4.0,10.0,7.0,5.0,7.0,7.0,12.0,1.0,7.0,5.0,116.0
[CHILD],3.0,0.0,4.0,10.0,8.0,8.0,9.0,6.0,4.0,5.0,5.0,7.0,9.0,10.0,6.0,2.0,6.0,3.0,3.0,108.0
[EYE],11.0,3.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,10.0,6.0,5.0,5.0,6.0,14.0,3.0,4.0,1.0,6.0,106.0
[HAND],3.0,5.0,4.0,3.0,1.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,13.0,6.0,5.0,9.0,10.0,5.0,7.0,104.0
[LETTER],6.0,5.0,7.0,2.0,6.0,11.0,13.0,12.0,7.0,8.0,4.0,8.0,6.0,1.0,0.0,3.0,2.0,0.0,0.0,101.0
[MIND],12.0,12.0,8.0,3.0,6.0,11.0,3.0,7.0,12.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,5.0,100.0
[LIGHT],8.0,7.0,10.0,10.0,5.0,8.0,6.0,3.0,5.0,6.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,92.0
[TEAR],8.0,2.0,5.0,6.0,7.0,7.0,5.0,6.0,4.0,5.0,1.0,6.0,2.0,5.0,8.0,2.0,5.0,1.0,3.0,88.0
[GIRL],4.0,1.0,2.0,3.0,0.0,3.0,3.0,4.0,9.0,5.0,7.0,6.0,4.0,7.0,7.0,10.0,5.0,2.0,5.0,87.0
[FOOD],3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,7.0,7.0,7.0,2.0,8.0,12.0,10.0,7.0,11.0,86.0
[BOOK],3.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,8.0,5.0,6.0,7.0,3.0,2.0,4.0,5.0,1.0,0.0,6.0,75.0
[WORLD],2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,7.0,3.0,5.0,4.0,3.0,7.0,5.0,4.0,73.0
[BOY],2.0,5.0,2.0,5.0,9.0,0.0,7.0,5.0,2.0,12.0,3.0,2.0,1.0,3.0,7.0,0.0,4.0,2.0,2.0,73.0
[REAR],5.0,6.0,6.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,6.0,3.0,2.0,6.0,1.0,8.0,4.0,0.0,5.0,73.0
[PRESENT],1.0,5.0,1.0,1.0,4.0,2.0,2.0,6.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,10.0,5.0,2.0,5.0,72.0
[SENSE],6.0,6.0,3.0,4.0,3.0,4.0,6.0,4.0,7.0,9.0,6.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,71.0
[MONEY],0.0,4.0,4.0,3.0,7.0,6.0,5.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,7.0,3.0,69.0
[PEOPLE],5.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,4.0,3.0,3.0,7.0,3.0,5.0,5.0,7.0,6.0,4.0,7.0,69.0
[FRIEND],1.0,1.0,3.0,7.0,5.0,6.0,1.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,10.0,4.0,69.0
[FLOWER],0.0,1.0,4.0,2.0,8.0,1.0,9.0,6.0,1.0,5.0,4.0,5.0,3.0,1.0,3.0,6.0,1.0,3.0,4.0,67.0
[WIFE],4.0,2.0,2.0,1.0,7.0,8.0,3.0,1.0,1.0,5.0,9.0,4.0,7.0,2.0,4.0,0.0,0.0,1.0,4.0,65.0
[FATHER],5.0,4.0,4.0,6.0,2.0,3.0,2.0,4.0,7.0,5.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,3.0,3.0,64.0
[GLASS],0.0,3.0,4.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,6.0,6.0,9.0,0.0,4.0,5.0,5.0,4.0,63.0
[PEACE],6.0,3.0,4.0,3.0,8.0,3.0,2.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,2.0,5.0,1.0,4.0,2.0,63.0
