lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WORLD],0.0,4.0,8.0,7.0,2.0,12.0,3.0,6.0,7.0,7.0,7.0,13.0,11.0,13.0,10.0,4.0,22.0,16.0,15.0,167.0
[MAN],6.0,8.0,22.0,16.0,10.0,19.0,6.0,8.0,4.0,8.0,8.0,5.0,7.0,6.0,2.0,11.0,4.0,9.0,5.0,164.0
[PROBLEM],0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,6.0,10.0,21.0,19.0,20.0,32.0,17.0,23.0,158.0
[THING],12.0,8.0,14.0,8.0,10.0,15.0,7.0,7.0,8.0,12.0,1.0,4.0,1.0,6.0,0.0,4.0,5.0,4.0,4.0,130.0
[DEMAND],6.0,4.0,4.0,7.0,5.0,5.0,5.0,8.0,6.0,3.0,8.0,9.0,12.0,6.0,3.0,5.0,6.0,6.0,11.0,119.0
[STATE],1.0,2.0,12.0,3.0,8.0,4.0,7.0,1.0,3.0,7.0,9.0,10.0,4.0,4.0,4.0,6.0,7.0,13.0,12.0,117.0
[IMPRESSION],0.0,2.0,2.0,1.0,5.0,8.0,4.0,9.0,7.0,13.0,15.0,6.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,116.0
[SYSTEM],3.0,4.0,3.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,7.0,8.0,4.0,12.0,7.0,8.0,7.0,21.0,16.0,110.0
[GOVERNMENT],7.0,9.0,4.0,2.0,7.0,2.0,5.0,4.0,2.0,6.0,8.0,3.0,1.0,7.0,6.0,3.0,12.0,8.0,5.0,101.0
[SENSATION],2.0,4.0,12.0,9.0,10.0,5.0,5.0,3.0,7.0,12.0,4.0,3.0,5.0,2.0,3.0,0.0,6.0,3.0,2.0,97.0
[POWER],7.0,6.0,14.0,4.0,5.0,1.0,1.0,2.0,2.0,5.0,3.0,6.0,7.0,4.0,4.0,2.0,6.0,5.0,5.0,89.0
[CONDITION],0.0,0.0,1.0,0.0,3.0,2.0,5.0,4.0,1.0,4.0,5.0,6.0,5.0,8.0,13.0,4.0,6.0,9.0,12.0,88.0
[INTEREST],3.0,7.0,1.0,7.0,4.0,7.0,4.0,3.0,2.0,6.0,12.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,88.0
[PUBLIC],3.0,3.0,4.0,2.0,1.0,5.0,6.0,3.0,2.0,10.0,4.0,4.0,3.0,8.0,4.0,3.0,7.0,6.0,10.0,88.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,7.0,8.0,20.0,19.0,19.0,86.0
[ILLUSION],1.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,5.0,10.0,5.0,9.0,7.0,9.0,4.0,15.0,80.0
[MIND],3.0,5.0,10.0,6.0,7.0,7.0,4.0,2.0,5.0,6.0,6.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,77.0
