lemma,count
thing,5
being,3
man,2
disturbance,2
object,2
power,2
union,2
might,1
moment,1
bond,1
curiosity,1
interest,1
offspring,1
form,1
shout,1
pursuit,1
genius,1
surprise,1
amusement,1
burghers,1
charity,1
claim,1
production,1
love,1
apprehension,1
enemy,1
tyranny,1
saviour,1
dislike,1
freedom,1
tempest,1
farm,1
confusion,1
peril,1
suspicion,1
awe,1
breeze,1
green,1
perusal,1
rol,1
coolness,1
angel,1
tree,1
right,1
flower,1
emotion,1
mistress,1
display,1
tie,1
triumph,1
intimacy,1
woman,1
feeling,1
beauty,1
twilight,1
view,1
life,1
alarm,1
fugitive,1
desire,1
delay,1
envy,1
