lemma,count
man,4
picture,3
swarm,3
life,2
period,2
money,2
bill,2
fish,2
heat,2
colony,2
sensation,2
ocean,2
nucleus,2
mind,2
feel,2
duke,2
"",2
interest,2
teacher,2
animal,2
court,2
necessity,2
revolution,2
shame,1
myriad,1
circumstance,1
thing,1
awe,1
heaven,1
vegetation,1
colouring,1
hatred,1
demand,1
knight,1
point,1
relief,1
sustenance,1
universe,1
safety,1
organ,1
other,1
loo,1
application,1
indecision,1
sword,1
kingdom,1
atmosphere,1
principle,1
class,1
asylum,1
crime,1
deep,1
fruit,1
force,1
hopelessness,1
scene,1
alarm,1
instruction,1
violation,1
member,1
effect,1
will,1
generation,1
form,1
revenge,1
competition,1
dynasty,1
genius,1
surprise,1
establishment,1
disturbance,1
inhabitant,1
change,1
country,1
genus,1
occasion,1
law,1
academy,1
jealousy,1
meat,1
institution,1
image,1
improvement,1
well-qualified,1
settlement,1
appearance,1
bridge,1
build,1
place,1
heath,1
bank,1
angel,1
legislation,1
devotion,1
council,1
race,1
manner,1
irresolution,1
loathing,1
result,1
mucilage,1
body,1
sovereign,1
beauty,1
tyranny,1
opportunity,1
variety,1
light,1
ability,1
painter,1
access,1
vegetable,1
spirit,1
hero,1
desire,1
cultivation,1
individual,1
earth,1
operation,1
panic,1
gale,1
idea,1
peer,1
hand,1
trouble,1
district,1
/z/,1
construction,1
influx,1
globe,1
discussion,1
limitation,1
governor,1
formation,1
