lemma,count
impression,13
thing,12
sensation,12
"",12
public,10
man,8
state,7
world,7
feel,7
interest,6
diversion,6
situation,6
character,6
mind,6
government,6
power,5
enthusiasm,5
corporation,5
store,5
law,5
type,4
condition,4
agency,4
war,3
present,3
wealth,3
earth,3
lake,3
part,3
body,3
legislature,3
history,3
demand,3
opinion,3
amount,3
effect,3
atmosphere,3
class,3
standard,3
alarm,3
value,3
panic,3
sentiment,3
love,3
good,3
company,2
evil,2
effort,2
environment,2
business,2
order,2
flash,2
land,2
corn,2
federation,2
crime,2
human,2
limitation,2
court,2
prejudice,2
fortune,2
place,2
woman,2
garden,2
sense,2
individual,2
employer,2
surplus,2
stroke,2
force,2
society,2
air,2
system,2
commission,2
loyalty,2
child,2
board,2
will,2
dissension,2
capital,2
variety,2
credit,2
fact,2
animal,2
committee,2
life,2
tariff,2
gap,2
beauty,2
purpose,2
literature,2
prosperity,2
personality,2
disease,2
respect,2
being,2
german,2
influence,2
product,2
civilization,2
disturbance,2
nature,2
cavour,2
harmony,2
education,2
empire,2
railway,2
point,2
combination,2
doubt,2
havoc,2
sphere,2
republic,2
spirit,2
organization,2
protection,2
author,2
pandemonium,1
head,1
boy,1
rate,1
scene,1
friendship,1
artist,1
issue,1
diversity,1
refreshment,1
commerce,1
betterness,1
alteration,1
violation,1
merchant,1
zone,1
school,1
tion,1
palm-tree,1
chapter,1
living,1
discord,1
theory,1
repetition,1
delight,1
consequence,1
language,1
disorder,1
art,1
ambition,1
host,1
falstaff,1
movement,1
negro,1
beginning,1
suspicion,1
hypocrite,1
image,1
equal,1
emolument,1
appearance,1
bridge,1
feature,1
hall,1
fortress,1
opposition,1
hybrid,1
blizzard,1
legislation,1
wage-earner,1
exhibition,1
period,1
patriot,1
problem,1
center,1
representative,1
current,1
facility,1
need,1
invasion,1
source,1
contemplation,1
subject,1
expiration,1
neighbor,1
participation,1
peer,1
community,1
antagonism,1
title,1
cabinet,1
single,1
think,1
wish,1
half,1
resource,1
method,1
consciousness,1
sin,1
universe,1
heart,1
zemstvo,1
worship,1
other,1
garment,1
tendency,1
italian,1
approach,1
adversity,1
sect,1
hunger,1
mondino,1
dog,1
sister,1
enrichment,1
come,1
infection,1
interstate,1
furor,1
domain,1
quality,1
person,1
moor,1
differential,1
matter,1
comment,1
excitement,1
beholder,1
militia,1
growth,1
chaos,1
transportation,1
opening,1
in'i,1
cog,1
primary,1
factory,1
worker,1
institution,1
heat,1
female,1
be,1
english,1
sun,1
flower,1
craft,1
--,1
doctor,1
manner,1
marriage,1
object,1
injustice,1
police,1
liver,1
jewelry,1
dissatisfaction,1
analogue,1
uniqueness,1
male,1
bargain,1
idea,1
folk,1
insecurity,1
acceptance,1
odor,1
lack,1
piece,1
shape,1
action,1
jewel,1
heaven,1
relation,1
perfection,1
commotion,1
breeze,1
tribe,1
suggestion,1
star,1
assent,1
phi,1
indian,1
group,1
ship,1
nobility,1
understanding,1
fountain,1
library,1
grotesque,1
eternity,1
booster,1
competition,1
discontent,1
market,1
control,1
surprise,1
statute,1
pride,1
discipleship,1
insurance,1
legend,1
number,1
navy,1
bird,1
scotch,1
fire,1
meal,1
question,1
confidence,1
role,1
general,1
work,1
wonder,1
resistance,1
owner,1
calculus,1
army,1
turn,1
manual,1
slave,1
crowd,1
department,1
egg,1
grenadier,1
confederation,1
pupil,1
desire,1
borderland,1
sculpture,1
balkan,1
revenue,1
ruler,1
office,1
mosque,1
stir,1
hotbed,1
trouble,1
deterrent,1
aisle,1
example,1
auxiliary,1
way,1
idealist,1
conflagration,1
stone,1
restrain,1
jail,1
rule,1
university,1
party,1
bit,1
fistula,1
right,1
canal,1
development,1
next-door,1
plane,1
catholic,1
difference,1
taste,1
god,1
destruction,1
suffrage,1
act,1
coalition,1
officer,1
form,1
change,1
sick,1
metaphysics,1
player,1
judge,1
volunteer,1
sanctuary,1
patient,1
connection,1
electorate,1
furore,1
constipation,1
shock,1
lot,1
feudalism,1
exercise,1
moon,1
mutiny,1
asset,1
expert,1
porter,1
over,1
ripple,1
building,1
hostility,1
bard,1
sluggishness,1
malignant,1
dictatorship,1
cost,1
fer,1
teacher,1
organisation,1
shipyard,1
earnings,1
hero,1
water,1
deal,1
prevention,1
eloquence,1
singer,1
bill,1
translation,1
trade,1
derangement,1
aim,1
admiration,1
word,1
individualism,1
suburb,1
article,1
frontier,1
date,1
delivery,1
museum,1
conscript,1
commis,1
wastage,1
future,1
return,1
release,1
liking,1
intellectual,1
difficulty,1
manhood,1
mean,1
sion,1
englishman,1
penalty,1
masterpiece,1
display,1
prestige,1
