lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],1.0,6.0,11.0,11.0,3.0,3.0,3.0,5.0,2.0,6.0,6.0,3.0,4.0,2.0,1.0,6.0,2.0,5.0,1.0,81.0
[WORLD],0.0,3.0,4.0,6.0,1.0,6.0,2.0,1.0,1.0,3.0,3.0,4.0,7.0,5.0,6.0,3.0,5.0,9.0,4.0,73.0
[DEMAND],4.0,2.0,3.0,6.0,2.0,2.0,3.0,7.0,5.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,4.0,9.0,60.0
[IMPRESSION],0.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,6.0,2.0,57.0
[GOVERNMENT],3.0,4.0,2.0,2.0,6.0,2.0,5.0,3.0,2.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,8.0,3.0,2.0,56.0
[STATE],1.0,2.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,6.0,6.0,4.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,55.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,8.0,15.0,11.0,9.0,51.0
[PROBLEM],0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,10.0,6.0,9.0,5.0,7.0,48.0
[PUBLIC],2.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,6.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,45.0
[THING],0.0,5.0,8.0,4.0,2.0,5.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,43.0
[SYSTEM],1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,6.0,43.0
[ATMOSPHERE],1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,6.0,1.0,5.0,5.0,2.0,0.0,5.0,4.0,43.0
[LAW],1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,40.0
[POWER],1.0,2.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,40.0
[CHARACTER],2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,6.0,1.0,4.0,2.0,40.0
[IMAGE],0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,8.0,2.0,4.0,6.0,4.0,39.0
[WORK],1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,5.0,2.0,3.0,3.0,8.0,5.0,38.0
[ILLUSION],1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,8.0,2.0,3.0,2.0,6.0,38.0
[--],0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,11.0,7.0,36.0
[CONDITION],0.0,0.0,1.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,36.0
[MIND],1.0,3.0,4.0,3.0,4.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,35.0
[MARKET],0.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,6.0,1.0,35.0
[WAR],0.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,3.0,2.0,1.0,33.0
[INTEREST],1.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,33.0
[SENSATION],1.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,32.0
[PEOPLE],0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,5.0,5.0,31.0
[SENSE],0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,5.0,4.0,29.0
[ART],0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,4.0,3.0,2.0,4.0,28.0
[PURPOSE],1.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0
[SOCIETY],1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,27.0
[NATION],0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,27.0
[OPPORTUNITY],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,8.0,6.0,27.0
[FORCE],0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,26.0
