lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PROBLEM],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,9.0,14.0,9.0,13.0,22.0,11.0,15.0,105.0
[MAN],3.0,1.0,10.0,4.0,5.0,16.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,2.0,1.0,66.0
[SYSTEM],2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,2.0,9.0,5.0,4.0,5.0,14.0,9.0,64.0
[WORLD],0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,8.0,4.0,1.0,9.0,5.0,9.0,59.0
[THING],7.0,2.0,3.0,1.0,7.0,8.0,5.0,1.0,4.0,4.0,0.0,3.0,1.0,5.0,0.0,3.0,1.0,2.0,1.0,58.0
[STATE],0.0,0.0,6.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,3.0,6.0,3.0,3.0,3.0,1.0,6.0,10.0,8.0,58.0
[DEMAND],2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,7.0,6.0,4.0,2.0,4.0,6.0,2.0,2.0,58.0
[CONDITION],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,3.0,6.0,8.0,2.0,4.0,7.0,9.0,49.0
[INTEREST],1.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,48.0
[SITUATION],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,14.0,4.0,6.0,8.0,5.0,4.0,48.0
[GOVERNMENT],4.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,5.0,3.0,44.0
[POWER],4.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,41.0
[PUBLIC],1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,5.0,4.0,2.0,5.0,5.0,6.0,40.0
[FORM],1.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,5.0,10.0,6.0,1.0,39.0
[EFFECT],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,4.0,3.0,3.0,4.0,3.0,9.0,3.0,37.0
[ENVIRONMENT],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,6.0,12.0,36.0
[IMPRESSION],0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,5.0,35.0
[MARKET],1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,2.0,7.0,7.0,35.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,5.0,8.0,9.0,34.0
[ILLUSION],0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,4.0,6.0,2.0,7.0,34.0
[SOCIETY],1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,7.0,4.0,3.0,33.0
[MIND],2.0,2.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,31.0
[IMAGE],0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,0.0,9.0,31.0
[ORDER],0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,10.0,2.0,2.0,31.0
[PEOPLE],1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,6.0,3.0,6.0,31.0
[TENSION],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,16.0,1.0,1.0,30.0
[LAW],1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,0.0,29.0
[OTHER],1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0,2.0,29.0
[SENSATION],1.0,0.0,4.0,2.0,5.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,28.0
[RELATIONSHIP],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,1.0,10.0,2.0,3.0,28.0
[VALUE],0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,27.0
[OPPORTUNITY],0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,8.0,4.0,27.0
[LIFE],0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,8.0,27.0
[COMMUNITY],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,6.0,5.0,26.0
[FEEL],0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,1.0,26.0
[CLASS],0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,4.0,3.0,1.0,26.0
[HUMAN],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,3.0,7.0,26.0
[TYPE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,10.0,1.0,0.0,1.0,3.0,2.0,24.0
[PROGRAM],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,9.0,24.0
[KIND],0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,4.0,3.0,4.0,24.0
[RIGHT],0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,4.0,23.0
[ART],1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,3.0,2.0,23.0
[ATMOSPHERE],0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,3.0,2.0,23.0
[FORCE],1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,3.0,1.0,1.0,23.0
[WEALTH],0.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,22.0
[LABOR],0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,22.0
