lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SUPPLY],2.0,14.0,12.0,7.0,0.0,11.0,12.0,9.0,13.0,8.0,3.0,7.0,44.0,3.0,13.0,26.0,5.0,1.0,6.0,196.0
[MAN],6.0,9.0,8.0,11.0,13.0,8.0,10.0,23.0,15.0,18.0,14.0,15.0,11.0,6.0,8.0,2.0,8.0,5.0,1.0,191.0
[ATTENTION],10.0,17.0,13.0,12.0,12.0,17.0,11.0,12.0,12.0,9.0,4.0,4.0,7.0,5.0,5.0,6.0,4.0,5.0,11.0,176.0
[PRICE],2.0,8.0,4.0,6.0,10.0,1.0,4.0,11.0,2.0,4.0,5.0,12.0,31.0,6.0,20.0,14.0,7.0,4.0,3.0,154.0
[LABOR],5.0,3.0,10.0,5.0,9.0,7.0,5.0,11.0,7.0,9.0,15.0,21.0,9.0,6.0,3.0,4.0,3.0,4.0,3.0,139.0
[GOVERNMENT],5.0,9.0,7.0,9.0,8.0,8.0,7.0,12.0,7.0,9.0,5.0,9.0,4.0,8.0,8.0,4.0,8.0,6.0,4.0,137.0
[MONEY],3.0,17.0,9.0,11.0,9.0,4.0,6.0,11.0,14.0,8.0,6.0,6.0,6.0,0.0,1.0,4.0,9.0,4.0,6.0,134.0
[SERVICE],2.0,5.0,5.0,5.0,5.0,2.0,7.0,5.0,2.0,4.0,3.0,5.0,10.0,12.0,5.0,9.0,9.0,20.0,11.0,126.0
[GOOD],3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,32.0,20.0,12.0,10.0,10.0,5.0,4.0,1.0,107.0
[PUBLIC],7.0,8.0,6.0,1.0,5.0,2.0,6.0,14.0,6.0,5.0,7.0,6.0,2.0,6.0,4.0,9.0,5.0,4.0,4.0,107.0
[RIGHT],4.0,4.0,6.0,1.0,5.0,7.0,7.0,2.0,6.0,12.0,8.0,8.0,4.0,5.0,5.0,4.0,7.0,5.0,5.0,105.0
[PEOPLE],5.0,2.0,2.0,7.0,3.0,2.0,11.0,12.0,8.0,6.0,2.0,7.0,4.0,3.0,11.0,3.0,4.0,3.0,2.0,97.0
[EXPLANATION],4.0,1.0,3.0,4.0,7.0,11.0,5.0,3.0,5.0,3.0,11.0,4.0,3.0,6.0,3.0,6.0,6.0,1.0,4.0,90.0
[PRODUCT],3.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,7.0,8.0,12.0,5.0,23.0,4.0,5.0,2.0,0.0,89.0
[WORK],0.0,3.0,2.0,6.0,4.0,4.0,4.0,7.0,2.0,3.0,8.0,5.0,3.0,3.0,4.0,4.0,7.0,3.0,11.0,83.0
[CHANGE],5.0,2.0,2.0,0.0,1.0,5.0,3.0,5.0,5.0,5.0,6.0,8.0,0.0,2.0,7.0,6.0,8.0,4.0,6.0,80.0
[ACTION],1.0,0.0,0.0,0.0,3.0,3.0,5.0,8.0,4.0,6.0,4.0,7.0,9.0,2.0,2.0,5.0,9.0,1.0,3.0,72.0
[INCREASE],3.0,1.0,4.0,4.0,2.0,6.0,4.0,0.0,1.0,2.0,0.0,7.0,6.0,3.0,6.0,11.0,6.0,3.0,2.0,71.0
[WAGE],0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,8.0,10.0,6.0,4.0,3.0,7.0,10.0,1.0,3.0,71.0
[LIFE],0.0,2.0,5.0,2.0,5.0,3.0,7.0,5.0,5.0,7.0,4.0,3.0,6.0,2.0,3.0,3.0,1.0,3.0,3.0,69.0
[SURRENDER],5.0,4.0,2.0,2.0,4.0,10.0,4.0,16.0,3.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,68.0
[LAW],1.0,6.0,8.0,4.0,0.0,7.0,8.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,5.0,5.0,1.0,0.0,0.0,68.0
[FOOD],1.0,1.0,1.0,4.0,1.0,0.0,7.0,0.0,2.0,0.0,2.0,10.0,4.0,4.0,5.0,4.0,5.0,2.0,13.0,66.0
[DEMAND],3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,8.0,12.0,3.0,4.0,3.0,2.0,5.0,10.0,65.0
[POWER],3.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,6.0,7.0,2.0,3.0,4.0,2.0,2.0,2.0,64.0
[JUSTICE],4.0,3.0,9.0,4.0,6.0,4.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,61.0
[REASON],4.0,6.0,6.0,4.0,4.0,2.0,3.0,4.0,2.0,8.0,2.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,60.0
[THING],1.0,2.0,5.0,3.0,3.0,1.0,5.0,8.0,2.0,2.0,5.0,7.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,60.0
[CONSIDERATION],2.0,6.0,8.0,6.0,1.0,5.0,6.0,4.0,3.0,4.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,57.0
[STATE],4.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,2.0,2.0,6.0,6.0,2.0,56.0
[PAYMENT],3.0,3.0,6.0,3.0,6.0,5.0,4.0,0.0,4.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,55.0
[WOMAN],0.0,0.0,1.0,1.0,1.0,2.0,5.0,4.0,6.0,2.0,10.0,6.0,0.0,6.0,1.0,4.0,3.0,0.0,3.0,55.0
[MARKET],2.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0,6.0,3.0,2.0,5.0,5.0,5.0,1.0,52.0
[LABOUR],4.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,52.0
[ANSWER],2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,0.0,1.0,1.0,6.0,6.0,4.0,3.0,3.0,50.0
[SACRIFICE],5.0,5.0,2.0,5.0,1.0,4.0,6.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,49.0
[SCHOOL],0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,21.0,49.0
[HAND],1.0,4.0,3.0,6.0,9.0,4.0,1.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,49.0
[GENERAL],1.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,0.0,47.0
[CONDITION],1.0,0.0,4.0,2.0,0.0,0.0,5.0,4.0,3.0,2.0,6.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,47.0
[BUSINESS],3.0,3.0,3.0,3.0,5.0,0.0,2.0,4.0,3.0,4.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,47.0
[OTHER],2.0,9.0,4.0,4.0,0.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,46.0
[CAPITAL],4.0,4.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,6.0,3.0,9.0,2.0,2.0,1.0,46.0
[EDUCATION],3.0,1.0,0.0,1.0,2.0,1.0,7.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,45.0
[LAND],3.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,8.0,3.0,0.0,2.0,1.0,44.0
[PRODUCTION],0.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,9.0,2.0,3.0,1.0,5.0,44.0
[REFORM],1.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,0.0,43.0
[CHILD],0.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,1.0,1.0,1.0,43.0
[VOICE],2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,8.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,42.0
