lemma,count
"",19
labour,18
money,17
attention,17
supply,14
species,12
man,9
other,9
government,9
price,8
public,8
satisfaction,8
apology,8
law,6
currency,6
reason,6
consideration,6
service,5
general,5
bank,5
sacrifice,5
power,5
paper,4
right,4
hand,4
cotton,4
nature,4
tax,4
presence,4
world,4
degree,4
citizen,4
rent,4
capital,4
reward,4
redress,4
surrender,4
reform,3
justice,3
article,3
child,3
reparation,3
kind,3
colony,3
number,3
protection,3
metal,3
moment,3
silver,3
gold,3
bill,3
work,3
enterprise,3
rise,3
business,3
material,3
assistance,3
court,3
payment,3
community,3
labor,3
amount,3
extension,3
people,2
good,2
executive,2
possession,2
authority,2
parent,2
cash,2
restoration,2
product,2
trade,2
wisdom,2
adelantado,2
commerce,2
gunner,2
duty,2
wage,2
--,2
mind,2
measure,2
property,2
portion,2
compensation,2
interview,2
director,2
produce,2
exercise,2
object,2
publisher,2
interposition,2
admiration,2
country,2
information,2
fox,2
investigation,2
occasion,2
reply,2
consequence,2
appetite,2
population,2
language,2
present,2
copy,2
request,2
/z/,2
knowledge,2
notice,2
discharge,2
faith,2
governor,2
mine,2
stock,2
novice,2
thing,2
heaven,2
sovereign,2
hunger,2
land,2
president,2
gentleman,2
passport,2
king,2
want,2
mean,2
voice,2
departure,2
execution,2
captain-general,2
consumption,2
party,2
concession,2
violence,2
constitution,2
person,2
opinion,2
pardon,2
brandy,2
admittance,2
charity,2
permission,2
nourishment,2
course,2
landlord,2
domestic,2
meeting,2
change,2
life,2
theory,1
progress,1
keokuk,1
vigilance,1
gaspar,1
neophyte,1
host,1
stretch,1
seaman,1
impossibility,1
effort,1
sir,1
obligation,1
look,1
appearance,1
vice,1
elect,1
benefit,1
worthy,1
sum,1
governor-general,1
letter,1
answer,1
period,1
brigade,1
mexican,1
forest,1
wench,1
goodness,1
voyage,1
advancement,1
suffer,1
mother,1
alcalde,1
occupation,1
admission,1
facility,1
source,1
due,1
truth,1
tomahawk,1
operation,1
prey,1
curiosity,1
corn,1
traveler,1
civilization,1
politician,1
orientalist,1
door,1
talent,1
existence,1
shield,1
freedom,1
patentee,1
think,1
care,1
claimant,1
assembly,1
save,1
aqd,1
step,1
demand,1
resolution,1
tenderness,1
organization,1
depositers,1
defect,1
rank,1
provision,1
brother,1
audience,1
eagerness,1
delicacy,1
slavery,1
sister,1
ritner,1
society,1
habit,1
adversary,1
commodity,1
foot,1
infant,1
suppression,1
tongue,1
sanguinary,1
patent,1
nation,1
reduction,1
adventurer,1
inverse,1
spiff,1
emancipation,1
excellency,1
monarch,1
sac,1
aggregation,1
rebuke,1
love,1
breakfast,1
situation,1
impertinent,1
gift,1
instance,1
evil,1
institution,1
ervice,1
heat,1
equivalent,1
purpose,1
position,1
acquaintance,1
english,1
herd,1
crew,1
decision,1
mediation,1
degrade,1
overseer,1
success,1
historian,1
father,1
sentence,1
result,1
marriage,1
sound,1
balance,1
body,1
legislature,1
deference,1
fishing,1
tear,1
ammunition,1
light,1
access,1
entrance,1
dignity,1
reciprocation,1
set,1
sternness,1
osage,1
recompense,1
liberality,1
aid,1
call,1
thae,1
employment,1
interruption,1
grind,1
foster,1
term,1
congress,1
discussion,1
crisis,1
proof,1
abruptness,1
proprietor,1
sanscrit,1
professor,1
thanksgiving,1
order,1
cultivator,1
refusal,1
