lemma,count
stutsman,5
craven,3
practice,2
"",2
wife,2
service,2
respect,2
rent,2
wait,2
sister,2
explanation,2
bill,1
grievance,1
collector,1
nature,1
rusche,1
word,1
charity,1
fauna,1
groom,1
way,1
trip,1
caress,1
term,1
urine,1
ramn,1
house,1
ring,1
constant,1
return,1
single,1
stomach,1
republic,1
release,1
captain,1
thing,1
bryson,1
order,1
gate,1
incredulity,1
sin,1
wiring,1
rank,1
advantage,1
sense,1
father,1
liege,1
dream,1
machinery,1
road,1
autograph,1
air,1
dog,1
body,1
partner,1
labor,1
woman,1
minion,1
job,1
man,1
tormentor,1
radio,1
throat,1
head,1
boy,1
reward,1
life,1
hair,1
disappointment,1
anguish,1
wit,1
interview,1
emperor,1
stern,1
act,1
dudgeon,1
judd,1
actress,1
begin,1
back,1
recognition,1
dictator,1
millie,1
replica,1
cola,1
love,1
insurance,1
fall,1
strength,1
negotiation,1
beginning,1
side,1
friend,1
cool,1
move,1
scramble,1
barrier,1
general,1
work,1
condition,1
apology,1
face,1
report,1
equation,1
husband,1
surrender,1
fight,1
director,1
painter,1
pioneer,1
voice,1
admission,1
attention,1
sleep,1
tone,1
whatsamatta,1
note,1
