lemma,count
war,6
"",6
pay,4
return,4
public,4
service,4
talk,3
law,3
government,3
answer,3
care,3
apology,3
right,3
abolition,3
resignation,3
effect,3
speaker,3
labor,3
raise,3
wage,3
hear,3
man,3
investigation,2
people,2
contribution,2
lot,2
negro,2
effort,2
catholic,2
police,2
statehood,2
attention,2
sacrifice,2
order,2
share,2
troop,2
life,2
room,2
income,2
product,2
industry,2
test,2
reason,2
justice,2
school,2
doctor,2
change,2
end,2
referendum,2
mind,2
place,2
republican,2
arm,2
reform,2
production,2
responsibility,2
budget,2
world,2
equality,2
racist,1
three-man,1
priority,1
learn,1
villa,1
performance,1
orderliness,1
appeal,1
program,1
rosenblum,1
drive,1
tax,1
volume,1
expression,1
body,1
legislature,1
layman,1
cost,1
price,1
obedience,1
protection,1
paper,1
requirement,1
wool,1
voice,1
rent,1
greek,1
diplomacy,1
lunch-counter,1
scooter,1
prisoner,1
firm,1
violence,1
otherness,1
lung,1
youlou,1
power,1
tape,1
bill,1
patron,1
morality,1
conformity,1
flat,1
adhesive,1
bargain,1
idea,1
moose,1
minister,1
more,1
home,1
practice,1
fatter,1
aid,1
experience,1
influence,1
butter,1
construction,1
moratorium,1
food,1
unemployment,1
congress,1
house,1
future,1
disclosure,1
saving,1
payment,1
coexistence,1
release,1
thing,1
intellectual,1
try,1
refinement,1
security,1
speed,1
student,1
desperation,1
penalty,1
play,1
independence,1
pound,1
nabrit,1
baby,1
display,1
total,1
examination,1
curriculum,1
cynicism,1
class,1
gun,1
impeachment,1
muster,1
asylum,1
money,1
mobilization,1
toll,1
discrimination,1
bargaining,1
airline-style,1
bribe,1
protocol,1
rehearsal,1
acknowledgment,1
scene,1
export,1
retirement,1
essay,1
concealment,1
member,1
consideration,1
precipitant,1
libretto,1
acting,1
overtime,1
panel,1
fact,1
approval,1
broadcast,1
course,1
parking,1
recognition,1
kind,1
brink,1
establishment,1
slogan,1
strip,1
inhabitant,1
foreign-aid,1
submission,1
pressure,1
street,1
post,1
good,1
reprimand,1
pause,1
image,1
equal,1
settlement,1
respect,1
boost,1
consumer,1
cash,1
mistake,1
snore,1
french,1
solution,1
confidence,1
general,1
dag,1
apartheid,1
hope,1
abandonment,1
meat-ax,1
separation,1
army,1
legislation,1
expulsion,1
expectation,1
sense,1
repair,1
pass,1
heir,1
defense,1
system,1
hike,1
slave,1
triumph,1
revolt,1
passive,1
union,1
achievement,1
college,1
sugar,1
energy,1
vision,1
workup,1
mail,1
list,1
miracle,1
reliance,1
reparation,1
policy,1
sell,1
subject,1
moment,1
duty,1
missile,1
politics,1
barrelhead,1
civilization,1
rachmaninoff,1
picture,1
freedom,1
unity,1
hitter,1
cigarette,1
escalation,1
assembly,1
population,1
rebuild,1
integration,1
plebiscite,1
method,1
book,1
organization,1
company,1
rank,1
blocker,1
warren,1
anger,1
show,1
no-nonsense,1
audience,1
self-denial,1
musical,1
definition,1
tact,1
society,1
ale,1
village,1
candidate,1
pathos,1
board,1
eye,1
town,1
tricorn,1
concentration,1
stay,1
restraint,1
economy,1
thanks,1
romney,1
leftist,1
monopoly,1
blade,1
texan,1
drought,1
congregation,1
darkness,1
evil,1
steadiness,1
american,1
lodging,1
car,1
nhu,1
part,1
negotiating,1
break,1
story,1
way,1
reuther,1
rule,1
nationalization,1
president,1
chess,1
victory,1
rookie,1
party,1
luxury,1
history,1
injury,1
discipline,1
redress,1
secretary,1
sideline,1
titillation,1
philosophy,1
cooperation,1
state,1
canadian,1
quarter,1
profession,1
analogy,1
vigor,1
countenance,1
city,1
opinion,1
laugh-in,1
revision,1
coalition,1
park,1
education,1
rationing,1
civilian,1
superlative,1
death,1
economist,1
vote,1
judge,1
ease,1
execution,1
secretariat,1
negotiation,1
constrain,1
ransom,1
greatness,1
purpose,1
elbow,1
bibliography,1
cut,1
retraction,1
