lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],2.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,56.0
[EXPLANATION],4.0,1.0,1.0,3.0,2.0,6.0,3.0,1.0,4.0,2.0,5.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,3.0,46.0
[ATTENTION],1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,38.0
[VOICE],1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,7.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,32.0
[MONEY],1.0,0.0,6.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,23.0
[HAND],0.0,2.0,0.0,3.0,6.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,22.0
[CAPTAIN],0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0
[ANSWER],1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,20.0
[RIGHT],1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0
[TONE],0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0
[SATISFACTION],1.0,6.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
[EYE],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,16.0
[LIFE],0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,15.0
[REASON],0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
[OTHER],2.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
[APOLOGY],0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0
[JUSTICE],0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0
[FATHER],1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0
[PRESENCE],2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
[GIRL],0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
[SACRIFICE],3.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
[SIR],2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0
[NAME],0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0
[THING],0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,12.0
[KING],0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
[WOMAN],0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0
[QUESTION],1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,11.0
[MOMENT],0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0
[SURRENDER],1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0
[MOTHER],0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0
[INTERVIEW],1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
[HEAD],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0
[AUDIENCE],2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
