lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[LABOR],4.0,0.0,8.0,5.0,9.0,5.0,4.0,7.0,7.0,8.0,10.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,83.0
[GOVERNMENT],3.0,3.0,3.0,7.0,7.0,6.0,7.0,10.0,7.0,8.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,5.0,0.0,82.0
[MAN],2.0,1.0,5.0,8.0,10.0,1.0,6.0,14.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,0.0,3.0,2.0,0.0,77.0
[ATTENTION],5.0,9.0,7.0,6.0,5.0,8.0,5.0,6.0,5.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,6.0,77.0
[SUPPLY],2.0,5.0,9.0,4.0,0.0,9.0,6.0,5.0,10.0,6.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,71.0
[PRICE],1.0,5.0,1.0,2.0,5.0,1.0,2.0,8.0,2.0,2.0,1.0,7.0,11.0,4.0,1.0,6.0,5.0,3.0,2.0,69.0
[PUBLIC],4.0,3.0,5.0,1.0,2.0,2.0,5.0,11.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,64.0
[PEOPLE],2.0,1.0,1.0,4.0,2.0,2.0,8.0,12.0,4.0,5.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,58.0
[MONEY],1.0,3.0,3.0,8.0,0.0,2.0,1.0,5.0,10.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,5.0,4.0,1.0,57.0
[SERVICE],2.0,0.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,5.0,6.0,1.0,53.0
[RIGHT],2.0,2.0,2.0,1.0,3.0,4.0,0.0,1.0,4.0,7.0,5.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,1.0,47.0
[WORK],0.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,42.0
[WAGE],0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,5.0,1.0,6.0,2.0,3.0,4.0,6.0,1.0,0.0,38.0
[ACTION],0.0,0.0,0.0,0.0,3.0,1.0,5.0,6.0,1.0,5.0,0.0,4.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,37.0
[CHANGE],3.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,4.0,3.0,5.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,37.0
[PRODUCT],1.0,0.0,3.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,3.0,0.0,0.0,36.0
[CONSIDERATION],1.0,5.0,6.0,4.0,1.0,4.0,5.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0
[LAW],1.0,0.0,1.0,4.0,0.0,2.0,6.0,2.0,4.0,5.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,35.0
[JUSTICE],2.0,2.0,4.0,0.0,3.0,4.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,31.0
[LIFE],0.0,2.0,1.0,0.0,2.0,0.0,5.0,2.0,2.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,30.0
[UNION],5.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,29.0
[INCREASE],2.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,29.0
[REFORM],0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,2.0,2.0,0.0,28.0
[SACRIFICE],1.0,3.0,2.0,3.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,1.0,28.0
[FOOD],0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,13.0,28.0
[EDUCATION],1.0,1.0,0.0,1.0,2.0,0.0,7.0,2.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0
[PAY],0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,0.0,0.0,27.0
[RETURN],0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,3.0,27.0
[POWER],2.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,26.0
[WOMAN],0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,26.0
[FREEDOM],0.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,26.0
[COUNTRY],1.0,1.0,0.0,5.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0
[INVESTIGATION],1.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,25.0
[PAYMENT],2.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,25.0
[SURRENDER],2.0,1.0,0.0,0.0,3.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,25.0
[GOOD],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,1.0,3.0,2.0,2.0,0.0,25.0
[HOME],0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,7.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0
[THING],1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0
