lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SUPPLY],0.0,9.0,3.0,3.0,0.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,43.0,1.0,13.0,25.0,4.0,1.0,1.0,123.0
[PRICE],1.0,3.0,3.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,5.0,20.0,2.0,19.0,8.0,2.0,0.0,1.0,79.0
[GOOD],2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,16.0,8.0,9.0,7.0,3.0,2.0,1.0,79.0
[SERVICE],0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,7.0,1.0,6.0,4.0,14.0,10.0,65.0
[ATTENTION],4.0,6.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,61.0
[MAN],2.0,4.0,1.0,1.0,0.0,6.0,2.0,8.0,3.0,6.0,2.0,7.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,58.0
[MONEY],1.0,14.0,0.0,2.0,9.0,0.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,4.0,54.0
[LABOR],1.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,5.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,3.0,54.0
[GOVERNMENT],2.0,6.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,9.0,2.0,4.0,5.0,2.0,5.0,1.0,4.0,54.0
[LABOUR],4.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,52.0
[PRODUCT],2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,5.0,21.0,2.0,2.0,2.0,0.0,52.0
[INCREASE],1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,6.0,8.0,4.0,2.0,2.0,42.0
[RIGHT],1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,40.0
[CURVE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,2.0,0.0,0.0,38.0
[CHANGE],1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,5.0,3.0,7.0,2.0,6.0,37.0
[DEMAND],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,3.0,3.0,2.0,5.0,9.0,36.0
[PUBLIC],1.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,3.0,0.0,4.0,3.0,2.0,1.0,35.0
[MARKET],0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,6.0,3.0,2.0,4.0,5.0,3.0,1.0,34.0
[WORK],0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,7.0,34.0
[POWER],0.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,32.0
