lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],141.0,129.0,119.0,146.0,115.0,159.0,101.0,131.0,126.0,127.0,117.0,89.0,93.0,91.0,93.0,92.0,87.0,98.0,114.0,2168.0
[NAME],59.0,86.0,76.0,58.0,84.0,87.0,79.0,89.0,109.0,74.0,65.0,74.0,71.0,88.0,69.0,79.0,59.0,58.0,63.0,1427.0
[CHANCE],17.0,16.0,10.0,16.0,44.0,49.0,46.0,66.0,94.0,117.0,120.0,96.0,81.0,135.0,88.0,87.0,114.0,69.0,75.0,1340.0
[RISE],59.0,83.0,74.0,84.0,75.0,100.0,75.0,68.0,76.0,82.0,67.0,54.0,67.0,58.0,73.0,65.0,75.0,41.0,37.0,1313.0
[ACCOUNT],130.0,152.0,106.0,116.0,127.0,116.0,68.0,65.0,82.0,47.0,47.0,24.0,33.0,35.0,22.0,26.0,23.0,18.0,14.0,1251.0
[MAN],43.0,62.0,82.0,67.0,78.0,80.0,84.0,105.0,67.0,90.0,77.0,77.0,67.0,66.0,63.0,54.0,30.0,19.0,35.0,1246.0
[ORDER],48.0,84.0,50.0,55.0,69.0,108.0,63.0,78.0,59.0,93.0,80.0,47.0,89.0,56.0,46.0,31.0,37.0,29.0,32.0,1154.0
[IDEA],58.0,86.0,74.0,75.0,76.0,79.0,59.0,73.0,76.0,85.0,41.0,59.0,49.0,62.0,56.0,36.0,31.0,31.0,25.0,1131.0
[OPPORTUNITY],74.0,45.0,47.0,53.0,39.0,62.0,54.0,57.0,78.0,74.0,91.0,54.0,32.0,55.0,46.0,34.0,40.0,35.0,48.0,1018.0
[PLACE],50.0,78.0,77.0,106.0,65.0,68.0,79.0,73.0,100.0,64.0,49.0,53.0,39.0,32.0,23.0,22.0,15.0,11.0,8.0,1012.0
[POWER],79.0,73.0,93.0,85.0,64.0,51.0,64.0,57.0,35.0,43.0,47.0,50.0,45.0,44.0,48.0,39.0,27.0,38.0,29.0,1011.0
[LIFE],54.0,50.0,80.0,70.0,68.0,75.0,56.0,65.0,61.0,71.0,45.0,52.0,33.0,43.0,31.0,35.0,45.0,39.0,29.0,1002.0
[BIRTH],43.0,43.0,65.0,60.0,54.0,55.0,38.0,43.0,31.0,26.0,14.0,44.0,42.0,30.0,34.0,67.0,75.0,67.0,66.0,897.0
[HAND],84.0,77.0,50.0,64.0,59.0,67.0,53.0,53.0,49.0,43.0,42.0,43.0,33.0,40.0,34.0,20.0,19.0,24.0,27.0,881.0
[LOOK],11.0,27.0,12.0,19.0,24.0,50.0,17.0,36.0,33.0,51.0,55.0,34.0,55.0,55.0,60.0,57.0,76.0,61.0,88.0,821.0
[MONEY],22.0,27.0,33.0,21.0,35.0,33.0,40.0,43.0,48.0,46.0,33.0,68.0,42.0,58.0,53.0,46.0,36.0,57.0,46.0,787.0
[ATTENTION],27.0,37.0,47.0,37.0,26.0,49.0,54.0,43.0,65.0,68.0,63.0,44.0,43.0,36.0,28.0,27.0,27.0,33.0,16.0,770.0
[WORD],45.0,52.0,45.0,51.0,51.0,44.0,26.0,53.0,60.0,63.0,40.0,47.0,37.0,28.0,35.0,22.0,20.0,11.0,21.0,751.0
[REASON],59.0,60.0,52.0,37.0,34.0,49.0,60.0,44.0,44.0,44.0,37.0,40.0,32.0,26.0,32.0,22.0,19.0,19.0,29.0,739.0
[RIGHT],30.0,50.0,43.0,29.0,38.0,46.0,31.0,33.0,39.0,26.0,49.0,61.0,40.0,28.0,30.0,35.0,43.0,26.0,32.0,709.0
[CHILD],25.0,26.0,33.0,27.0,23.0,39.0,29.0,38.0,33.0,49.0,31.0,46.0,47.0,42.0,35.0,45.0,32.0,42.0,51.0,693.0
[PLEASURE],52.0,52.0,43.0,46.0,44.0,53.0,48.0,54.0,42.0,36.0,30.0,37.0,13.0,27.0,39.0,18.0,20.0,16.0,7.0,677.0
[IMPRESSION],6.0,30.0,23.0,19.0,18.0,23.0,22.0,22.0,44.0,55.0,61.0,47.0,48.0,38.0,58.0,37.0,38.0,29.0,27.0,645.0
[PEOPLE],20.0,20.0,29.0,23.0,30.0,21.0,30.0,53.0,31.0,27.0,24.0,39.0,33.0,42.0,46.0,34.0,49.0,52.0,24.0,627.0
[CREDIT],35.0,82.0,36.0,24.0,31.0,29.0,20.0,17.0,38.0,35.0,36.0,38.0,36.0,32.0,24.0,26.0,27.0,16.0,41.0,623.0
[INFORMATION],27.0,36.0,41.0,43.0,39.0,49.0,38.0,33.0,31.0,24.0,48.0,22.0,49.0,33.0,27.0,21.0,22.0,26.0,13.0,622.0
[EVIDENCE],40.0,51.0,56.0,62.0,46.0,43.0,41.0,38.0,29.0,39.0,29.0,23.0,24.0,28.0,26.0,12.0,15.0,8.0,9.0,619.0
[THINK],9.0,10.0,20.0,19.0,23.0,32.0,39.0,43.0,33.0,57.0,55.0,29.0,39.0,45.0,38.0,28.0,33.0,24.0,26.0,602.0
[DIRECTION],47.0,80.0,63.0,52.0,47.0,47.0,24.0,33.0,22.0,20.0,25.0,20.0,11.0,22.0,15.0,10.0,13.0,12.0,13.0,576.0
[WORLD],40.0,28.0,51.0,37.0,46.0,46.0,35.0,28.0,40.0,30.0,25.0,26.0,22.0,26.0,20.0,18.0,26.0,11.0,9.0,564.0
[ANSWER],27.0,28.0,28.0,30.0,29.0,35.0,24.0,29.0,31.0,30.0,40.0,31.0,29.0,31.0,38.0,19.0,32.0,25.0,20.0,556.0
[WORK],26.0,20.0,23.0,37.0,28.0,38.0,56.0,30.0,45.0,34.0,25.0,43.0,16.0,29.0,21.0,16.0,24.0,27.0,16.0,554.0
[OPINION],54.0,60.0,36.0,44.0,43.0,35.0,37.0,36.0,21.0,25.0,17.0,15.0,14.0,15.0,17.0,10.0,8.0,5.0,6.0,498.0
[ADVICE],22.0,23.0,28.0,24.0,28.0,30.0,23.0,23.0,40.0,25.0,35.0,22.0,25.0,28.0,25.0,21.0,22.0,25.0,28.0,497.0
[INSTRUCTION],28.0,38.0,39.0,47.0,25.0,18.0,29.0,33.0,22.0,23.0,28.0,17.0,33.0,24.0,19.0,22.0,13.0,18.0,18.0,494.0
[HOPE],37.0,23.0,29.0,30.0,20.0,33.0,18.0,29.0,19.0,33.0,35.0,21.0,17.0,21.0,26.0,14.0,22.0,15.0,28.0,470.0
[EFFECT],32.0,50.0,27.0,21.0,34.0,15.0,32.0,25.0,22.0,24.0,28.0,32.0,25.0,15.0,17.0,20.0,9.0,11.0,4.0,443.0
[PUBLIC],40.0,42.0,42.0,31.0,33.0,23.0,27.0,32.0,35.0,18.0,15.0,7.0,18.0,15.0,13.0,21.0,10.0,11.0,7.0,440.0
[STRENGTH],34.0,17.0,26.0,35.0,34.0,36.0,24.0,31.0,20.0,28.0,24.0,14.0,13.0,21.0,18.0,23.0,16.0,7.0,19.0,440.0
[CHARACTER],39.0,51.0,74.0,32.0,34.0,25.0,41.0,28.0,16.0,22.0,10.0,8.0,7.0,11.0,8.0,9.0,8.0,7.0,4.0,434.0
[THING],23.0,24.0,23.0,22.0,25.0,33.0,20.0,21.0,26.0,35.0,24.0,22.0,14.0,29.0,21.0,19.0,12.0,11.0,9.0,413.0
[VIEW],34.0,44.0,43.0,30.0,16.0,26.0,18.0,27.0,18.0,11.0,17.0,19.0,12.0,21.0,17.0,15.0,18.0,12.0,14.0,412.0
[FORM],16.0,22.0,31.0,24.0,28.0,23.0,19.0,21.0,34.0,28.0,20.0,28.0,11.0,21.0,24.0,14.0,16.0,24.0,4.0,408.0
[LIGHT],17.0,18.0,42.0,27.0,14.0,20.0,31.0,21.0,22.0,21.0,30.0,22.0,20.0,22.0,19.0,19.0,15.0,9.0,14.0,403.0
[EXPRESSION],13.0,29.0,26.0,38.0,39.0,38.0,23.0,28.0,37.0,27.0,19.0,12.0,12.0,12.0,18.0,11.0,8.0,7.0,6.0,403.0
[NOTICE],40.0,52.0,35.0,34.0,35.0,26.0,22.0,27.0,17.0,19.0,9.0,23.0,13.0,13.0,9.0,6.0,8.0,8.0,4.0,400.0
[TROUBLE],33.0,17.0,18.0,34.0,23.0,43.0,18.0,32.0,17.0,27.0,13.0,22.0,20.0,24.0,21.0,14.0,8.0,6.0,6.0,396.0
[NUMBER],10.0,17.0,15.0,19.0,19.0,16.0,12.0,19.0,13.0,31.0,19.0,28.0,25.0,22.0,21.0,22.0,28.0,25.0,27.0,388.0
[SATISFACTION],22.0,32.0,17.0,46.0,28.0,28.0,31.0,23.0,21.0,21.0,16.0,9.0,29.0,19.0,19.0,5.0,4.0,8.0,7.0,385.0
[OTHER],26.0,23.0,36.0,23.0,15.0,22.0,21.0,26.0,21.0,28.0,14.0,23.0,18.0,16.0,19.0,15.0,21.0,9.0,9.0,385.0
[APPEARANCE],19.0,31.0,26.0,42.0,11.0,25.0,23.0,23.0,10.0,11.0,17.0,24.0,34.0,11.0,21.0,22.0,17.0,10.0,7.0,384.0
[GENERAL],23.0,44.0,35.0,25.0,27.0,18.0,18.0,22.0,22.0,24.0,26.0,18.0,9.0,12.0,20.0,8.0,3.0,5.0,5.0,364.0
[SENSE],6.0,7.0,15.0,12.0,11.0,21.0,15.0,16.0,13.0,23.0,24.0,17.0,34.0,24.0,24.0,28.0,27.0,18.0,24.0,359.0
[ROOM],7.0,2.0,14.0,30.0,9.0,22.0,16.0,24.0,15.0,24.0,32.0,25.0,16.0,25.0,34.0,13.0,20.0,13.0,16.0,357.0
[PARTY],11.0,19.0,9.0,9.0,26.0,12.0,18.0,21.0,21.0,13.0,18.0,30.0,31.0,28.0,28.0,21.0,24.0,13.0,5.0,357.0
[PICTURE],13.0,21.0,8.0,20.0,17.0,17.0,27.0,14.0,26.0,18.0,23.0,46.0,20.0,23.0,16.0,17.0,12.0,11.0,8.0,357.0
[SIGN],11.0,18.0,21.0,6.0,16.0,33.0,13.0,23.0,25.0,19.0,21.0,16.0,25.0,17.0,25.0,20.0,14.0,14.0,17.0,354.0
[EXAMPLE],21.0,18.0,11.0,15.0,19.0,17.0,34.0,12.0,16.0,12.0,9.0,28.0,16.0,24.0,18.0,18.0,23.0,23.0,17.0,351.0
[GOVERNMENT],16.0,27.0,25.0,13.0,39.0,17.0,16.0,16.0,17.0,10.0,23.0,19.0,13.0,22.0,14.0,19.0,19.0,5.0,6.0,336.0
[POINT],25.0,45.0,16.0,15.0,17.0,12.0,14.0,17.0,30.0,25.0,9.0,18.0,13.0,17.0,17.0,10.0,14.0,14.0,8.0,336.0
[ADVANTAGE],19.0,27.0,30.0,28.0,24.0,15.0,24.0,19.0,20.0,13.0,16.0,18.0,15.0,10.0,14.0,11.0,7.0,14.0,9.0,333.0
[AIR],23.0,33.0,28.0,33.0,22.0,18.0,23.0,17.0,20.0,13.0,19.0,13.0,13.0,12.0,15.0,10.0,10.0,5.0,6.0,333.0
[PROOF],37.0,36.0,35.0,26.0,39.0,22.0,21.0,22.0,13.0,15.0,14.0,9.0,5.0,11.0,11.0,5.0,5.0,1.0,0.0,327.0
[AUTHORITY],18.0,25.0,30.0,17.0,26.0,18.0,15.0,15.0,17.0,11.0,10.0,17.0,16.0,16.0,10.0,12.0,20.0,18.0,9.0,320.0
[SUPPORT],15.0,12.0,21.0,21.0,14.0,9.0,15.0,15.0,12.0,12.0,11.0,21.0,20.0,15.0,28.0,18.0,33.0,12.0,16.0,320.0
[HEART],30.0,37.0,21.0,24.0,42.0,20.0,18.0,17.0,10.0,14.0,18.0,12.0,6.0,6.0,10.0,7.0,9.0,4.0,9.0,314.0
