lemma,count
hand,71
way,65
"",38
opportunity,34
account,28
order,26
place,25
life,23
birth,23
world,21
pleasure,20
direction,20
word,20
man,18
trouble,18
hope,18
name,18
strength,17
notice,16
pain,16
air,15
reason,15
answer,15
blow,15
signal,15
feeling,15
heart,14
opinion,14
vent,14
money,13
death,13
kiss,13
information,12
credit,12
rise,11
right,11
chance,11
look,11
instruction,11
uneasiness,10
bread,10
power,10
offense,10
idea,10
joy,9
liberty,9
light,9
kind,9
prisoner,9
brother,9
consent,9
promise,9
advice,9
friend,9
battle,9
evidence,9
public,8
arm,8
other,8
daughter,8
nature,8
mind,8
alarm,8
judgment,8
letter,8
effect,7
beauty,7
soul,7
thing,7
affection,7
note,7
sign,7
eye,7
son,7
book,7
sister,7
parting,7
zest,6
justice,6
heaven,6
fortune,6
whole,6
view,6
influence,6
charge,6
embrace,6
ear,6
thanks,6
food,6
father,6
marriage,6
hearty,6
proof,6
hint,6
heed,6
smile,6
title,6
shelter,6
rest,6
thought,6
possession,6
satisfaction,5
explanation,5
intelligence,5
gold,5
ghost,5
command,5
relief,5
love,5
aid,5
reception,5
sound,5
expression,5
tone,5
dignity,5
paper,5
tear,5
happiness,5
wealth,5
lady,5
law,5
wind,5
person,5
testimony,5
child,5
think,5
moment,5
preference,5
appearance,5
burst,5
mean,5
assistance,5
chase,5
peace,5
blessing,5
lesson,5
ground,5
country,5
energy,5
woman,5
party,5
girl,5
spirit,5
welcome,5
wife,5
ease,5
confidence,5
side,5
assent,5
charm,5
utterance,5
comfort,5
passion,4
character,4
property,4
knowledge,4
countenance,4
form,4
elevation,4
counsel,4
authority,4
praise,4
occasion,4
manner,4
courage,4
dominion,4
support,4
news,4
lip,4
nod,4
consolation,4
point,4
advantage,4
vision,4
farewell,4
dinner,4
impulse,4
protection,4
notion,4
dear,4
attention,4
cause,4
pound,4
virtue,4
end,4
part,4
purse,4
riches,4
people,4
voice,4
husband,4
work,4
lecture,4
master,4
shout,4
fire,3
cold,3
house,3
governor,3
object,3
sanction,3
call,3
key,3
god,3
city,3
devil,3
leave,3
space,3
slaughter,3
duty,3
weight,3
enemy,3
horse,3
draught,3
story,3
example,3
despair,3
earth,3
superiority,3
rein,3
weakness,3
groan,3
family,3
freedom,3
care,3
wage,3
adversary,3
origin,3
loveliness,3
pass,3
sympathy,3
age,3
activity,3
ship,3
existence,3
head,3
bit,3
lie,3
land,3
subject,3
hue,3
mother,3
outline,3
patience,3
foe,3
play,3
audience,3
troop,3
room,3
fear,3
art,3
genius,3
reply,3
security,3
sea,3
doctor,3
delight,3
line,3
refreshment,3
credence,3
reader,3
return,3
force,3
future,3
body,3
safety,3
present,3
breath,3
interest,3
turn,3
french,3
drop,3
intimation,3
shake,3
eloquence,3
sum,3
guinea,3
nourishment,3
pistol,3
scheme,3
faith,3
soldier,3
grief,3
motion,3
mine,3
grace,3
enjoyment,3
employment,3
scream,3
fellow,3
glimpse,3
piece,3
color,2
ring,2
scope,2
vow,2
suit,2
visitor,2
change,2
glass,2
dose,2
fancy,2
water,2
congratulation,2
home,2
contest,2
savage,2
flame,2
increase,2
boy,2
conduct,2
salutation,2
glance,2
ball,2
disturbance,2
sir,2
parcel,2
share,2
government,2
prerogative,2
elder,2
conception,2
brow,2
edge,2
misery,2
propensity,2
blood,2
blanket,2
softness,2
executioner,2
wish,2
grandfather,2
brilliancy,2
tenderness,2
company,2
court,2
approach,2
count,2
delicacy,2
brave,2
passport,2
tongue,2
saint,2
bag,2
matter,2
chain,2
help,2
instance,2
parent,2
decision,2
dressing-case,2
success,2
salute,2
wing,2
skill,2
poniatowski,2
neck,2
follower,2
fee,2
treasure,2
prophet,2
destiny,2
consideration,2
touch,2
freshness,2
sense,2
servant,2
triumph,2
vigour,2
attempt,2
sentiment,2
commander,2
meaning,2
victory,2
history,2
discourse,2
boat,2
state,2
length,2
merit,2
vote,2
particular,2
permanence,2
sort,2
torch,2
wheel,2
despondency,2
odour,2
youth,2
encouragement,2
deal,2
page,2
learning,2
jerk,2
mynheer,2
kingdom,2
commentary,2
commission,2
permission,2
verdict,2
suspicion,2
face,2
poverty,2
indication,2
truth,2
feel,2
ray,2
sorrow,2
assembly,2
worship,2
theme,2
management,2
belief,2
sentinel,2
hollow,2
stab,2
gift,2
hitch,2
traitor,2
war,2
english,2
sun,2
degree,2
sentence,2
significance,2
variety,2
wound,2
skin,2
feast,2
troth,2
sternness,2
shape,2
sketch,2
detachment,2
independence,2
jog,2
whim,2
importance,2
indian,2
wit,2
cast,2
yell,2
animal,2
specimen,2
writing,2
past,2
habitation,2
wonder,2
trust,2
honor,2
pursuit,2
finish,2
imagination,2
suffering,2
request,2
education,2
warmth,2
deed,2
dread,2
gaze,2
speech,2
inheritance,2
pride,1
criminal,1
handkerchief,1
marc,1
original,1
littel,1
assassination,1
final,1
number,1
condolence,1
boon,1
cure,1
plunder,1
burial,1
passage,1
writer,1
laud,1
good,1
dust,1
tendency,1
e'er,1
dark,1
remark,1
silver,1
scissors,1
question,1
flood,1
outcry,1
cry,1
prize,1
abstract,1
melody,1
harmony,1
report,1
bunch,1
sake,1
dram,1
demand,1
slug,1
plough,1
goddess,1
appetite,1
business,1
wrinkle,1
portrait,1
jen,1
remnant,1
effeminacy,1
extremity,1
torture,1
reputation,1
relative,1
vividness,1
displeasure,1
sport,1
measure,1
hond,1
thrill,1
wave,1
tranquillity,1
cousin,1
grammar,1
lamb,1
futurity,1
warning,1
incorruptibility,1
seal,1
faithfulness,1
intellect,1
weapon,1
kid,1
brick,1
interrogative,1
compassion,1
nutmeg,1
approve,1
picture,1
grasp,1
bible,1
value,1
bliss,1
premium,1
assurance,1
aspect,1
excellence,1
brewster,1
auxiliary,1
affair,1
solitude,1
operation,1
unrighteousness,1
uprightness,1
pipe,1
nephew,1
wretch,1
latitude,1
toast,1
introduction,1
animation,1
whiskey,1
quarter,1
modesty,1
dependence,1
robin,1
office,1
station,1
nutriment,1
brain,1
designation,1
tirade,1
billet,1
visage,1
thunder,1
canadian,1
reproach,1
frown,1
forsooth,1
donation,1
insult,1
canoe,1
taste,1
morn,1
burlesque,1
sleep,1
chief,1
captive,1
brace,1
engross,1
wherefores,1
interpretation,1
disgrace,1
mail,1
suffrage,1
just,1
excuse,1
papoose,1
system,1
hear,1
edifice,1
beaver,1
shifting,1
plan,1
slave,1
judge,1
bula,1
principal,1
dome,1
rapier,1
vicinity,1
retain,1
recollection,1
period,1
wink,1
travel,1
spot,1
ther,1
hem,1
looseness,1
vanity,1
competence,1
rigging,1
anticipation,1
leer,1
neigh,1
breast,1
peruser,1
treason,1
silence,1
malignant,1
stupifying,1
deportment,1
presence,1
accommodation,1
tumult,1
candle,1
teacher,1
immortality,1
intoxication,1
probation,1
metropolis,1
packet,1
felicity,1
elim,1
prudence,1
assassin,1
violence,1
symptom,1
beelzebub,1
twilight,1
apparel,1
quid,1
manifestation,1
gust,1
escape,1
cloak,1
warm,1
countess,1
hatchet,1
martyrdom,1
bill,1
design,1
lightness,1
sand,1
mamma,1
range,1
creation,1
aim,1
fidelity,1
crown,1
subaltern,1
disposition,1
warrior,1
article,1
date,1
oval,1
rush,1
coxcomb,1
surgeon,1
traveller,1
church,1
summons,1
commandment,1
matron,1
limb,1
endowment,1
image,1
integrity,1
surfeit,1
effort,1
endeavour,1
fulness,1
shrift,1
mistress,1
display,1
avenger,1
gun,1
licentiousness,1
asylum,1
wampum,1
execration,1
falstaff,1
movement,1
possessor,1
tale,1
supper,1
weeping,1
wedding,1
horseman,1
rock,1
drink,1
vine,1
pressure,1
shadow,1
sage,1
type,1
sigh,1
scene,1
meeting,1
bundle,1
steed,1
retreat,1
anguish,1
cunning,1
lifelessness,1
language,1
lenox,1
sweep,1
arrival,1
wine,1
irishman,1
cordial,1
victuals,1
relish,1
forehead,1
commune,1
claim,1
coat,1
flag,1
chapter,1
yearning,1
wolf,1
conversation,1
debt,1
loose,1
play-things,1
grave,1
phlegm,1
reprimand,1
capt,1
persuasion,1
atom,1
illustration,1
watchword,1
deer,1
dialogue,1
sacredness,1
fact,1
interference,1
wearer,1
build,1
reproof,1
feature,1
lance,1
subsistence,1
contract,1
terror,1
go-by,1
inspiration,1
rifle,1
cake,1
center,1
coward,1
widow,1
recovery,1
tea,1
reliance,1
dye,1
advance,1
agriculturist,1
hande,1
facility,1
insight,1
lav,1
description,1
squeeze,1
caution,1
source,1
greeting,1
rumination,1
reflection,1
arch,1
consistency,1
pate,1
fault,1
publicity,1
tug,1
e'en,1
curiosity,1
baggage,1
rate,1
dwell,1
tipp,1
tinge,1
portion,1
barbarity,1
harp,1
charity,1
guest,1
gospel,1
exultation,1
token,1
cato,1
tract,1
copper,1
explosion,1
muse,1
stroke,1
howl,1
knock,1
gown,1
consciousness,1
perusal,1
knight,1
bend,1
desk,1
spicket,1
gratification,1
pension,1
rule,1
oath,1
detail,1
motive,1
feud,1
piquancy,1
improver,1
weel,1
labourer,1
prelacy,1
examination,1
health,1
opponent,1
contentment,1
desert,1
clue,1
fortitude,1
sting,1
circean,1
romish,1
con,1
definition,1
drug,1
chace,1
society,1
fellowship,1
precedence,1
worth,1
hunter,1
bottle,1
village,1
demonstration,1
poesy,1
why,1
start,1
anecdote,1
sack,1
declaration,1
card,1
sabre,1
repast,1
absolution,1
seat,1
salary,1
ardour,1
guard,1
pacquet,1
god-speed,1
babe,1
back,1
buccaneer,1
gracefulness,1
eel,1
lamentation,1
pencil,1
mammoth,1
admittance,1
scratch,1
trig,1
excitement,1
bosom,1
infusion,1
scruple,1
mortal,1
throb,1
fruit,1
entertainment,1
evil,1
darkness,1
mantle,1
argument,1
boast,1
hill,1
footing,1
pleasure-boat,1
research,1
restoration,1
mercy,1
intercourse,1
provincial,1
agitation,1
affirmance,1
mustachios,1
convulsion,1
toss,1
flower,1
emotion,1
midst,1
circumstance,1
shame,1
attachment,1
provocation,1
parole,1
package,1
defunctos,1
spectacle,1
flog,1
blaze,1
wreath,1
weariness,1
wood,1
rapture,1
firm,1
make,1
loss,1
crush,1
scenery,1
crust,1
woodland,1
pan,1
plague,1
admiration,1
pallet,1
press,1
much-desired,1
tribute,1
flow,1
aerial,1
procession,1
ev'ry,1
shell,1
velocity,1
blank,1
benevolence,1
benediction,1
finder,1
minister,1
pleasance,1
repentance,1
cradock,1
sift,1
folk,1
humour,1
brief,1
knife,1
bob,1
interchange,1
exchange,1
mahomet,1
whip,1
apprehension,1
mammon,1
salt,1
talk,1
yardstick,1
exertion,1
foam,1
discussion,1
sym,1
chair,1
leisure,1
enterprise,1
ribband,1
case,1
veto,1
tiding,1
relation,1
copyist,1
expos,1
gentleman,1
missionary,1
serjeant,1
reverse,1
toleration,1
labour,1
coach,1
curio,1
shock,1
benefactor,1
bowers,1
wipe,1
moan,1
custody,1
spoiler,1
trial,1
preternatural,1
pro,1
counter,1
nose,1
danger,1
concern,1
response,1
plain,1
punishment,1
bribe,1
companion,1
conquest,1
locket,1
settin,1
prospect,1
excess,1
obstinacy,1
routine,1
hub,1
legion,1
beguilement,1
frame,1
ash,1
priest,1
stern,1
will,1
applause,1
tory,1
fate,1
depth,1
vivacity,1
say,1
glee,1
privilege,1
monsieur,1
richness,1
live,1
purchase,1
sink,1
pocket,1
youngster,1
brid,1
hutchins,1
ministry,1
votary,1
individual,1
post,1
earnest,1
testament,1
fight,1
respect,1
countersign,1
red,1
edition,1
leap,1
historian,1
soil,1
cow,1
be,1
pledge,1
defeat,1
coffin,1
echo,1
sweet,1
reform,1
advertisement,1
descent,1
cut,1
general,1
ha'penny,1
heathen,1
tin,1
modification,1
distance,1
access,1
acquaintance,1
alienation,1
string,1
lethargy,1
ruin,1
confirmation,1
mouthful,1
wall,1
aunt,1
hog,1
female,1
recompense,1
bind,1
celebrity,1
phrase,1
election,1
avocation,1
stanza,1
indistinctness,1
sinn,1
protector,1
root,1
benison,1
message,1
foretaste,1
opening,1
braddock,1
choice,1
action,1
black,1
fervour,1
distaste,1
smack,1
shot,1
industry,1
supply,1
distinction,1
shade,1
oracle,1
alternation,1
application,1
solace,1
beaux,1
prison,1
impetus,1
excellency,1
exit,1
inducement,1
resistance,1
beast,1
partisan,1
pillage,1
impression,1
cat,1
absurdity,1
alliance,1
lover,1
purity,1
stranger,1
stream,1
job,1
dame,1
dreadfull,1
tap,1
invitation,1
draft,1
papist,1
sycophant,1
grandmother,1
citadel,1
peasant,1
pardon,1
narration,1
bone,1
foot,1
scholar,1
round,1
aversion,1
majesty,1
compliment,1
eternity,1
reward,1
powder,1
habit,1
course,1
peg,1
surprise,1
control,1
