lemma,count
rise,63
"",61
amount,30
way,29
impression,29
opportunity,26
pleasure,22
power,21
answer,20
name,20
situation,19
idea,18
man,17
chance,17
evidence,17
reason,17
description,17
room,16
indication,16
consideration,16
money,15
information,15
place,15
general,15
account,14
student,13
effect,13
attention,13
moment,13
group,12
order,12
complex,12
land,12
think,11
expression,11
area,11
price,11
output,11
work,11
service,11
demonstration,10
guidance,10
child,10
definition,10
figure,10
word,10
support,10
table,10
number,10
individual,10
other,10
public,10
appearance,10
school,10
language,10
opinion,10
change,10
color,10
form,10
access,9
position,9
process,9
decision,9
point,9
choice,9
people,9
knowledge,9
state,9
example,9
case,9
light,9
family,9
credit,9
product,9
kind,8
birth,8
chapter,8
right,8
direction,8
line,8
character,8
view,8
government,8
training,8
picture,8
house,8
satisfaction,8
nature,8
world,8
person,8
structure,8
thing,7
assistance,7
hope,7
feel,7
value,7
interest,7
protection,7
status,7
system,7
range,7
proof,7
treatment,7
pain,7
help,7
law,7
life,7
resource,7
subject,7
condition,7
question,7
policy,7
fact,7
party,7
advice,7
period,7
network,7
weight,7
quality,6
priority,6
space,6
supply,6
action,6
total,6
yield,6
frequency,6
field,6
aid,6
detail,6
meaning,6
ground,6
strength,6
instruction,6
part,6
quantity,6
income,6
live,6
marriage,6
production,6
charge,5
measure,5
belief,5
distribution,5
mean,5
business,5
trouble,5
level,5
basis,5
activity,5
potential,5
explanation,5
control,5
problem,5
wave,5
data,5
source,5
ranking,5
practice,5
importance,5
entrepreneur,5
english,5
incentive,5
thanks,5
function,5
patient,5
wife,5
excuse,5
title,5
air,5
assignment,5
result,5
standard,5
church,5
trade,5
home,5
region,5
look,5
class,5
factor,5
cost,5
consent,5
material,5
touch,5
species,5
alternative,4
lesson,4
heart,4
sense,4
king,4
average,4
substance,4
parent,4
body,4
solution,4
promise,4
map,4
angle,4
benefit,4
set,4
capital,4
reaction,4
aspect,4
reference,4
freedom,4
impetus,4
sound,4
population,4
program,4
course,4
curve,4
circumstance,4
relative,4
reality,4
input,4
matter,4
personality,4
section,4
authority,4
grade,4
advantage,4
intention,4
window,4
sign,4
teacher,4
force,4
woman,4
competition,4
encouragement,4
market,4
page,4
signal,4
labour,4
step,4
slope,4
heat,4
institution,4
date,4
hand,4
size,4
worker,4
book,4
reader,4
war,4
theory,4
variety,4
rank,3
candidate,3
dose,3
strategy,3
superiority,3
actuality,3
job,3
formant,3
guarantee,3
glory,3
start,3
representation,3
management,3
preparation,3
manner,3
reception,3
kinship,3
rule,3
present,3
coverage,3
responsibility,3
doctrine,3
god,3
record,3
economy,3
scientist,3
type,3
electron,3
term,3
scope,3
talk,3
content,3
growth,3
elasticity,3
development,3
television,3
demand,3
employment,3
summary,3
recognition,3
limit,3
mass,3
lord,3
constitution,3
//,3
property,3
paper,3
history,3
son,3
official,3
list,3
iron,3
lift,3
utterance,3
wage,3
clue,3
justice,3
go-ahead,3
girl,3
response,3
ritual,3
reading,3
model,3
effort,3
community,3
meeting,3
award,3
confidence,3
latitude,3
assurance,3
maximum,3
independence,3
education,3
coloration,3
sort,3
permission,3
discretion,3
side,3
committee,3
relationship,3
radio,3
concern,3
warmth,3
sequence,3
feeling,3
ticket,3
rorschach,3
acreage,3
unit,3
prevalence,3
sheet,3
use,3
organization,3
country,3
news,3
origin,3
attitude,2
watch,2
politics,2
possibility,2
compound,2
aura,2
interviewer,2
push,2
vent,2
consciousness,2
test,2
crop,2
industry,2
homework,2
damn,2
return,2
injection,2
introduction,2
location,2
code,2
desert,2
call,2
drug,2
society,2
semblance,2
gas,2
affair,2
temper,2
reduction,2
length,2
extent,2
taste,2
backing,2
affection,2
interpretation,2
primary,2
item,2
constant,2
concrete,2
argument,2
maintenance,2
crisis,2
purpose,2
supposition,2
fabric,2
degree,2
agency,2
cold,2
concept,2
variation,2
leader,2
judge,2
imagery,2
principal,2
cook,2
sake,2
judgment,2
store,2
velocity,2
distinction,2
overall,2
component,2
study,2
channel,2
tree,2
equilibrium,2
stability,2
primacy,2
blessing,2
lot,2
medicine,2
end,2
welcome,2
exercise,2
performance,2
principle,2
plateau,2
paragraph,2
solidity,2
rein,2
comfort,2
consumption,2
outlet,2
tip,2
debate,2
shelter,2
discrimination,2
member,2
cliff,2
volume,2
clique,2
blow,2
privilege,2
roman,2
struggle,2
failure,2
whole,2
flexibility,2
issue,2
collectivity,2
adult,2
animal,2
specification,2
insight,2
influence,2
steam,2
board,2
procedure,2
supervision,2
consumer,2
boost,2
friend,2
leisure,2
temperature,2
sample,2
red,2
capacity,2
wear,2
series,2
understanding,2
limitation,2
generation,2
college,2
kitchen,2
ability,2
department,2
chain,2
completion,2
surface,2
notion,2
variable,2
preference,2
president,2
aristocracy,2
collection,2
variance,2
imagination,2
measurement,2
cover,2
duration,2
possession,2
invention,2
pile,2
meal,2
horse,2
enterprise,2
equipment,2
grouping,2
role,2
voice,2
verdict,2
say,2
danger,2
pressure,2
utility,2
cause,2
movement,2
claim,2
occasion,2
construction,2
food,2
future,2
reply,2
pattern,2
consequence,2
formants,2
security,2
increase,2
game,2
reputation,2
handle,2
boy,2
break,2
conservative,2
textbook,2
broadcast,2
shift,2
ambition,2
cup,2
crown,2
aldehyde,2
peace,2
spot,2
defense,2
top,2
formula,2
energy,2
observation,2
imitation,2
soil,2
absorption,2
need,2
project,2
pupil,2
corn,2
success,2
warning,2
height,2
representative,2
image,2
anaemia,2
utilization,2
punch,2
method,2
tone,2
poverty,2
water,2
informant,2
revenue,2
court,2
charm,2
shop,2
powder,2
gentry,2
foot,2
impulse,2
command,2
characteristic,2
difference,2
vibration,2
bibliography,1
wealth,1
can,1
paddock,1
portuguese,1
emotion,1
impracticability,1
directive,1
electrolyte,1
peneplain,1
shear,1
elaboration,1
bourgeois,1
significance,1
balance,1
