lemma,count
name,37
"",34
chance,31
way,30
money,19
right,19
people,16
birth,15
power,15
man,15
--,13
impression,13
government,12
child,12
life,12
idea,12
opportunity,11
credit,11
speech,11
rise,10
support,10
lecture,10
party,10
president,10
think,9
aid,9
information,9
world,9
address,9
body,8
service,8
public,8
sense,8
performance,8
choice,8
peace,8
order,7
word,7
work,7
reason,7
place,7
game,7
message,7
answer,7
comfort,7
look,7
baby,7
freedom,6
damn,6
other,6
interview,6
light,6
human,6
instruction,6
level,6
picture,6
feel,6
state,6
call,6
authority,6
treatment,6
vote,6
press,6
example,6
present,6
clue,5
mother,5
job,5
marks,5
sign,5
film,5
lift,5
advice,5
matter,5
bill,5
set,5
access,5
show,5
experience,5
industry,5
area,5
talk,5
number,5
strength,5
food,5
question,5
love,5
weight,5
permission,5
priority,5
rest,5
group,5
son,4
golf,4
insight,4
dream,4
locomotive,4
audience,4
evidence,4
smoke,4
stand,4
protection,4
shit,4
paper,4
company,4
individual,4
say,4
assurance,4
worker,4
speed,4
team,4
break,4
face,4
nation,4
view,4
account,4
victory,4
award,4
consideration,4
pause,4
moment,4
hear,4
family,4
test,4
tax,4
woman,4
center,4
administration,4
boy,4
police,4
kind,4
spirit,4
back,4
blessing,4
approval,4
fact,4
health,3
argument,3
hope,3
war,3
image,3
record,3
wife,3
reality,3
sentence,3
range,3
board,3
location,3
notice,3
official,3
water,3
election,3
hole,3
try,3
term,3
piece,3
economy,3
help,3
kid,3
proof,3
congress,3
amount,3
chaos,3
relief,3
student,3
air,3
feeling,3
key,3
elephant,3
meaning,3
value,3
trouble,3
hint,3
push,3
code,3
shot,3
privilege,3
rating,3
girl,3
hospital,3
blood,3
impetus,3
direction,3
land,3
secret,3
appearance,3
run,3
laugh,3
benefit,3
hell,3
pep,3
blast,3
university,3
labor,3
problem,3
credibility,3
odds,3
glimpse,3
cut,3
excuse,3
indication,3
hug,3
agency,3
voice,3
lie,3
copy,3
home,3
course,3
lion,3
control,3
lesson,3
scientist,3
stroke,3
iron,3
patient,3
book,3
glance,3
lot,3
campaign,3
shrift,3
dose,3
mating,3
definition,3
council,3
energy,3
worth,3
need,3
title,3
start,3
license,3
ovation,3
confidence,3
openness,3
gift,3
trade,2
taste,2
responsibility,2
widow,2
seat,2
instance,2
lip,2
wine,2
engineer,2
welfare,2
senate,2
effect,2
competition,2
background,2
harbor,2
drop,2
cause,2
charge,2
grade,2
investor,2
request,2
check,2
education,2
attention,2
dealer,2
allowance,2
figure,2
library,2
immunity,2
regime,2
lead,2
sell,2
line,2
officer,2
subject,2
card,2
semblance,2
breast,2
story,2
businessman,2
vacation,2
stop,2
fight,2
appeal,2
vent,2
funeral,2
hand,2
resident,2
bread,2
part,2
currency,2
advantage,2
commission,2
radio,2
suite,2
plastic,2
homeowner,2
understanding,2
concept,2
hoot,2
leader,2
plan,2
inspector,2
country,2
driver,2
emphasis,2
space,2
guest,2
reputation,2
authorization,2
change,2
kiss,2
discharge,2
character,2
shock,2
display,2
penknife,2
headache,2
judge,2
yoga,2
expression,2
ball,2
perspective,2
security,2
room,2
ultimatum,2
bath,2
concert,2
tenure,2
warning,2
will,2
whistle,2
doctor,2
illusion,2
route,2
reform,2
pace,2
shelter,2
italian,2
arab,2
television,2
resource,2
training,2
integrity,2
play,2
intellectual,2
effort,2
point,2
notion,2
testimony,2
music,2
career,2
school,2
pat,2
go-ahead,2
prize,2
soldier,2
congressman,2
morphine,2
folk,2
buyer,2
disgust,2
smile,2
event,2
user,2
detail,2
viewer,2
summons,2
situation,2
identity,2
reading,2
scheme,2
jerk,2
butt,2
adoption,2
dinner,2
sum,2
communist,2
communication,2
egg,2
variety,2
mark,2
monopoly,2
position,2
ground,2
top,2
factor,2
signal,2
vision,2
culture,2
attorney,2
marriage,2
prison,2
welcome,2
dark,2
command,2
business,2
turn,2
good,2
principle,2
general,2
side,2
blanket,2
hat,2
assistance,2
sample,2
honor,2
version,2
art,2
thump,2
roar,2
counsel,2
kick,2
middle,2
sugar,2
ability,2
friend,2
consumer,2
cup,2
occasion,2
uniform,2
proposal,2
french,2
refund,2
contract,2
legitimacy,2
exemption,2
memory,2
claim,2
fit,2
visit,2
function,2
animal,2
civilization,2
autonomy,2
radiation,2
sort,2
preview,2
cub,2
bible,2
standard,2
military,2
couple,2
presentation,2
subsidy,2
column,1
boss,1
rubdown,1
dent,1
chase,1
bureaucrat,1
twist,1
grce,1
incen-,1
familiar,1
museum,1
mayor,1
compromise,1
percentage,1
scatology,1
messenger,1
limitation,1
unit,1
rudeis,1
cost-of-living,1
high-low,1
heartland,1
stock,1
spokesman,1
difficulty,1
finality,1
kit,1
mean,1
initial,1
collection,1
free-lancer,1
guy,1
weeklong,1
gun,1
buoyancy,1
abundance,1
graph,1
bra,1
shoulder,1
commentary,1
force,1
beachhead,1
kaiser,1
boxing,1
burst,1
mastery,1
rejection,1
miner,1
credence,1
friendship,1
scrub,1
belt,1
wedge,1
flesh-and-blood,1
verdict,1
march,1
carrier,1
proprietorship,1
senator,1
doctrine,1
court-ordered,1
asphalt,1
establishment,1
secand,1
chairmanship,1
restaurant,1
living,1
theory,1
progress,1
conversation,1
pluralism,1
mandolin,1
dancing,1
stretch,1
majority,1
rivalry,1
pay,1
toehold,1
abuse,1
traffic,1
astor,1
overland,1
build,1
oil,1
formula,1
inspiration,1
dad,1
win,1
forcade,1
novel,1
renaissance,1
forest,1
lump,1
ear,1
data,1
recording,1
ev,1
burn,1
recovery,1
guerrilla,1
director,1
viking,1
champion,1
playoff,1
double,1
exhortation,1
poverty,1
anti-pollution,1
facility,1
abstraction,1
description,1
pup,1
leftover,1
cap,1
caution,1
source,1
rumination,1
truth,1
impulse,1
publicity,1
personality,1
cadet,1
oral,1
baloney,1
evy,1
community,1
leadership,1
vantage,1
compensation,1
politician,1
offense,1
camp,1
heron,1
talent,1
blackness,1
sensuality,1
existence,1
cigarette,1
uncleanliness,1
stomach,1
howl,1
sniffle,1
estimate,1
bullion,1
tooth,1
breton,1
orphan,1
pillar,1
haircut,1
photo,1
dosage,1
organ,1
planner,1
cytoxan,1
theme,1
agr,1
prediction,1
farewell,1
management,1
arm,1
era,1
fund-raiser,1
drug,1
nark,1
rip,1
comb,1
infection,1
exporter,1
demonstration,1
candidate,1
grip,1
tit-for-tat,1
dandy,1
panther,1
shortcut,1
ment,1
garage,1
crocodile,1
torque,1
trauma,1
sex,1
thanks,1
animate,1
deman,1
tuition,1
