lemma,count
"",113
chance,110
way,102
rise,76
name,57
birth,57
look,51
impression,51
life,51
money,47
people,46
opportunity,45
advice,37
information,37
number,36
right,35
credit,34
order,34
man,34
child,32
answer,32
idea,32
think,31
speech,31
moment,31
reason,30
attention,30
smile,30
power,29
support,29
--,28
sense,27
control,25
job,24
work,24
hand,23
party,23
account,23
other,22
test,22
kind,21
temperature,21
instruction,20
woman,20
appearance,20
pleasure,20
permission,19
authority,19
sign,19
present,19
light,19
president,19
example,18
indication,18
shot,18
thing,18
key,18
point,18
evidence,17
access,17
talk,16
state,16
direction,16
meaning,16
lecture,16
food,15
word,15
daughter,15
part,15
weight,15
view,15
responsibility,15
student,15
feel,15
government,15
protection,15
fact,15
damn,15
book,15
head,15
room,15
resource,14
shape,14
cause,14
role,14
story,14
freedom,14
benefit,14
hope,14
world,14
clue,14
love,14
place,14
back,14
amount,13
voice,13
period,13
choice,13
lesson,13
problem,13
structure,13
character,13
hint,13
pause,13
house,13
signal,13
interview,13
situation,13
gift,13
position,13
effort,13
force,12
air,12
call,12
grade,12
eye,12
message,12
energy,12
space,12
city,12
mother,11
picture,11
shit,11
person,11
card,11
comfort,11
blood,11
pain,11
baby,11
boy,11
honor,10
level,10
system,10
warning,10
performance,10
public,10
kiss,10
television,10
news,10
nod,10
wavelength,10
recognition,10
impetus,10
son,10
start,10
line,10
area,10
detail,10
heart,10
form,10
strength,10
satisfaction,10
country,10
service,10
treatment,10
condition,10
try,10
company,10
wife,9
official,9
color,9
explanation,9
security,9
priority,9
side,9
cue,9
past,9
break,9
friend,9
body,9
importance,9
edge,9
list,9
horse,9
confidence,9
knowledge,9
grin,9
society,9
clearance,9
trouble,9
lot,9
arm,9
task,9
offense,9
hug,9
piece,8
quality,8
push,8
shave,8
worker,8
ring,8
sword,8
stand,8
analysis,8
heat,8
human,8
help,8
mean,8
interpretation,8
decision,8
tax,8
result,8
family,8
interest,8
approval,8
will,8
frequency,8
aid,8
quantity,8
tea,8
land,8
group,8
member,8
phone,8
paper,8
prisoner,8
courage,8
kid,8
patient,8
consent,7
letter,7
dose,7
drug,7
shake,7
copy,7
home,7
dinner,7
prominence,7
nature,7
address,7
soviet,7
ground,7
identity,7
description,7
purpose,7
thumbs-up,7
rest,7
husband,7
father,7
object,7
opinion,7
illusion,7
response,7
commitment,7
bit,7
feeling,7
couple,7
scope,7
reading,7
change,7
promise,7
question,7
individual,7
command,7
expression,7
ride,7
value,7
definition,7
glance,7
science,7
enemy,7
lift,7
notice,7
grant,7
gold,6
attempt,6
farmer,6
reader,6
history,6
label,6
god,6
peck,6
education,6
sanctuary,6
client,6
range,6
pass,6
church,6
being,6
brother,6
audience,6
ice,6
subject,6
lead,6
herb,6
show,6
return,6
excuse,6
law,6
war,6
peace,6
set,6
term,6
blessing,6
employee,6
song,6
advantage,6
indian,6
title,6
assignment,6
market,6
boost,6
guidance,6
secret,6
chase,6
phenomenon,6
fit,6
training,6
tour,6
insight,6
p.-a,6
mass,6
case,6
code,6
career,6
reception,6
parent,6
process,6
premiere,6
age,6
consideration,6
general,6
rationale,6
player,6
program,6
report,6
laugh,6
blow,6
status,6
basis,5
series,5
figure,5
owner,5
statement,5
custody,5
increase,5
assurance,5
commission,5
language,5
incentive,5
preference,5
warmth,5
concept,5
charity,5
glimpse,5
summary,5
tool,5
music,5
deal,5
ticket,5
guiliano,5
source,5
campaign,5
option,5
license,5
medicine,5
animal,5
endorsement,5
water,5
credence,5
scientist,5
bill,5
portion,5
movement,5
mind,5
manager,5
reply,5
weapon,5
english,5
school,5
flavor,5
region,5
alternative,5
difficulty,5
lunch,5
computer,5
beauty,5
milk,5
health,5
play,5
face,5
size,5
girl,5
marriage,5
final,5
cup,5
class,5
technology,5
relief,5
committee,5
gentleman,5
measure,5
relation,5
material,5
standard,5
wheel,5
aspect,5
thanks,5
cost,5
effect,5
meal,5
rule,5
defense,5
fellow,5
stability,5
department,5
study,5
tap,4
belief,4
property,4
giant,4
formulation,4
growth,4
policy,4
express,4
urgency,4
pat,4
downbeat,4
trust,4
vitamin,4
marks,4
nation,4
politics,4
headache,4
autonomy,4
slap,4
concern,4
distance,4
pressure,4
document,4
taste,4
chapter,4
driver,4
flower,4
turn,4
salute,4
german,4
review,4
sound,4
radio,4
profit,4
check,4
be,4
exchange,4
bum,4
aura,4
content,4
version,4
guarantee,4
car,4
use,4
customer,4
novel,4
end,4
sort,4
producer,4
top,4
shirt,4
atthis,4
matter,4
criterion,4
game,4
vision,4
fear,4
artist,4
industry,4
labor,4
capital,4
experience,4
angle,4
product,4
judgment,4
immunity,4
potential,4
emphasis,4
wire,4
proof,4
doll,4
leader,4
hell,4
ovation,4
assistance,4
run,4
speed,4
red,4
respect,4
organization,4
dream,4
prescription,4
network,4
independence,4
live,4
need,4
sugar,4
arginine,4
bear,4
symbol,4
association,4
justice,4
bath,4
drink,4
fire,4
style,4
pill,4
bank,4
understanding,4
wood,4
art,4
salary,4
turkey,4
clothing,4
construction,4
orchestra,4
wave,4
joy,4
total,4
secondary,4
hear,4
aphorism,4
testimony,4
officer,4
score,4
bow,4
machine,4
bonus,4
struggle,4
fund,4
rein,4
examination,4
forgiveness,4
soul,4
guard,4
actor,4
limit,3
secretary,3
insulin,3
oil,3
plastic,3
formula,3
memory,3
initial,3
sister,3
holiday,3
marketing,3
bracelet,3
arrangement,3
intensity,3
lie,3
demonstration,3
unit,3
italian,3
coin,3
unity,3
convention,3
investment,3
rate,3
strike,3
background,3
income,3
grizzly,3
inmate,3
lord,3
camp,3
grain,3
storage,3
worth,3
regard,3
coherence,3
youth,3
critic,3
bride,3
sigh,3
loan,3
sequence,3
square,3
behavior,3
goose,3
utility,3
meat,3
pair,3
argument,3
record,3
leadership,3
crown,3
search,3
fill,3
sentence,3
balance,3
sum,3
price,3
bump,3
discretion,3
whistle,3
press,3
religion,3
degree,3
go-ahead,3
once-over,3
mood,3
contact,3
goal,3
discussion,3
beatin,3
magic,3
intimacy,3
box,3
death,3
nickname,3
leg,3
connection,3
encouragement,3
population,3
dignity,3
slip,3
write,3
wink,3
post,3
disease,3
sample,3
sales,3
piano,3
barber,3
scholar,3
reaction,3
business,3
ability,3
base,3
go,3
oath,3
habit,3
mayor,3
leverage,3
starch,3
conflict,3
cleanup,3
visitor,3
agency,3
glass,3
conservation,3
respectability,3
image,3
stare,3
opening,3
communion,3
design,3
cover,3
leaf,3
circumstance,3
muscle,3
mankind,3
script,3
police,3
trial,3
advance,3
glow,3
military,3
length,3
fuck,3
contribution,3
fruit,3
share,3
scale,3
vent,3
garden,3
threat,3
profession,3
sacrifice,3
diet,3
seat,3
airline,3
exemption,3
band,3
fish,3
participant,3
embrace,3
battery,3
sensation,3
board,3
recipe,3
stranger,3
complex,3
development,3
bag,3
notion,3
economy,3
brain,3
leave,3
sanction,3
union,3
nightmare,3
temptation,3
cell,3
ball,3
victory,3
concert,3
viewer,3
interior,3
action,3
quota,3
hole,3
acceptance,3
contract,3
coat,3
congress,3
emit,3
king,3
telephone,3
wolf,3
plissken,3
data,3
seed,3
prison,3
israeli,3
finish,3
senate,3
failure,3
university,3
fat,3
flour,3
bread,3
origin,3
majority,3
alarm,3
quarter,3
touch,3
distinction,3
overall,3
relationship,3
literature,3
american,3
capacity,3
course,3
field,3
principle,3
rock,3
inspiration,3
finger,3
absence,3
plant,3
desire,3
passage,3
imprimatur,3
win,3
spirit,3
award,3
type,3
scene,3
meeting,3
anger,3
care,3
galen,3
item,3
distribution,3
theory,3
claim,3
hold,3
productivity,3
flesh,3
future,3
plan,3
kingdom,3
crew,2
exception,2
perspective,2
legitimacy,2
model,2
welcome,2
screen,2
commander,2
shock,2
captain,2
luncheon,2
volunteerism,2
black,2
issue,2
conspiracy,2
velocity,2
shell,2
ministry,2
expert,2
chaos,2
find,2
leisure,2
pearl,2
section,2
privacy,2
one,2
disaster,2
influence,2
fig,2
instance,2
scholarship,2
root,2
koch,2
jewel,2
tone,2
blanket,2
enema,2
environment,2
paradigm,2
ing,2
cat,2
vote,2
cattle,2
inside,2
credibility,2
emergency,2
life-style,2
engineer,2
poke,2
white,2
wreath,2
outrage,2
percentage,2
success,2
glory,2
daylight,2
leap,2
itch,2
receive,2
hydrogen,2
glint,2
bottle,2
particle,2
jitter,2
speaker,2
manner,2
reality,2
echo,2
prestige,2
compliment,2
sweet,2
administration,2
thumb,2
greeting,2
wealth,2
agrarians,2
sympathy,2
commerce,2
microwave,2
wing,2
bead,2
herodotus,2
onion,2
solace,2
fly,2
alms,2
hill,2
green,2
massage,2
fantasy,2
sun,2
shrug,2
bus,2
hunt,2
fare,2
divination,2
earth,2
egg,2
territory,2
modification,2
predator,2
farm,2
guy,2
poetry,2
obligation,2
shoulder,2
household,2
magazine,2
criticism,2
concrete,2
staff,2
certainty,2
doctrine,2
bicycle,2
tally,2
vegetable,2
mobility,2
park,2
goodbye,2
elk,2
production,2
sight,2
smoke,2
team,2
shield,2
grasp,2
fright,2
oak,2
approach,2
objective,2
vickie,2
representation,2
division,2
electron,2
door,2
star,2
wheat,2
wish,2
event,2
hunter,2
dad,2
socialist,2
criminal,2
block,2
tendency,2
tradition,2
location,2
strand,2
presidency,2
cabinet,2
involvement,2
breathe,2
mixture,2
specification,2
gas,2
civilian,2
lick,2
stimulus,2
crop,2
nose,2
renaissance,2
tolerance,2
gun,2
release,2
smell,2
flick,2
dress,2
race,2
vernacular,2
arrow,2
representative,2
rice,2
baseball,2
living,2
potion,2
receipt,2
caesarean,2
grip,2
neighbor,2
date,2
noble,2
minimum,2
cuff,2
shift,2
trail,2
radiation,2
grandchild,2
furnace,2
actress,2
boat,2
optimism,2
reassurance,2
transfusion,2
affection,2
concession,2
film,2
imagination,2
programme,2
granddaughter,2
glove,2
ambiguity,2
density,2
impulse,2
reconstruction,2
fortune,2
lowdown,2
payment,2
neck,2
good,2
schedule,2
handle,2
makeup,2
dimension,2
supply,2
opposition,2
valium,2
glitter,2
medication,2
collection,2
farming,2
intentionality,2
advertising,2
river,2
plead,2
medal,2
stage,2
drop,2
democrat,2
estimate,2
application,2
delight,2
pointer,2
french,2
attack,2
treasure,2
hair,2
pack,2
director,2
poem,2
vehicle,2
flair,2
alliance,2
pupil,2
translation,2
factor,2
stuff,2
sandwich,2
operation,2
exercise,2
minority,2
suggestion,2
context,2
beating,2
angel,2
dance,2
pulse,2
partner,2
canton,2
variety,2
inspection,2
physician,2
curve,2
tang,2
bible,2
invention,2
height,2
print,2
imitation,2
turbulence,2
silence,2
stern,2
liver,2
escape,2
appreciation,2
candidacy,2
outlook,2
pot,2
strategy,2
self,2
institution,2
window,2
stake,2
cast,2
tie,2
jurisdiction,2
dog,2
nickel,2
neighborhood,2
chalk,2
landlord,2
voter,2
grandfather,2
moan,2
up,2
rebel,2
rank,2
pentagon,2
possession,2
significance,2
pinch,2
reign,2
