lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],65.0,77.0,47.0,72.0,43.0,74.0,42.0,51.0,59.0,43.0,56.0,21.0,42.0,29.0,29.0,30.0,30.0,33.0,54.0,897.0
[CHANCE],11.0,10.0,8.0,7.0,28.0,27.0,24.0,36.0,55.0,64.0,75.0,39.0,35.0,59.0,37.0,37.0,41.0,33.0,38.0,664.0
[LOOK],11.0,23.0,12.0,9.0,17.0,38.0,11.0,26.0,28.0,46.0,43.0,32.0,49.0,43.0,43.0,43.0,68.0,56.0,61.0,659.0
[HAND],71.0,39.0,39.0,38.0,45.0,42.0,42.0,34.0,38.0,31.0,26.0,26.0,23.0,26.0,22.0,11.0,14.0,14.0,17.0,598.0
[ORDER],26.0,41.0,21.0,24.0,30.0,29.0,16.0,27.0,37.0,38.0,27.0,24.0,39.0,33.0,22.0,15.0,22.0,14.0,12.0,497.0
[NAME],18.0,17.0,19.0,19.0,24.0,22.0,26.0,30.0,34.0,16.0,28.0,23.0,17.0,27.0,24.0,23.0,21.0,24.0,29.0,441.0
[MAN],18.0,20.0,17.0,18.0,20.0,23.0,17.0,38.0,25.0,28.0,25.0,23.0,24.0,21.0,23.0,17.0,15.0,11.0,23.0,406.0
[WORD],20.0,21.0,23.0,19.0,22.0,26.0,16.0,28.0,36.0,43.0,22.0,19.0,20.0,16.0,21.0,10.0,10.0,8.0,13.0,393.0
[MONEY],13.0,7.0,18.0,13.0,17.0,18.0,17.0,29.0,27.0,21.0,15.0,30.0,22.0,29.0,21.0,26.0,18.0,22.0,15.0,378.0
[LIFE],23.0,25.0,32.0,34.0,26.0,25.0,15.0,21.0,19.0,19.0,16.0,14.0,16.0,12.0,15.0,12.0,10.0,12.0,11.0,357.0
[IDEA],10.0,12.0,22.0,14.0,23.0,19.0,7.0,28.0,16.0,21.0,9.0,15.0,12.0,22.0,25.0,7.0,12.0,9.0,7.0,290.0
[PLACE],25.0,31.0,15.0,42.0,22.0,16.0,26.0,22.0,18.0,12.0,9.0,8.0,8.0,9.0,4.0,6.0,2.0,3.0,4.0,282.0
[THINK],5.0,9.0,9.0,10.0,14.0,15.0,13.0,23.0,20.0,19.0,33.0,9.0,22.0,21.0,18.0,7.0,11.0,9.0,11.0,278.0
[PLEASURE],20.0,16.0,19.0,18.0,16.0,25.0,26.0,19.0,18.0,8.0,8.0,11.0,9.0,14.0,8.0,12.0,10.0,8.0,6.0,271.0
[OPPORTUNITY],34.0,24.0,15.0,18.0,13.0,21.0,12.0,12.0,24.0,14.0,22.0,7.0,6.0,8.0,10.0,8.0,7.0,4.0,10.0,269.0
[GLANCE],2.0,9.0,5.0,7.0,9.0,30.0,16.0,17.0,18.0,16.0,21.0,15.0,31.0,18.0,14.0,12.0,6.0,10.0,9.0,265.0
[ACCOUNT],28.0,29.0,30.0,26.0,28.0,33.0,9.0,16.0,12.0,6.0,7.0,1.0,4.0,0.0,1.0,4.0,0.0,5.0,5.0,244.0
[SMILE],6.0,0.0,3.0,4.0,2.0,9.0,3.0,11.0,7.0,4.0,8.0,12.0,27.0,15.0,35.0,13.0,17.0,15.0,34.0,225.0
[BIRTH],23.0,16.0,17.0,14.0,11.0,4.0,4.0,5.0,4.0,2.0,0.0,13.0,17.0,3.0,9.0,24.0,15.0,26.0,16.0,223.0
