lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],40.0,33.0,38.0,35.0,41.0,48.0,31.0,37.0,40.0,41.0,27.0,34.0,19.0,26.0,35.0,30.0,18.0,34.0,21.0,628.0
[NAME],27.0,33.0,27.0,17.0,25.0,28.0,30.0,20.0,36.0,18.0,17.0,26.0,20.0,33.0,25.0,37.0,22.0,19.0,15.0,475.0
[MAN],11.0,28.0,32.0,26.0,39.0,26.0,40.0,50.0,26.0,29.0,29.0,32.0,30.0,13.0,23.0,15.0,8.0,4.0,2.0,463.0
[ACCOUNT],52.0,74.0,38.0,50.0,28.0,48.0,17.0,26.0,46.0,16.0,14.0,8.0,11.0,14.0,7.0,4.0,4.0,2.0,2.0,461.0
[POWER],19.0,29.0,40.0,47.0,29.0,30.0,36.0,32.0,20.0,22.0,23.0,11.0,25.0,13.0,20.0,15.0,11.0,13.0,10.0,445.0
[CHANCE],6.0,2.0,0.0,3.0,8.0,12.0,14.0,18.0,17.0,32.0,25.0,41.0,32.0,52.0,34.0,31.0,51.0,29.0,25.0,432.0
[RISE],36.0,38.0,39.0,29.0,34.0,15.0,30.0,28.0,29.0,17.0,19.0,16.0,10.0,11.0,8.0,10.0,9.0,9.0,13.0,400.0
[OPPORTUNITY],21.0,13.0,15.0,20.0,11.0,27.0,26.0,35.0,41.0,25.0,33.0,16.0,10.0,20.0,10.0,11.0,9.0,13.0,13.0,369.0
[IDEA],30.0,34.0,29.0,22.0,28.0,29.0,21.0,27.0,22.0,21.0,9.0,21.0,15.0,15.0,13.0,12.0,5.0,8.0,4.0,365.0
[LIFE],11.0,11.0,28.0,20.0,29.0,25.0,25.0,24.0,22.0,33.0,11.0,24.0,9.0,22.0,9.0,12.0,15.0,15.0,10.0,355.0
[PLACE],12.0,30.0,34.0,35.0,25.0,24.0,27.0,27.0,45.0,15.0,15.0,12.0,14.0,7.0,4.0,7.0,6.0,2.0,1.0,342.0
[BIRTH],12.0,11.0,21.0,32.0,24.0,23.0,13.0,15.0,10.0,12.0,8.0,15.0,8.0,13.0,17.0,15.0,40.0,21.0,19.0,329.0
[REASON],23.0,20.0,28.0,20.0,15.0,25.0,28.0,19.0,23.0,23.0,17.0,14.0,10.0,16.0,10.0,7.0,4.0,8.0,11.0,321.0
[RIGHT],13.0,21.0,15.0,19.0,21.0,16.0,16.0,17.0,24.0,15.0,19.0,20.0,18.0,13.0,15.0,19.0,15.0,10.0,10.0,316.0
[IMPRESSION],5.0,19.0,16.0,10.0,11.0,10.0,13.0,7.0,21.0,32.0,25.0,26.0,19.0,16.0,19.0,13.0,12.0,9.0,4.0,287.0
[PEOPLE],6.0,11.0,11.0,9.0,7.0,11.0,20.0,25.0,14.0,14.0,13.0,18.0,13.0,15.0,21.0,16.0,20.0,26.0,13.0,283.0
[ATTENTION],14.0,19.0,19.0,20.0,11.0,19.0,25.0,18.0,23.0,24.0,18.0,18.0,12.0,6.0,5.0,2.0,6.0,8.0,9.0,276.0
[ORDER],8.0,25.0,12.0,14.0,15.0,25.0,22.0,24.0,8.0,17.0,11.0,9.0,29.0,10.0,12.0,7.0,11.0,5.0,7.0,271.0
[PUBLIC],23.0,12.0,31.0,24.0,20.0,19.0,23.0,26.0,27.0,10.0,11.0,3.0,11.0,6.0,3.0,8.0,3.0,3.0,2.0,265.0
[MONEY],4.0,7.0,10.0,3.0,7.0,11.0,8.0,12.0,17.0,9.0,10.0,31.0,15.0,20.0,17.0,19.0,13.0,30.0,18.0,261.0
[CREDIT],15.0,25.0,20.0,11.0,15.0,14.0,7.0,9.0,14.0,7.0,17.0,25.0,16.0,11.0,8.0,11.0,11.0,5.0,16.0,257.0
[WORK],19.0,19.0,11.0,16.0,12.0,19.0,20.0,14.0,26.0,14.0,13.0,17.0,8.0,7.0,9.0,7.0,10.0,8.0,6.0,255.0
[WORLD],12.0,14.0,20.0,17.0,22.0,24.0,15.0,13.0,15.0,12.0,10.0,5.0,14.0,13.0,8.0,9.0,10.0,5.0,8.0,246.0
[EVIDENCE],19.0,15.0,22.0,22.0,20.0,15.0,22.0,22.0,13.0,13.0,11.0,11.0,5.0,6.0,8.0,4.0,3.0,0.0,2.0,233.0
[OPINION],31.0,25.0,17.0,9.0,25.0,19.0,16.0,17.0,9.0,13.0,6.0,7.0,6.0,11.0,4.0,0.0,3.0,1.0,1.0,220.0
[CHILD],8.0,1.0,6.0,8.0,8.0,4.0,11.0,6.0,8.0,14.0,14.0,13.0,12.0,14.0,12.0,12.0,13.0,18.0,28.0,210.0
[PLEASURE],18.0,18.0,13.0,20.0,7.0,13.0,12.0,17.0,18.0,11.0,9.0,20.0,2.0,9.0,9.0,0.0,3.0,5.0,0.0,204.0
[CHARACTER],24.0,25.0,32.0,21.0,17.0,14.0,19.0,15.0,11.0,9.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,201.0
[INFORMATION],6.0,10.0,12.0,14.0,8.0,20.0,9.0,13.0,7.0,11.0,11.0,11.0,14.0,12.0,5.0,9.0,9.0,7.0,6.0,194.0
[ADVICE],9.0,8.0,11.0,7.0,11.0,9.0,3.0,14.0,14.0,12.0,12.0,10.0,9.0,8.0,11.0,5.0,11.0,9.0,16.0,189.0
[GOVERNMENT],7.0,15.0,10.0,6.0,14.0,12.0,11.0,11.0,13.0,5.0,16.0,9.0,10.0,15.0,6.0,12.0,9.0,2.0,2.0,185.0
[THINK],3.0,1.0,8.0,6.0,7.0,11.0,13.0,14.0,8.0,21.0,12.0,13.0,8.0,12.0,9.0,9.0,10.0,9.0,8.0,182.0
[INSTRUCTION],13.0,4.0,24.0,24.0,10.0,9.0,16.0,17.0,7.0,10.0,7.0,4.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,182.0
[ANSWER],6.0,10.0,4.0,12.0,14.0,12.0,4.0,11.0,8.0,8.0,18.0,6.0,11.0,14.0,11.0,7.0,11.0,7.0,6.0,180.0
[VIEW],17.0,17.0,27.0,14.0,7.0,10.0,7.0,9.0,10.0,8.0,3.0,6.0,4.0,13.0,6.0,4.0,7.0,4.0,7.0,180.0
[PARTY],5.0,12.0,3.0,2.0,13.0,6.0,11.0,7.0,10.0,5.0,12.0,17.0,13.0,16.0,9.0,10.0,12.0,7.0,3.0,173.0
[DIRECTION],13.0,32.0,19.0,12.0,14.0,14.0,9.0,20.0,5.0,1.0,4.0,5.0,2.0,9.0,3.0,3.0,4.0,2.0,1.0,172.0
[SUPPORT],5.0,7.0,9.0,12.0,11.0,9.0,12.0,11.0,9.0,6.0,6.0,5.0,13.0,7.0,13.0,10.0,11.0,6.0,7.0,169.0
[WORD],15.0,11.0,13.0,15.0,16.0,8.0,5.0,11.0,12.0,8.0,7.0,10.0,9.0,5.0,4.0,7.0,5.0,2.0,3.0,166.0
[NOTICE],23.0,16.0,10.0,11.0,10.0,8.0,9.0,19.0,9.0,12.0,3.0,6.0,4.0,6.0,7.0,3.0,2.0,2.0,1.0,161.0
[EFFECT],16.0,23.0,16.0,7.0,13.0,10.0,11.0,6.0,7.0,12.0,12.0,8.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,159.0
[SENSE],3.0,3.0,8.0,9.0,9.0,5.0,9.0,4.0,6.0,9.0,13.0,10.0,14.0,10.0,9.0,8.0,9.0,10.0,5.0,153.0
[FORM],8.0,10.0,17.0,13.0,12.0,10.0,9.0,14.0,15.0,10.0,7.0,8.0,1.0,2.0,11.0,1.0,2.0,2.0,0.0,152.0
[ADVANTAGE],9.0,12.0,20.0,11.0,11.0,7.0,15.0,9.0,8.0,7.0,5.0,7.0,8.0,3.0,6.0,2.0,5.0,4.0,3.0,152.0
