lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[RISE],12.0,34.0,31.0,41.0,33.0,75.0,43.0,37.0,40.0,62.0,42.0,36.0,54.0,46.0,63.0,51.0,64.0,31.0,20.0,815.0
[WAY],36.0,19.0,34.0,39.0,31.0,37.0,28.0,43.0,27.0,43.0,34.0,34.0,32.0,36.0,29.0,32.0,39.0,31.0,39.0,643.0
[ACCOUNT],50.0,49.0,38.0,40.0,71.0,35.0,42.0,23.0,24.0,25.0,26.0,15.0,18.0,21.0,14.0,18.0,19.0,11.0,7.0,546.0
[NAME],14.0,36.0,30.0,22.0,35.0,37.0,23.0,39.0,39.0,40.0,20.0,25.0,34.0,28.0,20.0,19.0,16.0,15.0,19.0,511.0
[IDEA],18.0,40.0,23.0,39.0,25.0,31.0,31.0,18.0,38.0,43.0,23.0,23.0,22.0,25.0,18.0,17.0,14.0,14.0,14.0,476.0
[POWER],50.0,29.0,37.0,26.0,25.0,15.0,25.0,17.0,10.0,18.0,22.0,38.0,16.0,19.0,21.0,21.0,14.0,20.0,16.0,439.0
[PLACE],13.0,17.0,28.0,29.0,18.0,28.0,26.0,24.0,37.0,37.0,25.0,33.0,17.0,16.0,15.0,9.0,7.0,6.0,3.0,388.0
[ORDER],14.0,18.0,17.0,17.0,24.0,54.0,25.0,27.0,14.0,38.0,42.0,14.0,21.0,13.0,12.0,9.0,4.0,10.0,13.0,386.0
[OPPORTUNITY],19.0,8.0,17.0,15.0,15.0,14.0,16.0,10.0,13.0,35.0,36.0,31.0,16.0,27.0,26.0,15.0,24.0,18.0,25.0,380.0
[MAN],14.0,14.0,33.0,23.0,19.0,31.0,27.0,17.0,16.0,33.0,23.0,22.0,13.0,32.0,17.0,22.0,7.0,4.0,10.0,377.0
[BIRTH],8.0,16.0,27.0,14.0,19.0,28.0,21.0,23.0,17.0,12.0,6.0,16.0,17.0,14.0,8.0,28.0,20.0,20.0,31.0,345.0
[CHILD],12.0,16.0,17.0,7.0,2.0,26.0,6.0,20.0,19.0,31.0,8.0,17.0,29.0,22.0,10.0,27.0,13.0,11.0,20.0,313.0
[ATTENTION],9.0,11.0,14.0,11.0,8.0,21.0,18.0,14.0,20.0,26.0,32.0,21.0,21.0,17.0,13.0,14.0,16.0,17.0,5.0,308.0
[LIFE],20.0,14.0,20.0,16.0,13.0,25.0,16.0,20.0,20.0,19.0,18.0,14.0,8.0,9.0,7.0,11.0,20.0,12.0,8.0,290.0
[CHANCE],0.0,4.0,2.0,6.0,8.0,10.0,8.0,12.0,22.0,21.0,20.0,16.0,14.0,24.0,17.0,19.0,22.0,7.0,12.0,244.0
[INFORMATION],9.0,14.0,16.0,17.0,19.0,12.0,10.0,8.0,4.0,8.0,28.0,8.0,32.0,19.0,15.0,3.0,4.0,12.0,4.0,242.0
[EVIDENCE],12.0,24.0,18.0,15.0,13.0,19.0,14.0,6.0,11.0,14.0,8.0,9.0,14.0,16.0,17.0,6.0,10.0,8.0,5.0,239.0
[RIGHT],6.0,24.0,25.0,4.0,10.0,16.0,11.0,4.0,8.0,6.0,12.0,30.0,15.0,9.0,8.0,8.0,19.0,8.0,12.0,235.0
[DIRECTION],14.0,27.0,32.0,24.0,24.0,17.0,3.0,8.0,12.0,11.0,9.0,11.0,5.0,10.0,8.0,4.0,4.0,7.0,3.0,233.0
[REASON],21.0,27.0,10.0,10.0,9.0,7.0,18.0,12.0,7.0,17.0,11.0,18.0,13.0,5.0,17.0,6.0,9.0,8.0,8.0,233.0
[EFFECT],9.0,14.0,11.0,12.0,13.0,1.0,17.0,15.0,10.0,10.0,10.0,20.0,17.0,12.0,13.0,18.0,5.0,9.0,2.0,218.0
