lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POWER],32.0,64.0,25.0,8.0,23.0,4.0,20.0,7.0,14.0,6.0,4.0,13.0,6.0,2.0,3.0,3.0,4.0,9.0,1.0,248.0
[LAND],14.0,17.0,7.0,21.0,13.0,9.0,27.0,18.0,6.0,6.0,8.0,4.0,2.0,6.0,2.0,0.0,0.0,4.0,0.0,164.0
[RIGHT],8.0,8.0,7.0,1.0,5.0,5.0,6.0,6.0,3.0,4.0,12.0,13.0,5.0,9.0,1.0,6.0,11.0,9.0,11.0,130.0
[REQUEST],10.0,10.0,11.0,9.0,7.0,13.0,4.0,10.0,4.0,11.0,7.0,4.0,0.0,5.0,6.0,0.0,6.0,7.0,3.0,127.0
[STATE],13.0,11.0,6.0,3.0,6.0,2.0,15.0,0.0,2.0,2.0,5.0,6.0,10.0,2.0,6.0,2.0,6.0,16.0,6.0,119.0
[MAN],5.0,8.0,4.0,3.0,5.0,6.0,14.0,10.0,6.0,12.0,6.0,9.0,3.0,8.0,5.0,1.0,3.0,0.0,4.0,112.0
[GOVERNMENT],5.0,19.0,4.0,6.0,11.0,2.0,12.0,1.0,1.0,2.0,9.0,2.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,101.0
[PRIVILEGE],12.0,6.0,10.0,3.0,3.0,4.0,6.0,5.0,7.0,9.0,2.0,1.0,6.0,3.0,6.0,2.0,2.0,4.0,3.0,94.0
[CHARTER],7.0,21.0,12.0,6.0,5.0,4.0,8.0,3.0,3.0,2.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,81.0
[PATENT],7.0,40.0,3.0,1.0,4.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,5.0,0.0,79.0
[CONGRESS],6.0,15.0,5.0,5.0,7.0,3.0,7.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,64.0
[AUTHORITY],4.0,5.0,1.0,0.0,7.0,0.0,1.0,3.0,1.0,2.0,2.0,6.0,6.0,3.0,6.0,3.0,2.0,5.0,5.0,62.0
[PARDON],15.0,9.0,1.0,2.0,3.0,5.0,2.0,8.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,56.0
[GENERAL],1.0,8.0,3.0,0.0,10.0,0.0,6.0,5.0,2.0,1.0,0.0,4.0,2.0,4.0,5.0,0.0,1.0,1.0,3.0,56.0
[PERMISSION],3.0,7.0,1.0,2.0,5.0,3.0,0.0,1.0,4.0,1.0,6.0,2.0,3.0,2.0,3.0,3.0,5.0,0.0,4.0,55.0
[CONSTITUTION],4.0,28.0,4.0,3.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0
[MONEY],2.0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,0.0,4.0,3.0,3.0,2.0,6.0,0.0,50.0
[PUBLIC],3.0,3.0,3.0,4.0,2.0,1.0,11.0,0.0,3.0,2.0,3.0,4.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,50.0
[TERM],4.0,7.0,0.0,2.0,2.0,2.0,7.0,6.0,4.0,4.0,0.0,5.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,50.0
[FAVOR],0.0,2.0,4.0,2.0,6.0,2.0,7.0,2.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,49.0
[PEOPLE],2.0,6.0,6.0,3.0,5.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,6.0,2.0,2.0,0.0,2.0,3.0,47.0
[WOMAN],0.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,6.0,7.0,5.0,0.0,1.0,1.0,1.0,2.0,6.0,6.0,46.0
[COMPANY],4.0,1.0,3.0,1.0,3.0,4.0,7.0,2.0,6.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,46.0
[PRESIDENT],1.0,2.0,0.0,0.0,2.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,4.0,42.0
[CREDIT],1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,1.0,7.0,1.0,5.0,3.0,3.0,40.0
[CONDITION],2.0,7.0,2.0,4.0,3.0,3.0,5.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,39.0
[LETTER],5.0,11.0,1.0,1.0,7.0,3.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0
[KING],1.0,3.0,5.0,7.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,39.0
[CONCESSION],0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,4.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0,36.0
[LIBERTY],3.0,2.0,2.0,8.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,35.0
[COUNTRY],1.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,13.0,2.0,4.0,1.0,0.0,0.0,1.0,35.0
