lemma,count
land,12
power,10
state,8
"",6
privilege,5
patent,5
crown,4
purpose,4
lottery,4
charter,4
license,4
government,3
company,3
man,3
territory,3
person,3
appropriation,3
monopoly,3
college,3
duke,3
moment,2
predecessor,2
congress,2
authority,2
facility,2
navigation,2
limitation,2
legislature,2
thing,2
public,2
queen,2
right,2
title,2
question,2
effect,2
act,2
sum,2
permission,2
petitioner,2
law,2
date,2
line,2
institution,2
liberty,2
slave,2
implement,1
maintenance,1
warranto,1
equivalent,1
position,1
constellation,1
dispute,1
beach,1
english,1
degree,1
exercise,1
philosopher,1
performance,1
raise,1
manner,1
attachment,1
historian,1
sales,1
usage,1
vessel,1
result,1
embassy,1
expediency,1
balance,1
sovereign,1
speak,1
poet,1
proprietaries,1
variety,1
expedition,1
protection,1
paper,1
statement,1
prisoner,1
tone,1
encouragement,1
colony,1
set,1
grace,1
recompense,1
support,1
present,1
district,1
construction,1
term,1
hut,1
tbe,1
pulaski,1
favoritism,1
precipice,1
diploma,1
region,1
relief,1
king,1
bounty,1
indemnity,1
tribe,1
principle,1
boundary,1
asylum,1
money,1
impression,1
force,1
purity,1
commission,1
manufactory,1
contrary,1
outline,1
indian,1
pardon,1
nobility,1
commerce,1
reader,1
consideration,1
school,1
graduate,1
fact,1
course,1
tavern,1
parliament,1
criminal,1
subsidy,1
probate,1
sieur,1
injunction,1
language,1
consequence,1
academy,1
art,1
necessity,1
orator,1
settlement,1
respect,1
cash,1
condition,1
opposition,1
association,1
quo,1
//,1
assertion,1
letter,1
monopolist,1
inspiration,1
period,1
patriot,1
system,1
secret,1
ground,1
importation,1
reviewer,1
content,1
property,1
tea,1
province,1
attention,1
infirmity,1
subject,1
convenience,1
justice,1
commander,1
lie,1
corpus,1
constitution,1
earl,1
compensation,1
existence,1
survey,1
university,1
wish,1
enumeration,1
valley,1
author,1
inventor,1
other,1
settler,1
show,1
boon,1
river,1
limit,1
difference,1
extent,1
legendre,1
town,1
adventurer,1
will,1
ordain,1
request,1
credit,1
education,1
warrant,1
restraint,1
committee,1
country,1
black,1
situation,1
