lemma,count
land,10
authority,5
charter,5
"",5
power,5
patent,4
island,3
reprisal,3
general,3
company,3
assembly,3
request,3
letter,3
offense,2
part,2
order,2
conclusion,2
gentleman,2
privilege,2
king,2
favor,2
government,2
toleration,2
parliament,2
title,2
line,2
nobility,2
fort,2
facility,2
catholic,2
country,2
permission,2
queen,2
people,2
audience,2
pardon,2
union,2
grace,2
--,2
trust,2
writer,2
state,2
marque,2
character,2
father,2
term,2
future,2
victory,2
warren,2
interest,1
person,1
guard,1
credit,1
enactment,1
retainer,1
petition,1
public,1
abbey,1
subsidy,1
moiety,1
gayety,1
number,1
passage,1
companion,1
fuero,1
instance,1
argument,1
side,1
indulgence,1
eral,1
operator,1
question,1
war,1
french,1
purpose,1
ecclesiastics,1
manager,1
writ,1
use,1
benefit,1
opposition,1
condition,1
choice,1
monastery,1
apostle,1
iron,1
gold,1
cloud,1
aliene,1
manner,1
assurance,1
missionary,1
sylph,1
pass,1
resident,1
case,1
marriage,1
barringer,1
timber,1
plating,1
trinitarians,1
legislature,1
presence,1
sovereign,1
alien,1
view,1
borough,1
expense,1
cavity,1
evangelist,1
protection,1
proportion,1
rent,1
tribute,1
hero,1
respite,1
amnesty,1
design,1
trade,1
dispensation,1
county,1
aim,1
experience,1
district,1
concert,1
talk,1
governor,1
return,1
correspondent,1
church,1
cypher,1
chamberlaine,1
thing,1
difficulty,1
supply,1
discovery,1
steel,1
enfranchisement,1
pound,1
pension,1
baptist,1
money,1
fief,1
force,1
imposition,1
commission,1
earnestness,1
whole,1
papist,1
dain,1
life,1
prophet,1
apologist,1
trustee,1
lord,1
capability,1
chief,1
admission,1
barony,1
regent,1
truth,1
field,1
constitution,1
attendant,1
damietta,1
ual,1
president,1
wish,1
troop,1
tract,1
demand,1
lady,1
sin,1
sake,1
favour,1
remission,1
worship,1
other,1
right,1
provision,1
convention,1
liberty,1
gen,1
coo,1
quarter,1
burgess,1
society,1
conflict,1
reporter,1
sterling,1
sovereignty,1
nation,1
commerce,1
card,1
conduct,1
consideration,1
act,1
town,1
accomplishment,1
ordain,1
demise,1
majesty,1
