lemma,count
land,19
"",13
general,11
request,9
privilege,9
man,8
army,8
power,8
president,7
campaign,7
woman,7
suffrage,6
headquarters,6
pension,5
letter,5
court,5
city,5
government,5
license,5
right,5
secretary,4
point,4
word,4
country,4
command,4
condition,4
administration,4
company,4
school,4
act,3
effort,3
front,3
officer,3
extension,3
demand,3
appearance,3
favor,3
service,3
idea,3
term,3
house,3
oath,3
money,3
relation,3
change,3
mind,3
lieutenant-general,3
order,3
patent,3
relief,3
part,3
party,3
subject,3
staff,3
correspondence,3
member,3
interest,3
preparation,3
leave,3
war,3
position,3
college,3
exchequer,3
aid,2
blessing,2
birthday,2
limitation,2
opinion,2
purpose,2
spring,2
stranger,2
peace,2
advice,2
despatch,2
person,2
mercy,2
grant,2
instruction,2
interview,2
tent,2
district,2
reader,2
way,2
sin,2
use,2
battle,2
fact,2
reason,2
subsidy,2
purchase,2
--,2
enemy,2
hand,2
people,2
law,2
movement,2
state,2
message,2
reality,2
write,2
field,2
writing,2
evil,2
charter,2
manner,2
congress,2
custom,2
apprehension,2
confidence,2
death,2
brother,2
child,2
presence,2
proof,2
foresight,2
permission,2
voice,2
authority,2
church,2
treaty,2
prayer,2
monument,2
uniform,2
chivalry,2
midst,2
separation,2
life,2
son,2
language,1
preamble,1
pressure,1
wheat,1
majority,1
negro,1
reprimand,1
suspicion,1
abuse,1
french,1
crown,1
lodge,1
clan,1
birthright,1
capital,1
sum,1
escape,1
husband,1
period,1
problem,1
edict,1
patience,1
goodness,1
nay,1
mail,1
province,1
admission,1
hypothesis,1
facility,1
sleep,1
proposal,1
immigrant,1
patriotism,1
moment,1
deacon,1
expiration,1
operation,1
dance,1
corn,1
nature,1
affair,1
excellence,1
possibility,1
aspect,1
illness,1
title,1
compensation,1
camp,1
general-in-chief,1
door,1
existence,1
osuna,1
award,1
care,1
wish,1
butler,1
claimant,1
assembly,1
half,1
step,1
method,1
strike,1
inventor,1
sake,1
baker,1
other,1
rumor,1
atmosphere,1
provision,1
prediction,1
boon,1
liberty,1
duel,1
sentry,1
dinner,1
attack,1
eagerness,1
presidency,1
musical,1
slavery,1
reward,1
foot,1
eli,1
nation,1
start,1
concentration,1
parish,1
duke,1
seigneurs,1
back,1
matter,1
help,1
butcher,1
love,1
militia,1
opening,1
stand,1
situation,1
smoker,1
strength,1
argument,1
possession,1
liberal,1
desertion,1
risk,1
degree,1
harte,1
tour,1
decree,1
mood,1
anxiety,1
success,1
hot-headed,1
temptation,1
revelation,1
pledge,1
porch,1
associate,1
necromancy,1
dispatch,1
light,1
police,1
don,1
fork,1
statement,1
modification,1
greek,1
interim,1
confederacy,1
study,1
information,1
essence,1
sit,1
flint,1
election,1
career,1
machine,1
reference,1
piece,1
keeper,1
arkwright,1
crisis,1
discussion,1
medal,1
thing,1
veto,1
heaven,1
regret,1
constitutional,1
honesty,1
professor,1
gentleness,1
supply,1
foreigner,1
application,1
purse,1
class,1
stapf,1
impression,1
stump,1
punishment,1
suggestion,1
senate,1
contrary,1
major-general,1
indian,1
nobility,1
understanding,1
pope,1
offspring,1
demeanor,1
capture,1
equality,1
number,1
farmhouse,1
confinement,1
passage,1
necessity,1
style,1
fire,1
post,1
attorney,1
friend,1
norwegian,1
suicide,1
association,1
//,1
series,1
human,1
goddess,1
wife,1
confederate,1
bat,1
system,1
wage,1
game,1
figure,1
union,1
native,1
view,1
aggressiveness,1
attitude,1
bound,1
pageant,1
padre,1
weapon,1
regent,1
office,1
shilling,1
idolatries,1
amelioration,1
commander,1
teaching,1
listener,1
citizen,1
constitution,1
propriety,1
charge,1
drink,1
arrival,1
tomb,1
still,1
proposition,1
slaughter,1
tract,1
direction,1
station,1
perception,1
see,1
philosophy,1
table,1
mode,1
cigar,1
climax,1
ad,1
vol,1
treasury,1
valor,1
net,1
fruit,1
review,1
affinity,1
responsibility,1
god,1
boarding-school,1
witness,1
nomination,1
frankness,1
divorce,1
determination,1
effect,1
battalion,1
visitor,1
will,1
instigation,1
disease,1
education,1
ord,1
merit,1
investiture,1
magnanimity,1
immunity,1
plan,1
vote,1
peculiarity,1
deed,1
continuity,1
cape,1
sailor,1
place,1
particular,1
bank,1
appointment,1
membership,1
accompaniment,1
end,1
case,1
tax,1
speak,1
physician,1
poet,1
concession,1
convict,1
struggle,1
page,1
indignation,1
bill,1
meade,1
visconti,1
trade,1
aim,1
home,1
practice,1
admiration,1
character,1
article,1
halleck,1
circumstance,1
captain,1
sale,1
ingalls,1
difficulty,1
room,1
increase,1
opponent,1
pound,1
examination,1
air,1
feeling,1
gospel,1
meeting,1
scene,1
resignation,1
retreat,1
line,1
advance,1
common-sense,1
glance,1
senator,1
recognition,1
congressman,1
establishment,1
petition,1
inauguration,1
living,1
injunction,1
policy-holder,1
