lemma,count
boy,3
father,3
prayer,3
request,3
squire,2
name,2
man,2
part,2
privilege,2
rise,1
interest,1
duty,1
nature,1
chapter,1
back,1
creation,1
mind,1
rocking-chair,1
law,1
attendant,1
fireplace,1
academy,1
smile,1
treaty,1
gift,1
whisky,1
appropriation,1
farm,1
schoolmate,1
child,1
pay,1
wish,1
wallet,1
circumstance,1
indulgence,1
thing,1
illustration,1
regret,1
purpose,1
point,1
room,1
king,1
favor,1
"",1
english,1
lot,1
condition,1
company,1
right,1
doctor,1
human,1
hooker,1
wife,1
liberty,1
whim,1
penhurst,1
roswell,1
headquarters,1
limit,1
figure,1
patience,1
lieutenant,1
satisfaction,1
city,1
magdalena,1
tai,1
frankness,1
pinckney,1
carter,1
sparhawk,1
dear,1
dime,1
farmer,1
expiration,1
helper,1
license,1
chance,1
