lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POWER],19.0,48.0,12.0,0.0,5.0,1.0,4.0,2.0,2.0,0.0,1.0,8.0,4.0,1.0,0.0,1.0,3.0,7.0,1.0,119.0
[LAND],1.0,9.0,1.0,9.0,10.0,1.0,10.0,9.0,1.0,5.0,6.0,4.0,1.0,5.0,2.0,0.0,0.0,3.0,0.0,77.0
[STATE],5.0,11.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,10.0,0.0,4.0,2.0,3.0,10.0,6.0,64.0
[RIGHT],1.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,6.0,7.0,2.0,5.0,1.0,4.0,6.0,5.0,8.0,60.0
[PATENT],2.0,38.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,57.0
[CHARTER],3.0,17.0,6.0,3.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,48.0
[GOVERNMENT],1.0,11.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,45.0
[PRIVILEGE],4.0,6.0,6.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,3.0,2.0,43.0
[AUTHORITY],2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,5.0,39.0
[REQUEST],0.0,3.0,6.0,3.0,3.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,35.0
[MAN],2.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,34.0
[PARDON],10.0,7.0,0.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
[CONSTITUTION],3.0,18.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0
[CONGRESS],4.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0
[PEOPLE],2.0,6.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,25.0
[KING],0.0,1.0,2.0,5.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0
[COMPANY],1.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,25.0
[COUNTRY],0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,24.0
[PERMISSION],1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,24.0
[TERM],2.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,23.0
[GENERAL],1.0,3.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,23.0
[LETTER],3.0,9.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
[MONEY],1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,21.0
[PUBLIC],1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,20.0
[CREDIT],0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,1.0,2.0,20.0
[RELIEF],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,20.0
[MONOPOLY],0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,20.0
[WOMAN],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,19.0
