lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],82.0,80.0,134.0,140.0,126.0,204.0,144.0,185.0,198.0,194.0,175.0,154.0,202.0,201.0,158.0,168.0,154.0,146.0,175.0,3020.0
[OFFICE],35.0,42.0,84.0,56.0,57.0,23.0,70.0,75.0,38.0,24.0,37.0,32.0,24.0,23.0,19.0,17.0,17.0,13.0,11.0,697.0
[PLACE],32.0,28.0,42.0,38.0,51.0,40.0,48.0,71.0,55.0,44.0,29.0,31.0,32.0,23.0,21.0,23.0,16.0,25.0,26.0,675.0
[ARM],21.0,21.0,20.0,17.0,14.0,21.0,22.0,35.0,37.0,45.0,52.0,32.0,58.0,52.0,56.0,31.0,47.0,35.0,31.0,647.0
[HEAD],21.0,14.0,33.0,21.0,19.0,29.0,34.0,43.0,30.0,31.0,36.0,35.0,26.0,19.0,17.0,28.0,21.0,28.0,36.0,521.0
[MAN],14.0,26.0,40.0,19.0,28.0,32.0,37.0,35.0,28.0,42.0,35.0,36.0,23.0,39.0,15.0,18.0,19.0,13.0,10.0,509.0
[POSITION],3.0,8.0,13.0,10.0,17.0,26.0,33.0,42.0,37.0,32.0,28.0,45.0,28.0,31.0,18.0,28.0,26.0,11.0,23.0,459.0
[BREATH],27.0,5.0,18.0,17.0,18.0,14.0,9.0,18.0,15.0,22.0,34.0,26.0,26.0,21.0,18.0,32.0,22.0,24.0,45.0,411.0
[MEETING],5.0,13.0,29.0,14.0,16.0,12.0,59.0,14.0,19.0,21.0,19.0,14.0,15.0,14.0,36.0,23.0,16.0,12.0,12.0,363.0
[POWER],10.0,17.0,15.0,12.0,41.0,19.0,26.0,18.0,12.0,14.0,24.0,14.0,12.0,9.0,20.0,11.0,21.0,6.0,12.0,313.0
[PUBLIC],10.0,18.0,22.0,9.0,11.0,17.0,18.0,14.0,13.0,16.0,18.0,13.0,7.0,11.0,11.0,12.0,7.0,9.0,10.0,246.0
[LIFE],8.0,12.0,19.0,15.0,18.0,22.0,16.0,17.0,16.0,21.0,14.0,15.0,13.0,8.0,4.0,7.0,3.0,5.0,6.0,239.0
[VIEW],3.0,5.0,18.0,11.0,10.0,16.0,17.0,13.0,11.0,13.0,22.0,10.0,4.0,7.0,15.0,9.0,16.0,13.0,16.0,229.0
[DOOR],6.0,4.0,11.0,2.0,3.0,5.0,6.0,3.0,9.0,13.0,11.0,15.0,31.0,19.0,26.0,14.0,14.0,11.0,18.0,221.0
[COMPANY],0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,19.0,15.0,67.0,25.0,8.0,18.0,18.0,7.0,19.0,11.0,218.0
[OPINION],13.0,18.0,22.0,11.0,18.0,18.0,14.0,16.0,25.0,11.0,11.0,8.0,4.0,6.0,8.0,1.0,3.0,2.0,3.0,212.0
[TONGUE],7.0,26.0,6.0,11.0,20.0,32.0,12.0,10.0,9.0,12.0,12.0,9.0,5.0,7.0,7.0,4.0,6.0,5.0,6.0,206.0
[BACK],1.0,2.0,1.0,4.0,11.0,10.0,7.0,5.0,10.0,8.0,21.0,15.0,9.0,26.0,17.0,13.0,11.0,21.0,13.0,205.0
[LIGHT],6.0,10.0,38.0,8.0,6.0,6.0,7.0,7.0,10.0,11.0,8.0,11.0,21.0,10.0,12.0,11.0,3.0,8.0,10.0,203.0
[CHECK],5.0,10.0,10.0,5.0,13.0,19.0,12.0,15.0,17.0,16.0,23.0,11.0,7.0,9.0,6.0,6.0,6.0,5.0,4.0,199.0
[COURT],16.0,7.0,11.0,19.0,14.0,16.0,14.0,6.0,9.0,10.0,7.0,9.0,11.0,12.0,7.0,8.0,7.0,1.0,8.0,192.0
[PEOPLE],3.0,8.0,5.0,5.0,21.0,7.0,20.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,13.0,10.0,15.0,13.0,9.0,191.0
[FINGER],2.0,3.0,7.0,6.0,2.0,7.0,8.0,7.0,10.0,12.0,11.0,13.0,9.0,6.0,11.0,20.0,13.0,18.0,22.0,187.0
[RIGHT],5.0,14.0,17.0,5.0,24.0,15.0,8.0,9.0,6.0,4.0,14.0,9.0,7.0,5.0,8.0,13.0,3.0,5.0,13.0,184.0
[WATER],5.0,3.0,2.0,9.0,13.0,4.0,13.0,7.0,8.0,11.0,16.0,19.0,15.0,10.0,15.0,8.0,3.0,11.0,10.0,182.0
[SWAY],7.0,12.0,7.0,13.0,9.0,8.0,8.0,11.0,22.0,13.0,13.0,13.0,8.0,3.0,4.0,7.0,6.0,8.0,9.0,181.0
[MOMENT],3.0,2.0,3.0,7.0,4.0,8.0,7.0,13.0,10.0,16.0,15.0,9.0,17.0,13.0,11.0,16.0,11.0,3.0,13.0,181.0
[END],3.0,1.0,4.0,9.0,7.0,5.0,12.0,18.0,11.0,9.0,9.0,11.0,8.0,13.0,10.0,14.0,13.0,12.0,6.0,175.0
[EYE],3.0,6.0,11.0,5.0,7.0,10.0,6.0,7.0,7.0,15.0,16.0,13.0,8.0,8.0,7.0,14.0,7.0,13.0,9.0,172.0
[FACE],0.0,6.0,14.0,6.0,6.0,6.0,4.0,7.0,11.0,7.0,11.0,5.0,4.0,10.0,11.0,16.0,14.0,17.0,17.0,172.0
[STATE],10.0,8.0,11.0,14.0,26.0,5.0,6.0,12.0,5.0,12.0,3.0,4.0,6.0,9.0,6.0,1.0,14.0,15.0,4.0,171.0
[JOB],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,6.0,25.0,23.0,19.0,23.0,19.0,9.0,19.0,16.0,169.0
[LAND],11.0,9.0,19.0,16.0,13.0,8.0,12.0,7.0,5.0,12.0,6.0,9.0,10.0,7.0,10.0,5.0,2.0,3.0,1.0,165.0
[PEACE],8.0,14.0,11.0,10.0,18.0,15.0,13.0,11.0,8.0,15.0,7.0,8.0,5.0,3.0,2.0,11.0,3.0,1.0,1.0,164.0
[MIND],18.0,12.0,17.0,9.0,8.0,9.0,8.0,12.0,14.0,13.0,6.0,9.0,6.0,2.0,2.0,5.0,2.0,8.0,4.0,164.0
[WORLD],5.0,10.0,7.0,6.0,10.0,7.0,9.0,7.0,10.0,9.0,15.0,9.0,9.0,8.0,12.0,12.0,4.0,3.0,11.0,163.0
[THING],6.0,5.0,8.0,15.0,5.0,5.0,6.0,10.0,7.0,8.0,15.0,10.0,10.0,11.0,10.0,10.0,7.0,6.0,9.0,163.0
[OTHER],9.0,8.0,13.0,7.0,8.0,10.0,12.0,16.0,10.0,8.0,1.0,11.0,7.0,9.0,8.0,11.0,7.0,2.0,4.0,161.0
[PAPER],1.0,0.0,2.0,7.0,3.0,14.0,7.0,9.0,5.0,9.0,5.0,14.0,19.0,9.0,8.0,13.0,11.0,9.0,14.0,159.0
