lemma,count
hand,43
tongue,23
arm,18
"",16
peace,8
conversation,7
place,7
esteem,7
head,7
enemy,6
course,6
face,6
communion,6
consultation,6
communication,5
man,5
prisoner,5
readiness,5
public,5
lamp,4
person,4
chief,4
converse,4
dear,4
discourse,4
light,4
spirit,4
council,4
world,4
ear,4
life,4
character,3
counsel,3
collar,3
sword,3
way,3
bosom,3
estimation,3
mony,3
imagination,3
duty,3
command,3
heart,3
savage,3
rein,3
power,3
other,3
grave,3
woman,3
home,2
jaw,2
admiration,2
fief,2
basket,2
lure,2
slumber,2
subjection,2
conference,2
infidel,2
soldier,2
book,2
grasp,2
language,2
city,2
rope,2
door,2
throat,2
bird,2
sitting,2
necessity,2
thing,2
suspense,2
superstition,2
side,2
conscience,2
faith,2
sir,2
land,2
captain,2
court,2
mind,2
office,2
horse,2
victim,2
friend,2
respect,2
barbarian,2
handkerchief,2
breath,2
madman,2
government,2
glass,2
flambeau,2
hope,2
candle,2
bridle,2
dominion,2
fear,2
king,2
duke,2
finger,2
sense,2
interview,2
opinion,2
preservation,2
rifle,2
terror,2
interest,2
sway,2
possession,2
war,2
position,2
justice,2
dagger,2
bank,2
thief,2
thumb,2
attention,2
privilege,2
practice,2
token,1
boy,1
salvation,1
napkin,1
steed,1
cheer,1
decanter,1
bone,1
commerce,1
drunkard,1
explanation,1
lubin,1
consideration,1
check,1
ewer,1
cake,1
wine,1
rest,1
surface,1
debt,1
chapter,1
stake,1
control,1
kind,1
forehead,1
estate,1
wilderness,1
warfare,1
flask,1
pride,1
haughtiness,1
sail,1
shrub,1
despair,1
coat,1
event,1
seor,1
misadventure,1
doom,1
art,1
people,1
loose,1
knocker,1
mask,1
endeavour,1
tenacity,1
imitation,1
drop,1
silver,1
appearance,1
tail,1
cup,1
fold,1
worthy,1
mill-dam,1
rapier,1
sanctity,1
murder,1
honor,1
mexican,1
pulpit,1
game,1
secret,1
handle,1
ground,1
top,1
tiger,1
energy,1
just,1
snare,1
sceptre,1
storm,1
rose,1
counsellor,1
due,1
subject,1
moment,1
curiosity,1
code,1
rise,1
cackle,1
corn,1
lip,1
branch,1
dwell,1
community,1
aspect,1
title,1
picture,1
wagon,1
blood,1
deprecating,1
close,1
usurpation,1
evidence,1
recluse,1
scorn,1
think,1
levee,1
pillar,1
twig,1
tress,1
e'er,1
rank,1
creator,1
reverence,1
count,1
liberty,1
plate,1
brother,1
fan,1
trencher,1
celebration,1
defiance,1
anchor,1
lash,1
disposal,1
citadel,1
hair,1
foot,1
infant,1
captain-general,1
emblem,1
patent,1
pair,1
town,1
license,1
stranger,1
railing,1
back,1
mane,1
chain,1
musket,1
situation,1
sufferance,1
law,1
evil,1
root,1
head-quarters,1
parallel,1
heat,1
traitor,1
leash,1
purpose,1
record,1
rake,1
be,1
sun,1
wealth,1
midst,1
temptation,1
manner,1
dish-washing,1
package,1
recreant,1
pledge,1
object,1
balance,1
pant,1
sweet,1
revelry,1
oarsman,1
dro,1
pistol,1
posset,1
distance,1
master-key,1
string,1
rebel,1
surety,1
idea,1
folk,1
acceptance,1
jackasses,1
mouth,1
fellow,1
clew,1
doubt,1
term,1
knee,1
conventicle,1
bay,1
amount,1
relation,1
heaven,1
warning,1
hatred,1
daughter,1
weapon,1
orb,1
silk,1
earth,1
helm,1
chair,1
pen,1
gain,1
fist,1
spell,1
altar,1
rule,1
arrival,1
ring,1
shakspeare,1
heel,1
calico,1
tract,1
twelve-pound,1
regiment,1
station,1
stirrup,1
favour,1
remission,1
tree,1
right,1
slate,1
breast,1
name,1
ceremony,1
foul,1
seat,1
wine-cup,1
god,1
moppet,1
industry,1
cover,1
spy,1
captive,1
determination,1
will,1
flotilla,1
halter,1
diamond,1
spectacle,1
agency,1
astonishment,1
country,1
galley,1
nose,1
deed,1
repute,1
punctuality,1
dispute,1
particular,1
leg,1
vigil,1
briton,1
fortification,1
end,1
case,1
conciliation,1
silence,1
sirrs,1
sort,1
bondage,1
sovereign,1
window,1
shore,1
torch,1
sheet,1
burden,1
pilgrim,1
cavern,1
water,1
encouragement,1
pocket,1
durance,1
lock,1
courtesy,1
influence,1
word,1
whisper,1
present,1
bait,1
future,1
strife,1
intercourse,1
document,1
shaft,1
limb,1
shot,1
difficulty,1
order,1
fool,1
abandon,1
inquest,1
capitan,1
fee,1
service,1
clue,1
deposit,1
mistress,1
yield,1
cruelty,1
comfort,1
thread,1
purse,1
civility,1
gun,1
beard,1
crime,1
lap,1
partner,1
commission,1
punishment,1
despatch,1
star,1
