lemma,count
office,36
hand,34
place,24
"",17
head,13
rank,10
secretary,9
arm,9
position,8
child,7
mind,7
check,6
line,6
meeting,6
--,6
city,6
man,6
enemy,6
force,6
readiness,5
relation,5
art,5
side,5
life,5
corn,5
ground,5
faith,4
fear,4
leave,4
opinion,4
ear,4
book,4
other,4
view,4
confederate,4
course,4
balance,4
woman,4
road,4
bank,4
word,4
sway,4
horse,3
country,3
bed,3
president,3
crystal,3
end,3
authority,3
people,3
present,3
respect,3
breath,3
right,3
palm,3
society,3
theory,3
idea,3
feather,3
key,3
part,3
term,3
front,3
way,3
ad,3
successor,3
interval,2
officer,2
silver,2
pillow,2
purpose,2
bag,2
question,2
weight,2
tail,2
master,2
condition,2
indian,2
harmony,2
infantry,2
war,2
coffee-house,2
court,2
dark,2
spear,2
hen,2
shoulder,2
bridge,2
basket,2
law,2
bosom,2
public,2
honor,2
mother,2
land,2
state,2
interim,2
leg,2
esteem,2
intention,2
power,2
gorgon,2
wall,2
band,2
attention,2
grace,2
regiment,2
thing,2
muscle,2
bill,2
rein,2
lip,2
education,2
bar,2
speech,2
talk,2
god,2
principle,2
effort,2
subject,2
chair,2
festival,2
chest,2
nation,2
iron,2
candle,2
reason,2
parapet,2
colonel,2
belt,2
trap,2
bay,2
conviction,2
difference,2
troop,2
advance,2
seat,2
hold,2
stick,2
face,2
reserve,2
womankind,1
painting,1
government,1
fly,1
vice,1
peace,1
oil,1
opposition,1
lance,1
escape,1
formula,1
folio,1
geelong,1
memory,1
letter,1
exhibition,1
inspiration,1
novel,1
brigade,1
shipmate,1
soul,1
serpent,1
center,1
translator,1
flinders,1
mengs,1
vision,1
german,1
high,1
poppy,1
ridge,1
ploughman,1
admission,1
chief,1
dear,1
up,1
contemplation,1
truth,1
moment,1
carbonization,1
jaw,1
rise,1
wire,1
dance,1
princess,1
nature,1
jersey,1
acquisition,1
bible,1
plank,1
height,1
bleating,1
pitti,1
chicken,1
camp,1
rope,1
calf,1
shield,1
cabinet,1
middle,1
care,1
pictor,1
tooth,1
fish,1
navajo,1
carriage,1
demand,1
method,1
sin,1
speculation,1
hostage,1
heart,1
resolution,1
representation,1
organ,1
company,1
department,1
cry,1
theme,1
sword,1
atmosphere,1
perfectionist,1
perugino,1
republican,1
isthmus,1
fiddle,1
wasp,1
worth,1
tenement,1
hair,1
foot,1
tongue,1
strain,1
emblem,1
individuality,1
world,1
candidate,1
swamp,1
bridle,1
grip,1
pair,1
chalmette,1
enchantment,1
y'r,1
duke,1
notres,1
stranger,1
advice,1
quality,1
guard,1
wayfarer,1
credit,1
obstacle,1
back,1
pencil,1
cross-road,1
chain,1
growth,1
relaxation,1
prank,1
instance,1
phrase,1
reception,1
oar,1
contraction,1
restoration,1
leash,1
revisers,1
sun,1
english,1
emotion,1
degree,1
tobacco,1
success,1
reality,1
manner,1
passers-by,1
troll,1
brashear,1
vessel,1
usage,1
handful,1
sound,1
predecessor,1
body,1
wreath,1
rear-guard,1
sweet,1
ideal,1
reel,1
wound,1
light,1
expedition,1
paper,1
abeyance,1
kernel,1
cipher,1
cross,1
distance,1
feast,1
string,1
entrance,1
pinch,1
dignity,1
colony,1
veneration,1
witch,1
set,1
originator,1
attraction,1
soldier,1
suspense,1
medicine,1
mouth,1
congress,1
house,1
compact,1
outpost,1
perspective,1
grudge,1
neck,1
amount,1
submergence,1
heaven,1
detachment,1
cattle,1
gentleman,1
distinction,1
tryst,1
philippians,1
application,1
manor,1
lyre,1
tribe,1
baby,1
advantage,1
chip,1
clothing,1
lap,1
tip,1
womanhood,1
purchaser,1
thrall,1
true,1
color,1
whole,1
estimation,1
psyche,1
grant,1
thyrsus,1
group,1
ship,1
needle,1
nobility,1
husk,1
fabius,1
fragment,1
space,1
heritage,1
interest,1
surface,1
choose,1
control,1
privilege,1
surprise,1
pride,1
sail,1
thought,1
pace,1
sunset,1
submission,1
scale,1
bird,1
writer,1
steer,1
fire,1
post,1
charter,1
executive,1
meal,1
touch,1
chord,1
move,1
faction,1
vixen,1
fold,1
resistance,1
bowl,1
hope,1
scholar,1
army,1
void,1
age,1
melody,1
human,1
superstructure,1
portrait,1
shipwreck,1
secret,1
belay,1
cabin,1
union,1
college,1
fright,1
expense,1
maize,1
theatre,1
mature,1
property,1
delegate,1
attempt,1
music,1
