lemma,count
hand,23
hostage,20
conference,13
power,11
press,11
election,11
view,10
--,9
job,9
post,9
hearing,9
office,8
"",8
position,7
meeting,7
man,6
price,6
degree,5
title,5
promise,5
stock,5
head,4
doctorate,4
line,4
firm,4
lead,4
tax,4
arm,4
state,4
people,4
sway,4
prison,4
other,4
court,4
government,4
republican,3
back,3
world,3
place,3
money,3
french,3
future,3
company,3
activity,3
family,3
house,3
seminar,3
ceremony,3
gun,3
piece,3
detention,3
security,3
consumer,3
ear,3
center,3
dear,3
imagination,3
country,3
law,3
idea,3
placard,3
card,3
end,3
series,3
school,3
throat,3
director,3
grudge,3
prayer,3
cost,3
check,2
belly,2
parliament,2
division,2
read,2
maximum,2
eye,2
fear,2
edge,2
policy,2
coffee,2
plane,2
pay,2
bank,2
confinement,2
revenue,2
jail,2
banking,2
gold,2
general,2
pen,2
part,2
citizen,2
turn,2
sales,2
democrat,2
secret,2
crowd,2
problem,2
pork,2
party,2
history,2
station,2
truth,2
israeli,2
refugee,2
principle,2
news,2
door,2
case,2
cut,2
contempt,2
league,2
captive,2
child,2
rocket,2
level,2
vote,2
point,2
cabinet,2
mine,2
audition,2
horse,2
reason,2
brother,2
nose,2
rally,2
population,2
bottle,2
embassy,2
belief,2
object,2
candidate,2
demonstration,2
patent,2
period,2
fort,2
course,2
box,2
primary,2
sheet,2
control,2
criminal,2
administration,2
number,2
prisoner,2
record,2
team,2
note,2
patron,2
practice,2
question,2
district,2
breath,2
citizenship,2
convention,2
reserve,2
dignity,2
work,2
air,2
referendum,2
force,2
talk,2
discussion,2
bay,2
energy,2
territory,2
block,2
student,2
saint,1
cloth,1
stranger,1
urn,1
stopover,1
podium,1
economy,1
love,1
creature,1
breakfast,1
section,1
coliseum,1
institution,1
parallel,1
authority,1
reception,1
affirmative,1
shoe,1
female,1
vault,1
dynamics,1
area,1
temptation,1
fame,1
sound,1
outcropping,1
soup,1
pledge,1
predecessor,1
incident,1
reform,1
usx,1
wing,1
amc,1
mormon,1
military,1
viewer,1
distance,1
string,1
information,1
male,1
band,1
hos,1
relic,1
official,1
county,1
minuteman,1
200-member,1
minimum,1
pellet,1
machine,1
mouth,1
balloon,1
affection,1
conservatory,1
compact,1
size,1
portfolio,1
assault,1
payment,1
spotlight,1
action,1
boycott,1
pill,1
summitry,1
follower,1
supply,1
old-boy,1
casting,1
angle,1
deposit,1
purse,1
baby,1
plant,1
seed,1
labor,1
standard,1
failure,1
waste,1
poll,1
prophet,1
perm,1
ob,1
import,1
rudder,1
interest,1
com,1
fare,1
ambassador,1
surprise,1
fire,1
film,1
side,1
confidence,1
baron,1
tail,1
supermarket,1
sunlight,1
report,1
hope,1
army,1
expansion,1
consultation,1
portrait,1
instrument,1
witchhunters,1
union,1
juche,1
american,1
transport,1
encroachment,1
shah,1
initiative,1
circumcision,1
cousin,1
pith,1
weapon,1
farmer,1
car,1
customer,1
twin,1
tank,1
discus,1
value,1
island,1
charge,1
spell,1
pleasure,1
anthropology,1
finger,1
victory,1
name,1
saucer,1
canadian,1
wrench,1
cigar,1
gas,1
drawing,1
croquet,1
woman,1
city,1
militant,1
officer,1
model,1
principal,1
motion,1
nail,1
scientist,1
jurisdiction,1
patient,1
penlight,1
membership,1
wiesbaden,1
old-line,1
index,1
coppola,1
tailor,1
sort,1
physician,1
titan,1
dedication,1
teacher,1
photocopy,1
rent,1
strategy,1
youth,1
spending,1
tape,1
influence,1
support,1
bankruptcy,1
fruehauf,1
reaganomics,1
church,1
appetizer,1
limb,1
son,1
caller,1
druse,1
solidarity,1
cotton,1
joy,1
scene,1
napkin,1
bundle,1
panel,1
doctrine,1
neves,1
public,1
dition,1
toy,1
claim,1
pattern,1
art,1
hat,1
majority,1
dancing,1
revolution,1
match,1
suspicion,1
threshold,1
cup,1
feature,1
oil,1
opposition,1
freeze,1
husband,1
contract,1
memory,1
blue-and-silver,1
answer,1
mea,1
nassau,1
murder,1
ceramicists,1
mother,1
embrace,1
prac,1
ject,1
ethics,1
subject,1
moment,1
activist,1
possibility,1
leadership,1
guest,1
camp,1
offense,1
evidence,1
rope,1
separatist,1
shareholder,1
think,1
tooth,1
assembly,1
half,1
investment,1
football,1
publication,1
perimeter,1
stiefel,1
invader,1
serve,1
theme,1
spread,1
campaign,1
liquid,1
lift,1
slim,1
attack,1
audience,1
mortgage,1
worth,1
infant,1
heartstring,1
village,1
grip,1
license,1
person,1
garrison,1
monopoly,1
bomb,1
lighter,1
darkness,1
exploration,1
enthusiasm,1
wasteland,1
war,1
equivalent,1
purpose,1
manager,1
emotion,1
thumb,1
sundown,1
balance,1
prop,1
tear,1
light,1
cook,1
paper,1
cease-fire,1
scheme,1
feast,1
tage,1
psychiatrist,1
flash,1
deadline,1
contemplative,1
cocktail,1
fellow,1
contact,1
caucus,1
flowering,1
thing,1
jump,1
barrel,1
speed,1
camera,1
fool,1
hard-to-reach,1
cruelty,1
advantage,1
maverick,1
friction,1
yacht,1
debate,1
prospect,1
involvement,1
group,1
member,1
phone,1
superiority,1
conviction,1
stake,1
objectivity,1
live,1
rating,1
wiretap,1
kandahar,1
horn,1
co,1
past,1
inflation,1
choice,1
ottoman,1
owner,1
meet,1
socialist,1
business,1
welterweight,1
circle,1
system,1
base,1
theatre,1
account,1
candlelight,1
hayakawa,1
cause,1
ministry,1
chair,1
listener,1
receipt,1
budget-cutting,1
way,1
movie,1
dumbbell,1
throw,1
razor,1
finish,1
president,1
university,1
supper,1
right,1
patty,1
breast,1
philosophy,1
drexel,1
tradition,1
matrix,1
seat,1
relative,1
difference,1
re-creation,1
industry,1
carrot,1
graft,1
fascination,1
reporter,1
parade,1
ash,1
counterpart,1
devel,1
exposure,1
stove,1
rival,1
spectrum,1
torah,1
ancestor,1
ace,1
glass,1
mirror,1
negotiation,1
sign,1
ransom,1
custody,1
grain,1
opment,1
junior,1
vigil,1
appeal,1
fight,1
building,1
volume,1
stitute,1
ed,1
water,1
concession,1
cocaine,1
individual,1
knife,1
brief,1
behaviour,1
yard,1
home,1
master,1
snow-covered,1
present,1
embryo,1
fence,1
designer,1
stillness,1
newspaper,1
room,1
increase,1
sion,1
tie,1
cologne,1
ing,1
life,1
issue,1
carter,1
mass,1
rifle,1
seniority,1
cake,1
generation,1
glance,1
socket,1
cruise,1
debt,1
jetliner,1
flag,1
wilderness,1
munity,1
ball,1
birthday,1
wedding,1
ceta,1
lodge,1
fidelity,1
bulldog,1
magazine,1
shoot,1
strut,1
candle,1
letter,1
rear,1
corporation,1
propaganda,1
defense,1
tragedy,1
top,1
ground,1
watch,1
trophy,1
german,1
culture,1
row,1
club,1
lombia,1
threat,1
target,1
chief,1
key,1
auspices,1
need,1
amplifier,1
kingfish,1
broadway,1
wire,1
duty,1
corn,1
missile,1
nature,1
decision-making,1
sub-par,1
recruit,1
pot,1
seal,1
ozal,1
employer,1
carriage,1
cyclops,1
demand,1
method,1
universe,1
sake,1
heart,1
cry,1
bullet,1
photograph,1
charm,1
brush,1
rubber,1
presidency,1
pinhead,1
foot,1
tomor,1
chest,1
availability,1
pair,1
town,1
