lemma,count
hand,146
arm,35
head,28
"",25
place,25
breath,24
back,21
job,19
company,19
finger,18
face,17
--,16
state,15
baby,15
people,13
eye,13
man,13
stock,13
view,13
office,13
child,13
bag,13
end,12
chest,12
promise,12
meeting,12
water,11
book,11
picture,11
foot,11
position,11
door,11
hostage,10
hearing,10
government,10
glass,10
election,9
paper,9
gun,9
patent,9
side,9
public,9
attention,8
tear,8
house,8
line,8
light,8
piece,8
key,8
body,8
mind,8
sway,8
boy,8
shoulder,8
ground,8
interest,7
girl,7
belief,7
group,7
share,6
city,6
kind,6
thing,6
bay,6
receiver,6
bottle,6
woman,6
part,6
stick,6
firm,6
ball,6
section,6
country,6
bill,6
power,6
violin,6
post,6
dog,6
card,6
mouth,6
fire,6
length,5
value,5
tongue,5
rifle,5
secret,5
number,5
letter,5
information,5
mirror,5
degree,5
truth,5
check,5
hope,5
wheel,5
center,5
room,5
title,5
phone,5
member,5
exhibition,5
seminar,5
life,5
infant,5
wrist,5
skin,5
case,5
conference,5
policy,5
person,5
right,5
air,5
envelope,5
bowl,5
captive,4
pattern,4
memory,4
mother,4
cloth,4
control,4
individual,4
waist,4
cup,4
box,4
food,4
level,4
close,4
prisoner,4
executive,4
party,4
sign,4
money,4
dear,4
weight,4
law,4
jaw,4
fund,4
account,4
possibility,4
sales,4
tape,4
record,4
order,4
flower,4
engineering,4
spear,4
package,4
cigarette,4
palm,4
esteem,4
cell,4
egg,4
contempt,4
pistol,4
rose,4
sea,4
sack,4
freedom,4
heart,4
bouquet,4
red,4
youth,4
cry,4
mass,4
spoon,4
chair,4
service,4
lot,4
work,4
horse,4
//,4
rope,3
potential,3
anger,3
process,3
inn,3
pizza,3
sound,3
result,3
moment,3
camera,3
leg,3
measure,3
pen,3
force,3
ash,3
stem,3
idea,3
issue,3
cheek,3
class,3
hear,3
edge,3
sister,3
history,3
hair,3
grip,3
disease,3
spend,3
family,3
demonstration,3
neck,3
world,3
facility,3
knife,3
rod,3
education,3
mortgage,3
road,3
gear,3
paint,3
flame,3
death,3
sort,3
market,3
spring,3
log,3
grudge,3
pack,3
gaze,3
bird,3
collar,3
field,3
paw,3
oil,3
constant,3
it,3
flashlight,3
wall,3
nose,3
bank,3
land,3
couple,3
spending,3
window,3
word,3
chin,3
smile,3
citizen,3
toy,3
variety,3
home,3
son,3
cake,3
ring,3
match,3
buck,3
daughter,3
past,3
screen,3
voice,3
hat,3
concert,3
property,3
program,3
act,3
official,3
industry,3
iron,3
way,3
wire,3
price,3
jail,3
option,3
ear,3
study,3
set,3
referendum,3
candle,3
point,3
hold,3
fear,3
university,3
talk,3
coffee,3
term,3
tip,3
knee,3
thumb,3
god,3
master,3
base,2
p.-a,2
ramp,2
meat,2
tank,2
meaning,2
copy,2
shirt,2
regard,2
icebag,2
lamp,2
