lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],67.0,43.0,102.0,105.0,90.0,159.0,93.0,127.0,155.0,129.0,138.0,112.0,175.0,146.0,130.0,131.0,117.0,119.0,131.0,2269.0
[ARM],17.0,18.0,17.0,15.0,11.0,16.0,12.0,24.0,31.0,38.0,43.0,26.0,43.0,41.0,50.0,29.0,40.0,29.0,23.0,523.0
[HEAD],18.0,7.0,26.0,9.0,10.0,19.0,24.0,24.0,22.0,21.0,21.0,30.0,17.0,12.0,12.0,26.0,16.0,20.0,20.0,354.0
[BREATH],27.0,2.0,16.0,12.0,14.0,9.0,4.0,10.0,11.0,19.0,29.0,15.0,14.0,12.0,16.0,28.0,18.0,19.0,31.0,306.0
[DOOR],6.0,2.0,10.0,1.0,2.0,5.0,5.0,2.0,8.0,9.0,9.0,13.0,30.0,17.0,24.0,11.0,12.0,8.0,16.0,190.0
[MAN],9.0,5.0,8.0,6.0,5.0,6.0,11.0,12.0,15.0,5.0,13.0,13.0,12.0,23.0,5.0,5.0,7.0,6.0,6.0,172.0
[PLACE],8.0,7.0,5.0,5.0,9.0,7.0,11.0,16.0,12.0,7.0,8.0,5.0,4.0,5.0,7.0,8.0,11.0,9.0,8.0,152.0
[MOMENT],3.0,1.0,2.0,7.0,3.0,6.0,6.0,12.0,6.0,10.0,13.0,7.0,14.0,12.0,10.0,15.0,10.0,2.0,12.0,151.0
[TONGUE],5.0,23.0,4.0,6.0,16.0,22.0,6.0,9.0,7.0,4.0,11.0,7.0,5.0,4.0,6.0,2.0,6.0,3.0,4.0,150.0
[FINGER],2.0,2.0,5.0,6.0,1.0,4.0,7.0,6.0,6.0,6.0,5.0,7.0,9.0,4.0,10.0,14.0,12.0,14.0,17.0,137.0
[LIGHT],4.0,4.0,36.0,3.0,3.0,3.0,5.0,6.0,7.0,4.0,7.0,10.0,8.0,6.0,10.0,5.0,2.0,7.0,6.0,136.0
