lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],11.0,16.0,18.0,12.0,23.0,25.0,22.0,24.0,22.0,38.0,23.0,32.0,16.0,39.0,22.0,19.0,23.0,22.0,34.0,441.0
[OFFICE],15.0,22.0,33.0,24.0,33.0,23.0,42.0,36.0,26.0,10.0,19.0,10.0,15.0,11.0,9.0,5.0,8.0,7.0,3.0,351.0
[PLACE],15.0,15.0,19.0,16.0,25.0,23.0,22.0,31.0,17.0,16.0,5.0,7.0,6.0,7.0,4.0,8.0,3.0,10.0,13.0,262.0
[MAN],1.0,13.0,24.0,4.0,14.0,13.0,15.0,17.0,10.0,14.0,10.0,11.0,3.0,9.0,6.0,6.0,6.0,2.0,3.0,181.0
[POWER],3.0,6.0,8.0,10.0,22.0,10.0,18.0,11.0,6.0,12.0,12.0,5.0,6.0,4.0,7.0,6.0,11.0,6.0,3.0,166.0
[POSITION],1.0,3.0,4.0,4.0,5.0,16.0,20.0,23.0,15.0,7.0,8.0,6.0,15.0,5.0,7.0,5.0,7.0,3.0,8.0,162.0
[COMPANY],0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,18.0,14.0,56.0,15.0,7.0,16.0,6.0,3.0,12.0,9.0,160.0
[MEETING],0.0,7.0,15.0,6.0,9.0,7.0,7.0,7.0,13.0,9.0,14.0,5.0,11.0,7.0,11.0,12.0,7.0,6.0,3.0,156.0
[PUBLIC],7.0,8.0,15.0,5.0,6.0,10.0,7.0,11.0,10.0,10.0,10.0,5.0,5.0,6.0,6.0,5.0,1.0,3.0,3.0,133.0
[OPINION],8.0,8.0,15.0,8.0,11.0,10.0,11.0,11.0,19.0,7.0,4.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,123.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,22.0,19.0,15.0,15.0,10.0,9.0,9.0,8.0,115.0
[VIEW],0.0,3.0,15.0,9.0,8.0,6.0,10.0,7.0,6.0,9.0,4.0,2.0,2.0,2.0,3.0,2.0,10.0,4.0,6.0,108.0
