lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[OFFICE],18.0,18.0,49.0,31.0,20.0,0.0,25.0,36.0,12.0,11.0,18.0,17.0,8.0,9.0,9.0,11.0,9.0,5.0,8.0,314.0
[HAND],4.0,21.0,14.0,23.0,13.0,20.0,29.0,34.0,21.0,27.0,14.0,10.0,11.0,16.0,6.0,18.0,14.0,5.0,10.0,310.0
[PLACE],9.0,6.0,18.0,17.0,17.0,10.0,15.0,24.0,26.0,21.0,16.0,19.0,22.0,11.0,10.0,7.0,2.0,6.0,5.0,261.0
[POSITION],1.0,3.0,4.0,4.0,5.0,9.0,10.0,8.0,18.0,21.0,11.0,35.0,6.0,23.0,9.0,19.0,8.0,5.0,13.0,212.0
[MEETING],5.0,6.0,10.0,6.0,4.0,2.0,52.0,6.0,2.0,8.0,3.0,5.0,4.0,3.0,20.0,8.0,7.0,6.0,8.0,165.0
[MAN],4.0,8.0,8.0,9.0,9.0,13.0,11.0,6.0,3.0,23.0,12.0,12.0,8.0,7.0,4.0,7.0,6.0,5.0,1.0,156.0
[POWER],6.0,8.0,5.0,2.0,17.0,4.0,3.0,2.0,3.0,2.0,10.0,6.0,4.0,3.0,10.0,4.0,6.0,0.0,7.0,102.0
[VIEW],2.0,2.0,3.0,2.0,2.0,6.0,4.0,4.0,4.0,2.0,15.0,7.0,1.0,3.0,12.0,7.0,6.0,9.0,8.0,99.0
[PUBLIC],2.0,5.0,6.0,4.0,4.0,4.0,8.0,2.0,3.0,6.0,8.0,6.0,2.0,4.0,5.0,6.0,5.0,4.0,7.0,91.0
[LAND],5.0,5.0,12.0,9.0,10.0,5.0,6.0,2.0,3.0,4.0,2.0,6.0,9.0,1.0,6.0,1.0,2.0,1.0,1.0,90.0
[STATE],6.0,6.0,3.0,2.0,17.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,6.0,3.0,1.0,9.0,10.0,3.0,84.0
[COURT],7.0,1.0,3.0,14.0,3.0,9.0,7.0,2.0,6.0,4.0,2.0,5.0,4.0,3.0,0.0,3.0,2.0,1.0,3.0,79.0
[CHECK],1.0,5.0,2.0,2.0,8.0,9.0,1.0,6.0,1.0,5.0,10.0,9.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,77.0
[PEOPLE],0.0,3.0,1.0,1.0,12.0,7.0,5.0,3.0,1.0,2.0,5.0,2.0,6.0,1.0,7.0,5.0,6.0,2.0,5.0,74.0
[WATER],1.0,2.0,1.0,3.0,10.0,2.0,7.0,1.0,4.0,2.0,7.0,12.0,3.0,5.0,4.0,4.0,0.0,3.0,3.0,74.0
[SWAY],1.0,7.0,1.0,0.0,1.0,2.0,4.0,4.0,9.0,5.0,4.0,12.0,7.0,2.0,1.0,3.0,2.0,2.0,6.0,73.0
[HEAD],1.0,4.0,4.0,7.0,5.0,6.0,4.0,13.0,2.0,7.0,5.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,73.0
[RIGHT],1.0,9.0,6.0,2.0,15.0,7.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,6.0,66.0
[LIFE],1.0,4.0,4.0,6.0,6.0,4.0,2.0,5.0,5.0,7.0,3.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,65.0
[OPINION],4.0,8.0,3.0,3.0,1.0,6.0,2.0,4.0,4.0,1.0,6.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,62.0
[GOVERNMENT],1.0,2.0,6.0,1.0,11.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,6.0,61.0
[END],3.0,0.0,0.0,6.0,1.0,1.0,6.0,3.0,6.0,1.0,3.0,1.0,0.0,7.0,7.0,5.0,9.0,2.0,0.0,61.0
[RANK],4.0,5.0,10.0,7.0,9.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,59.0
[GROUND],1.0,1.0,0.0,3.0,7.0,10.0,2.0,5.0,6.0,5.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,58.0
[MIND],3.0,3.0,1.0,4.0,2.0,5.0,2.0,7.0,11.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,56.0
[PART],5.0,6.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,10.0,0.0,1.0,1.0,3.0,1.0,1.0,55.0
[--],2.0,1.0,5.0,3.0,4.0,5.0,9.0,6.0,2.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,55.0
[PEACE],1.0,1.0,7.0,4.0,7.0,5.0,6.0,1.0,1.0,5.0,4.0,3.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,55.0
[ESTEEM],1.0,4.0,4.0,9.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,4.0,4.0,0.0,1.0,5.0,0.0,4.0,0.0,54.0
[ARM],0.0,2.0,2.0,2.0,1.0,4.0,6.0,9.0,4.0,5.0,2.0,2.0,7.0,1.0,1.0,0.0,3.0,2.0,1.0,54.0
[PROPERTY],1.0,10.0,8.0,2.0,7.0,0.0,7.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0,54.0
[BELIEF],0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,5.0,6.0,3.0,5.0,6.0,6.0,9.0,53.0
[COUNCIL],5.0,14.0,3.0,5.0,3.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,52.0
[PERSON],0.0,1.0,2.0,8.0,4.0,0.0,3.0,0.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,2.0,2.0,4.0,5.0,47.0
[COMPANY],0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,11.0,7.0,1.0,0.0,11.0,3.0,7.0,0.0,46.0
[COUNTRY],0.0,3.0,4.0,0.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,1.0,0.0,0.0,4.0,2.0,46.0
[LINE],0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,2.0,4.0,1.0,1.0,5.0,7.0,4.0,4.0,0.0,4.0,46.0
