lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],44.0,56.0,45.0,47.0,48.0,59.0,68.0,66.0,68.0,76.0,98.0,95.0,102.0,98.0,108.0,103.0,86.0,88.0,117.0,1472.0
[MIND],20.0,36.0,32.0,25.0,25.0,35.0,27.0,21.0,52.0,55.0,59.0,80.0,47.0,66.0,55.0,46.0,46.0,88.0,83.0,898.0
[SECRET],44.0,41.0,37.0,22.0,33.0,53.0,39.0,35.0,38.0,40.0,39.0,12.0,39.0,19.0,36.0,31.0,39.0,28.0,39.0,664.0
[HAND],11.0,16.0,20.0,16.0,21.0,34.0,29.0,34.0,37.0,35.0,37.0,34.0,29.0,44.0,29.0,34.0,25.0,40.0,29.0,554.0
[PACE],27.0,31.0,29.0,31.0,36.0,28.0,20.0,30.0,28.0,19.0,28.0,30.0,21.0,33.0,26.0,28.0,31.0,15.0,25.0,516.0
[HOUSE],8.0,19.0,20.0,23.0,29.0,31.0,30.0,30.0,37.0,30.0,31.0,28.0,27.0,29.0,32.0,14.0,19.0,13.0,15.0,465.0
[WATCH],19.0,20.0,31.0,24.0,28.0,32.0,18.0,42.0,29.0,29.0,31.0,24.0,28.0,18.0,12.0,24.0,27.0,13.0,13.0,462.0
[MAN],18.0,16.0,15.0,19.0,26.0,33.0,23.0,24.0,31.0,41.0,33.0,37.0,25.0,23.0,25.0,21.0,9.0,11.0,19.0,449.0
[PLACE],19.0,25.0,22.0,39.0,21.0,21.0,39.0,23.0,22.0,29.0,18.0,29.0,19.0,27.0,17.0,11.0,20.0,14.0,23.0,438.0
[THING],6.0,14.0,11.0,7.0,9.0,18.0,14.0,15.0,24.0,27.0,24.0,17.0,27.0,21.0,23.0,26.0,32.0,34.0,35.0,384.0
[COMPANY],14.0,21.0,20.0,27.0,17.0,20.0,14.0,12.0,14.0,17.0,24.0,19.0,19.0,20.0,19.0,17.0,13.0,23.0,26.0,356.0
[HEAD],6.0,9.0,10.0,13.0,14.0,16.0,10.0,22.0,15.0,16.0,19.0,23.0,22.0,24.0,17.0,23.0,31.0,28.0,37.0,355.0
[PEOPLE],10.0,13.0,11.0,9.0,18.0,6.0,5.0,15.0,7.0,19.0,17.0,24.0,20.0,27.0,32.0,18.0,42.0,33.0,26.0,352.0
[WAY],9.0,15.0,12.0,33.0,13.0,17.0,15.0,24.0,22.0,30.0,12.0,19.0,24.0,22.0,18.0,15.0,22.0,9.0,18.0,349.0
[ORDER],10.0,17.0,30.0,32.0,21.0,12.0,9.0,23.0,19.0,31.0,19.0,24.0,26.0,15.0,11.0,15.0,9.0,5.0,10.0,338.0
[TRACK],3.0,1.0,1.0,2.0,0.0,4.0,3.0,10.0,11.0,15.0,13.0,20.0,14.0,22.0,25.0,22.0,36.0,39.0,34.0,275.0
[WORD],15.0,7.0,19.0,18.0,25.0,21.0,22.0,14.0,29.0,17.0,16.0,11.0,6.0,8.0,6.0,9.0,12.0,7.0,8.0,270.0
[QUIET],3.0,9.0,3.0,16.0,13.0,17.0,15.0,13.0,12.0,24.0,25.0,22.0,19.0,15.0,15.0,13.0,11.0,13.0,10.0,268.0
[DISTANCE],12.0,13.0,9.0,15.0,18.0,18.0,7.0,12.0,18.0,11.0,7.0,9.0,11.0,15.0,14.0,16.0,14.0,15.0,28.0,262.0
[CHILD],3.0,4.0,13.0,10.0,3.0,23.0,7.0,14.0,14.0,13.0,11.0,21.0,7.0,17.0,19.0,9.0,10.0,23.0,21.0,242.0
[WATER],3.0,19.0,6.0,15.0,18.0,9.0,17.0,15.0,17.0,15.0,13.0,12.0,7.0,16.0,7.0,15.0,8.0,13.0,17.0,242.0
[PEACE],9.0,8.0,8.0,18.0,17.0,15.0,8.0,12.0,11.0,17.0,13.0,18.0,9.0,23.0,12.0,9.0,11.0,8.0,9.0,235.0
[PROMISE],10.0,3.0,17.0,6.0,19.0,21.0,19.0,8.0,23.0,16.0,19.0,13.0,10.0,9.0,5.0,8.0,11.0,7.0,10.0,234.0
[VIEW],32.0,30.0,36.0,25.0,23.0,16.0,13.0,16.0,13.0,3.0,3.0,4.0,2.0,2.0,1.0,8.0,2.0,1.0,4.0,234.0
[SIGHT],5.0,10.0,14.0,21.0,8.0,21.0,16.0,20.0,13.0,8.0,16.0,10.0,7.0,12.0,8.0,10.0,8.0,11.0,4.0,222.0
[WORK],3.0,9.0,6.0,9.0,15.0,10.0,7.0,17.0,24.0,13.0,13.0,18.0,12.0,15.0,7.0,11.0,11.0,9.0,12.0,221.0
[RECORD],5.0,3.0,5.0,5.0,7.0,9.0,10.0,4.0,12.0,6.0,7.0,24.0,20.0,23.0,20.0,17.0,17.0,11.0,8.0,213.0
[HOME],14.0,7.0,9.0,14.0,11.0,13.0,13.0,8.0,12.0,10.0,9.0,16.0,8.0,15.0,15.0,10.0,12.0,9.0,7.0,212.0
[FIRE],9.0,15.0,9.0,21.0,16.0,17.0,9.0,14.0,9.0,11.0,13.0,11.0,13.0,6.0,11.0,8.0,5.0,7.0,8.0,212.0
[FOOT],8.0,8.0,7.0,9.0,13.0,11.0,8.0,8.0,18.0,8.0,15.0,15.0,14.0,15.0,12.0,7.0,6.0,14.0,15.0,211.0
[THINK],3.0,2.0,5.0,5.0,5.0,7.0,7.0,6.0,10.0,2.0,12.0,17.0,25.0,17.0,12.0,17.0,19.0,18.0,21.0,210.0
[RIGHT],1.0,1.0,3.0,6.0,6.0,6.0,5.0,8.0,10.0,17.0,19.0,17.0,15.0,26.0,18.0,21.0,9.0,12.0,7.0,207.0
[FACE],4.0,3.0,7.0,5.0,5.0,4.0,9.0,8.0,11.0,10.0,11.0,21.0,16.0,10.0,16.0,15.0,19.0,7.0,25.0,206.0
[MOUTH],1.0,2.0,0.0,0.0,4.0,4.0,3.0,2.0,6.0,13.0,15.0,21.0,17.0,36.0,19.0,12.0,15.0,10.0,18.0,198.0
[STATE],13.0,15.0,23.0,18.0,14.0,11.0,8.0,17.0,11.0,8.0,9.0,8.0,5.0,6.0,12.0,7.0,3.0,3.0,6.0,197.0
[FAMILY],1.0,4.0,4.0,5.0,2.0,8.0,6.0,7.0,10.0,16.0,11.0,11.0,9.0,15.0,15.0,13.0,15.0,12.0,19.0,183.0
[LINE],1.0,3.0,4.0,2.0,10.0,9.0,7.0,8.0,9.0,9.0,9.0,19.0,19.0,11.0,22.0,9.0,11.0,10.0,10.0,182.0
[ACCOUNT],7.0,10.0,11.0,5.0,11.0,12.0,18.0,7.0,12.0,17.0,10.0,6.0,12.0,10.0,13.0,2.0,2.0,5.0,1.0,171.0
[HEART],14.0,8.0,21.0,24.0,20.0,5.0,10.0,8.0,11.0,9.0,11.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,8.0,170.0
[SPIRIT],18.0,10.0,14.0,15.0,12.0,10.0,11.0,9.0,6.0,14.0,16.0,8.0,4.0,4.0,4.0,1.0,8.0,2.0,4.0,170.0
[SCHOOL],20.0,13.0,5.0,9.0,15.0,8.0,7.0,10.0,10.0,10.0,9.0,15.0,3.0,7.0,9.0,5.0,6.0,4.0,4.0,169.0
[BACK],4.0,4.0,1.0,7.0,4.0,8.0,2.0,10.0,7.0,11.0,13.0,13.0,7.0,8.0,10.0,14.0,12.0,10.0,22.0,167.0
[BODY],3.0,3.0,14.0,8.0,4.0,4.0,6.0,18.0,10.0,17.0,6.0,11.0,9.0,7.0,8.0,7.0,7.0,13.0,12.0,167.0
[BOOK],2.0,4.0,5.0,6.0,11.0,12.0,18.0,7.0,8.0,13.0,11.0,15.0,8.0,10.0,8.0,7.0,8.0,3.0,6.0,162.0
[DOOR],5.0,4.0,8.0,8.0,9.0,7.0,5.0,12.0,5.0,9.0,6.0,13.0,12.0,9.0,15.0,10.0,8.0,9.0,7.0,161.0
[RUN],0.0,2.0,3.0,5.0,5.0,2.0,4.0,7.0,6.0,8.0,8.0,13.0,13.0,9.0,16.0,9.0,16.0,16.0,19.0,161.0
[CONTROL],0.0,0.0,1.0,2.0,8.0,3.0,8.0,2.0,5.0,4.0,4.0,11.0,13.0,17.0,28.0,13.0,20.0,10.0,10.0,159.0
[SIDE],9.0,8.0,6.0,19.0,4.0,8.0,11.0,10.0,6.0,7.0,9.0,6.0,8.0,12.0,7.0,8.0,4.0,7.0,8.0,157.0
[ROOM],3.0,3.0,6.0,7.0,11.0,22.0,10.0,9.0,5.0,11.0,4.0,11.0,9.0,13.0,6.0,7.0,6.0,2.0,11.0,156.0
[MONEY],6.0,5.0,6.0,0.0,3.0,7.0,6.0,10.0,11.0,8.0,7.0,15.0,10.0,8.0,4.0,9.0,9.0,20.0,11.0,155.0
[FAITH],9.0,3.0,8.0,8.0,13.0,7.0,9.0,13.0,10.0,9.0,17.0,9.0,3.0,1.0,8.0,8.0,9.0,8.0,1.0,153.0
[ARM],5.0,6.0,6.0,4.0,3.0,5.0,7.0,7.0,16.0,8.0,11.0,5.0,3.0,6.0,5.0,8.0,12.0,5.0,16.0,138.0
[LIFE],3.0,4.0,5.0,8.0,11.0,7.0,8.0,11.0,12.0,10.0,6.0,7.0,5.0,8.0,3.0,5.0,9.0,4.0,11.0,137.0
[CONDITION],1.0,3.0,9.0,6.0,4.0,2.0,7.0,5.0,16.0,16.0,7.0,13.0,13.0,9.0,10.0,5.0,4.0,3.0,4.0,137.0
[VOICE],2.0,0.0,0.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,6.0,9.0,10.0,13.0,9.0,14.0,19.0,12.0,21.0,134.0
[WOMAN],5.0,4.0,3.0,5.0,3.0,8.0,10.0,6.0,10.0,3.0,14.0,6.0,5.0,9.0,6.0,8.0,8.0,13.0,7.0,133.0
[COUNTRY],8.0,5.0,5.0,7.0,5.0,6.0,6.0,7.0,5.0,11.0,8.0,13.0,13.0,6.0,6.0,5.0,7.0,1.0,5.0,129.0
[HORSE],7.0,9.0,5.0,9.0,6.0,16.0,10.0,10.0,4.0,5.0,6.0,8.0,13.0,8.0,2.0,3.0,2.0,3.0,1.0,127.0
[WAR],5.0,3.0,2.0,1.0,4.0,5.0,2.0,2.0,4.0,8.0,15.0,18.0,17.0,9.0,9.0,8.0,7.0,2.0,1.0,122.0
[SILENCE],11.0,5.0,8.0,5.0,9.0,17.0,9.0,6.0,10.0,9.0,4.0,2.0,7.0,4.0,5.0,3.0,3.0,3.0,2.0,122.0
[CHECK],7.0,7.0,7.0,12.0,5.0,3.0,4.0,2.0,4.0,7.0,5.0,7.0,6.0,4.0,13.0,7.0,6.0,6.0,10.0,122.0
[--],1.0,7.0,6.0,8.0,7.0,14.0,3.0,5.0,3.0,4.0,5.0,2.0,8.0,3.0,3.0,2.0,12.0,11.0,14.0,118.0
[POWER],9.0,3.0,8.0,4.0,6.0,8.0,5.0,10.0,7.0,5.0,6.0,4.0,7.0,9.0,6.0,2.0,9.0,4.0,4.0,116.0
[NAME],3.0,5.0,4.0,2.0,6.0,5.0,9.0,3.0,5.0,8.0,8.0,3.0,9.0,9.0,8.0,9.0,9.0,7.0,4.0,116.0
[PART],2.0,10.0,7.0,6.0,3.0,7.0,4.0,9.0,7.0,4.0,7.0,4.0,5.0,13.0,4.0,2.0,10.0,3.0,8.0,115.0
