lemma,count
place,20
account,12
house,11
hand,10
watch,10
purpose,10
water,9
good,9
ground,9
eye,8
"",8
view,7
record,6
pace,6
order,6
mind,6
cattle,5
army,5
fruit,5
shop,5
prisoner,5
secret,5
memory,5
matter,4
foot,4
jar,4
meat,4
heat,4
future,4
cool,4
juice,4
stock,4
dark,4
land,4
body,4
book,4
sabbath,4
peace,4
state,4
horse,3
word,3
stand,3
rest,3
ice,3
position,3
control,3
shape,3
subjection,3
write,3
fire,3
side,3
right,3
weed,3
woman,3
mistress,3
glass,3
peril,3
egg,3
quiet,3
name,3
journal,3
point,3
arm,3
room,3
other,3
quality,3
fat,3
plant,3
home,3
course,2
supply,2
spring,2
controversy,2
custody,2
branch,2
bee,2
heart,2
temperature,2
original,2
score,2
establishment,2
box,2
number,2
public,2
rule,2
level,2
dog,2
roll,2
danger,2
contact,2
weather,2
iron,2
french,2
spirit,2
--,2
end,2
friend,2
door,2
earth,2
length,2
chronicle,2
dish,2
farm,2
piece,2
white,2
safe,2
care,2
air,2
bottle,2
company,2
hold,2
patch,2
money,2
repair,2
suspicion,2
range,2
bound,2
honor,2
troop,2
health,2
appearance,2
proceeding,2
step,2
staff,2
stone,2
reach,2
seed,2
wind,2
rain,2
watering,2
man,2
list,2
silence,2
check,2
limit,2
key,2
bull,2
store,2
subject,2
mischief,2
neighbor,2
salt,2
celery,2
starvation,2
cry,2
war,2
space,2
ward,2
fact,2
tiger,2
surface,2
jethro,2
effort,1
brine,1
traffic,1
humor,1
solution,1
preserve,1
berry,1
raisin,1
inclosure,1
fury,1
face,1
monastery,1
private,1
depravity,1
whale,1
race,1
cane,1
murder,1
castle,1
forest,1
soul,1
top,1
center,1
ear,1
sitter,1
energy,1
bacon,1
culture,1
buggy,1
voyage,1
row,1
butterfly,1
mother,1
province,1
victual,1
inviolate,1
impulse,1
abbot,1
rise,1
affair,1
nature,1
gutta,1
premium,1
height,1
household,1
archive,1
picture,1
chicken,1
brick,1
pot,1
camp,1
tub,1
holiday,1
attendant,1
regularity,1
middle,1
cupful,1
child,1
waitin,1
vasilissa,1
fish,1
carriage,1
siege,1
hostage,1
testimony,1
organ,1
worship,1
