lemma,count
eye,98
mind,59
"",51
secret,39
hand,37
man,33
watch,31
house,31
pace,28
quiet,25
company,24
thing,24
promise,19
head,19
right,19
order,19
place,18
people,17
faith,17
word,16
spirit,16
sight,16
foot,15
war,15
mouth,15
woman,14
track,13
water,13
work,13
fire,13
back,13
prisoner,13
wait,13
peace,13
way,12
cover,12
think,12
family,11
book,11
arm,11
heart,11
child,11
face,11
temper,10
account,10
business,10
ship,10
world,9
school,9
side,9
appointment,9
line,9
state,9
home,9
army,9
country,8
name,8
jail,8
hold,8
run,8
government,7
rest,7
boat,7
record,7
part,7
boy,7
touch,7
condition,7
hunt,7
distance,7
road,7
fact,7
price,7
money,7
store,7
memory,7
finger,7
girl,7
lookout,6
horse,6
trail,6
countenance,6
door,6
floor,6
guard,6
life,6
public,6
power,6
body,6
use,6
moment,6
nerve,6
voice,6
letter,6
dog,6
courage,6
diary,6
machine,5
--,5
church,5
shop,5
bed,5
cold,5
wall,5
vigil,5
check,5
movement,5
crowd,5
soul,5
dark,5
street,5
character,5
land,5
confinement,5
close,5
pet,5
republican,5
purpose,5
subject,5
level,5
safe,5
job,5
father,5
color,5
look-out,5
idea,4
vessel,4
union,4
fleet,4
sense,4
wife,4
breath,4
question,4
move,4
fight,4
control,4
interest,4
bank,4
seat,4
end,4
counsel,4
population,4
cost,4
turn,4
cool,4
class,4
present,4
shape,4
paper,4
play,4
current,4
tear,4
ground,4
shirt,4
position,4
strength,4
rate,4
industry,4
other,4
ing,4
politics,4
feel,4
mother,4
lip,4
appearance,4
room,4
food,4
air,4
force,4
temperature,4
rain,4
nation,4
background,4
dust,4
pocket,4
window,4
silence,4
train,4
length,4
revolver,4
stuff,4
trouble,4
game,3
freedom,3
front,3
powder,3
production,3
soldier,3
contact,3
p.-a,3
member,3
burden,3
suspicion,3
friend,3
majority,3
care,3
basis,3
table,3
green,3
tone,3
mademoiselle,3
conversation,3
demand,3
circle,3
knowledge,3
establishment,3
sake,3
matter,3
lady,3
sky,3
shadow,3
figure,3
direction,3
agent,3
gun,3
death,3
mean,3
stock,3
deck,3
gaze,3
action,3
reading,3
harm,3
bread,3
party,3
practice,3
walk,3
hospital,3
view,3
engagement,3
warm,3
fat,3
plant,3
earth,3
