lemma,count
eye,23
mind,17
war,15
watch,14
people,12
pace,11
secret,10
thing,9
control,9
hand,8
house,8
production,8
price,8
man,8
farmer,7
nation,7
run,7
work,7
baby,7
line,7
country,7
air,7
"",6
date,6
german,6
account,6
place,6
track,6
building,6
cost,6
power,6
--,5
peace,5
other,5
job,5
way,5
family,5
mouth,5
right,5
level,5
record,4
set,4
check,4
progress,4
plant,4
hat,4
money,4
farm,4
heart,4
home,4
tab,4
company,4
state,4
soul,4
telephone,4
door,4
think,4
lookout,4
book,4
mum,4
order,4
tradition,4
stock,3
number,3
road,3
wolf,3
machine,3
seat,3
water,3
idea,3
cool,3
government,3
public,3
patient,3
fire,3
body,3
trouble,3
event,3
move,3
ring,3
white,3
custom,3
fight,3
weight,3
child,3
side,3
promise,3
course,3
party,3
gas,3
court,3
horse,3
ball,3
reserve,3
low,3
operate,3
back,3
jump,3
quiet,3
circulation,3
appointment,3
find,3
fellow,3
plane,3
light,3
wait,3
wage,3
sense,3
head,3
food,3
problem,3
crew,3
ear,3
program,3
native,2
surplus,2
president,2
project,2
boarder,2
brain,2
name,2
table,2
spot,2
letter,2
woman,2
area,2
conflict,2
temper,2
league,2
labor,2
balance,2
belly,2
plan,2
uniform,2
sovereignty,2
store,2
quaker,2
boy,2
communication,2
stream,2
threat,2
council,2
interest,2
life,2
silence,2
opera,2
box,2
radio,2
skin,2
alcohol,2
engine,2
sail,2
purchase,2
office,2
basis,2
pig,2
key,2
engagement,2
youngster,2
static,2
metal,2
mischief,2
word,2
duty,2
post,2
orchestra,2
will,2
touch,2
go,2
structure,2
collection,2
sight,2
civilization,2
force,2
science,2
diary,2
wind,2
shadow,2
vitamin,2
cotton,2
soldier,2
safe,2
call,2
chart,2
dark,2
army,2
hemisphere,2
sulfanilamide,2
roll,2
pressure,2
business,2
nigger,2
art,2
end,2
wife,2
traffic,2
deficit,2
case,2
face,2
husband,2
memory,2
news,2
lid,2
representative,2
poverty,2
french,2
piece,2
counsel,2
view,2
walk,2
bay,2
politics,2
bridge,2
volume,2
music,2
neck,2
spirit,2
newspaper,2
car,2
part,2
position,2
convention,2
attack,2
telescope,2
ride,2
cow,2
bunk,1
drip,1
reach,1
economy,1
cage,1
trespasser,1
shutter,1
ruiz,1
love,1
enemy,1
black,1
bomb,1
monopoly,1
one,1
clay,1
currency,1
stocking,1
evil,1
ink,1
worker,1
employes,1
intake,1
solder,1
lodging,1
authority,1
criticism,1
bidding,1
use,1
sun,1
be,1
crook,1
ranger,1
flower,1
material,1
emigrant,1
pipeline,1
close-mouthed,1
ignor,1
warden,1
railroad,1
sound,1
steamer,1
