lemma,count
eye,82
mind,24
voice,21
hand,21
secret,20
head,19
thing,16
mouth,14
think,13
man,12
company,12
distance,12
place,11
back,11
people,11
face,10
way,10
run,10
pace,9
walk,9
family,9
track,8
balance,8
talk,7
bay,7
road,7
watch,6
safe,6
house,6
car,6
trouble,6
water,6
finger,6
word,6
order,5
boy,5
arm,5
quiet,5
list,5
control,5
smile,5
side,5
body,5
pant,5
calm,5
life,5
food,5
desk,4
sound,4
light,4
kid,4
hold,4
thought,4
gaze,4
lip,4
woman,4
foot,4
touch,4
breathe,4
friend,4
dig,4
son,4
card,4
gun,4
skin,4
promise,4
money,4
seat,4
baby,3
rest,3
wait,3
servant,3
edge,3
home,3
hair,3
news,3
appearance,3
minimum,3
name,3
table,3
change,3
peace,3
bed,3
level,3
tab,3
wind,3
nose,3
right,3
window,3
job,3
child,3
lexi,3
phone,3
top,3
profile,3
say,3
low,3
beat,3
book,3
shoe,3
other,3
crew,3
check,3
hell,3
drink,3
count,3
glass,2
function,2
channel,2
nail,2
room,2
mama,2
wall,2
leg,2
barn,2
clothes,2
"",2
attention,2
shade,2
door,2
cry,2
answering,2
sheep,2
professional,2
sex,2
pigeon,2
notch,2
dish,2
cube,2
split,2
drug,2
game,2
box,2
ring,2
tobacco,2
mother,2
rent,2
wife,2
operate,2
brother,2
drawer,2
line,2
sense,2
race,2
rule,2
paper,2
ship,2
wit,2
tone,2
cool,2
grade,2
business,2
rifle,2
space,2
rain,2
step,2
emotion,2
move,2
wrap,2
sidewalk,2
dara,2
fire,2
rotation,2
mean,2
journal,2
dark,2
dog,2
point,2
guy,2
tear,2
heart,2
fan,2
live,2
story,2
fellow,2
snow,2
grip,2
fly,2
sight,2
world,2
weapon,2
call,2
party,2
temper,2
mom,2
ground,2
flush,2
state,2
pet,2
fact,2
thundercloud,2
worry,2
shape,2
floor,2
computer,2
town,2
victim,2
wardrobe,2
shirt,2
come,2
land,2
bookstore,1
court,1
yt,1
folder,1
dinner,1
uproar,1
hunger,1
audience,1
protein,1
thuy,1
lieutenant,1
countryside,1
alaskan,1
satisfaction,1
sister,1
tact,1
planet,1
society,1
storage,1
pt,1
antiwhining,1
bee,1
sunglass,1
birch,1
caveman,1
feather,1
bride,1
mantelpiece,1
jumper,1
board,1
pair,1
start,1
low-pitched,1
collective,1
concentration,1
shifter,1
sling,1
spring,1
guard,1
person,1
grindstone,1
stab,1
reach,1
wanking,1
sarcasm,1
draw,1
excitement,1
tow,1
enemy,1
one,1
cardassian,1
law,1
chooff,1
baseball,1
den,1
darkness,1
omnius,1
journey,1
maintenance,1
lodging,1
heat,1
leave,1
war,1
peak,1
lyric,1
charade,1
leash,1
elbow,1
helmet,1
bonus,1
beach,1
english,1
sun,1
mood,1
soil,1
scone,1
directive,1
--,1
area,1
doctor,1
manner,1
sharp,1
father,1
freak,1
object,1
battle,1
squirrel,1
shop,1
subscription,1
drinking,1
variety,1
duster,1
efficiency,1
virus,1
mallory,1
cross,1
engine,1
basket,1
killing,1
rebel,1
hippomenes,1
dignity,1
schedule,1
lark,1
information,1
eating,1
semi-private,1
eyesight,1
lafayette,1
monkey,1
hymn,1
buddy,1
border,1
collectibles,1
rice,1
pain,1
suspense,1
hole,1
machine,1
pad,1
medication,1
contact,1
casualty,1
backup,1
coffee,1
saving,1
neck,1
pictograph,1
payment,1
action,1
amount,1
helicopter,1
blackjack,1
scribe,1
hint,1
nexus,1
king,1
drown,1
nsa,1
four-year-old,1
prison,1
jog,1
rein,1
beast,1
termite,1
tray,1
crossbeam,1
partner,1
lover,1
sensation,1
draft,1
lab,1
shriek,1
tidbit,1
grandmother,1
gossip,1
pheasant,1
keel,1
windshield,1
shed,1
interfere,1
ward,1
competition,1
t'gatoi,1
course,1
enzo,1
market,1
pack,1
hanging,1
protester,1
covenant,1
despair,1
listing,1
youngster,1
trap,1
outbuilding,1
friendly-grownup,1
confinement,1
bird,1
scotch,1
gravel-shot,1
quarantine,1
post,1
mask,1
honey,1
good,1
galaxy,1
evolution,1
remark,1
question,1
cash,1
mistake,1
sample,1
baron,1
red,1
diary,1
work,1
eyelid,1
beg,1
combat,1
rage,1
bunch,1
cop,1
army,1
cab,1
low-tech,1
scorecard,1
cloud,1
squad,1
facade,1
shag,1
mustache,1
slave,1
cookie,1
swindle,1
boom,1
crowd,1
counsel,1
figure,1
ipecac,1
view,1
egg,1
dude,1
brooch,1
ginger,1
shit,1
ability,1
sport,1
momentum,1
confrontation,1
lord,1
poker,1
cousin,1
music,1
daughter,1
gorge,1
farmer,1
reservist,1
wheelchair,1
customer,1
relay,1
twin,1
part,1
charge,1
lumber,1
stuff,1
altar,1
favorite,1
file,1
girl,1
station,1
soiree,1
nilima,1
